This	March 24, 1963	Last	Weeks
Week	Fiction	Week	On List
""			
1	RAISE HIGH THE ROOF BEAM, CARPENTERS, by J.D. Salinger	1	6
""			
2	SEVEN DAYS IN MAY, by Fletcher Knebel and Charles W. Bailey II.	2	26
""			
3	THE SAND PEBBLES, by Richard McKenna.	3	10
""			
4	FAIL-SAFE, by Eugene Burdick and Harvey Wheeler.	4	20
""			
5	THE MOONSPINNERS, by Mary Stewart.	5	11
""			
6	THE MOONFLOWER VINE, by Jetta Carleton	9	5
""			
7	TRIUMPH, by Philip Wylie.	6	3
""			
8	$100 MISUNDERSTANDING, by Robert Gover.	8	15
""			
9	THE CENTAUR, by John Updike	10	3
""			
10	A SHADE OF DIFFERENCE, by Allen Drury.	7	24
