This	April 21, 1963	Last	Weeks
Week	Fiction	Week	On List
""			
1	RAISE HIGH THE ROOF BEAM, CARPENTERS, by J.D. Salinger	1	10
""			
2	SEVEN DAYS IN MAY, by Fletcher Knebel and Charles W. Bailey II.	2	30
""			
3	THE GLASS BLOWERS, by Daphne du Maurier	4	3
""			
4	THE SAND PEBBLES, by Richard McKenna.	3	14
""			
5	THE MOONFLOWER VINE, by Jetta Carleton	6	9
""			
6	THE MOONSPINNERS, by Mary Stewart.	7	15
""			
7	GRANDMOTHER AND THE PRIESTS, by Taylor Caldwell.	9	3
""			
8	FAIL-SAFE, by Eugene Burdick and Harvey Wheeler.	5	25
""			
9	TRIUMPH, by Philip Wylie.	8	7
""			
10	THE CENTAUR, by John Updike	--	6
