This	January 13, 1980	Last	Weeks
Week	Fiction	Week	On List
""			
1	JAILBIRD, by Kurt Vonnegut. (Delacorte/Seymour Lawrence, $9.95.) From World	1	17
""	War II to Watergate: one man's fumbling career.		
""			
2	SMILEY'S PEOPLE, by John le Carré. (Knopf, $10.95.) The great British spy has	3	4
""	a final confrontation with his Russian counterpart.		
""			
3	TRIPLE, by Ken Follett. (Arbor House, $10.95.) Power play between intelligence	2	19
""	agents in the Middle East.		
""			
4	THE LAST ENCHANTMENT, by Mary Stewart. (Morrow, $11.95.) Further	5	23
""	adventures of King Arthur.		
""			
5	THE EXECUTIONER'S SONG, by Norman Mailler. (Little, Brown, $16.95.) The life	6	12
""	and death of Gary Gilmore.		
""			
6	MEMORIES OF ANOTHER DAY, by Harold Robbins. (Simon & Schuster, $10.95.)	7	9
""	Saga of the American labor movement.		
""			
7	THE DEAD ZONE, by Stephen King. (Viking, $11.95.) Johnny Smith can see the	9	19
""	future and no one wants to listen.		
""			
8	THE ESTABLISHMENT, by Howard Fast. (Houghton Mifflin, $11.95.) The	4	14
""	"Lavettes of ""The Immigrants"" and ""Second Generation"" survive and prosper in"		
""	post-World War II America.		
""			
9	THE TOP OF THE HILL, by Irwin Shaw. (Delacorte, $8.95.) A jaded New Yorker	8	5
""	courts danger in New England.		
""			
10	SOPHIE'S CHOICE, by William Styron. (Random House, $12.95.) The nature of	10	30
""	evil explored through the story of two doomed lovers.		
""			
11	THE GREEN RIPPER, by John D. MacDonald. (Lippincott, $9.95.) Travis McGee	11	12
""	finds love, loses love.		
""			
12	THE THIRD WORLD WAR: August 1985, by General Sir John Hackett and Other	12	33
""	Top-ranking NATO Generals and Advisors. (Macmillian, $12.95.) A history of the		
""	global war to come.		
""			
13	WAR AND REMEMBRANCE, by Herman Wouk. (Little, Brown, $15.) The Henry	15	63
""	"family of ""The Winds of War"" during World War II."		
""			
14	THERE'S NO SUCH PLACE AS FAR AWAY, by Richard Bach. (Delacorte/	14	24
""	Eleanor Friede, $6.95.) Homilies about love and friendship in the spirit of		
""	"""Jonathan Livingston Seagull."""		
""			
15	SHADOW OF THE MOON, by M.M. Kaye. (St. Martin's Press, $12.95.) The great	--	14
""	Indian Mutiny of 1857.		
This	January 13, 1980	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	AUNT ERMA'S COPE BOOK, by Erma Bombeck. (McGraw-Hill, $8.95.) How to	1	14
""	get from Monday to Friday... in 12 days.		
""			
2	THE BRETHREN, by Bob Woodward and Scott Armstrong. (Simon & Schuster,	2	3
""	$13.95.) Inside the Supreme Court.		
""			
3	WHITE HOUSE YEARS, by Henry Kissinger. (Little, Brown, $22.50.) President	3	9
""	Nixon's foreign affairs advisor tells his own story, 1968-73.		
""			
4	CRUEL SHOES, by Steve Martin. (Putnam's, $8.95.) Zany satire by a young	4	33
""	television comedian.		
""			
5	JAMES HERRIOT'S YORKSHIRE, by James Herriot. (St. Martin's Press, $15.) An	5	8
""	illustrated tour of the veterinarian's homeland.		
""			
6	THE AMERICANS, by Alistair Cooke. (Knopf, $10.95.) What Alistair Cooke told his	6	4
""	British radio listeners about us, 1969-79.		
""			
7	THE RIGHT STUFF, by Tom Wolfe. (Farrar, Straus & Giroux, $12.95.) Project	7	14
""	Mercury, America's first manned space program, recalled in high style.		
""			
8	SERPENTINE, by Thomas Thompson. (Doubleday, $12.95.) A quintessential con	9	9
""	man leaves a trail of murder and robbery around the globe.		
""			
9	SYLVIA PORTER'S NEW MONEY BOOK FOR THE 80's, by Sylvia Porter.	--	2
""	(Doubleday, $24.95.) How to cope with these inflationary times.		
""			
10	RESTORING THE AMERICAN DREAM, by Robert J. Ringer. (Harper & Row,	15	18
""	$12.50.) A polemic against big government.		
""			
11	THE PRITIKIN PROGRAM, by Nathan Pritikin with Patrick M. McGrady, Jr.	--	34
""	(Grosset & Dunlap, $12.95.) A prescription for health and long life.		
""			
12	WITH NO APOLOGIES, by Barry M. Goldwater. (Morrow, $12.95.) Memoirs of a	11	3
""	conservative U.S. Senator.		
""			
13	ANATOMY OF AN ILLNESS, by Norman Cousins. (Norton, $9.95.) A patient's	12	8
""	account of his successful fight against a serious disease.		
""			
14	THE WINDSOR STORY, by J. Bryan III and Charles J.V. Murphy. (Morrow,	--	1
""	$17.50.) The long, lonely years the Duke and Duchess spent in exile.		
""			
15	CONNECTIONS, by James Burke. (Little, Brown, $17.50.) How we reached this	8	5
""	technological age; tie-in to the PBS series.		
