This	March 2, 1980	Last	Weeks
Week	Fiction	Week	On
""			List
""			
1	PRINCESS DAISY, by Judith Krantz. (Crown, $12.95.) The fight for survival in the	1	5
""	world of glitter, from St. Petersburg to Big Sur.		
""			
2	THE DEVIL'S ALTERNATIVE, by Frederick Forsyth. (Viking, $12.95.) Countdown	2	5
""	to global doom in 1982.		
""			
3	SMILEY'S PEOPLE, by John le Carré. (Knopf, $10.95.) The great British spy has	3	11
""	a final confrontation with his Russian counterpart.		
""			
4	"PORTRAITS, by Cynthia Freeman. (Arbor House, $9.95.) The Sansonitskys of ""A"	4	9
""	"World Full of Strangers"" reach the 1920's and 30's."		
""			
5	TRIPLE, by Ken Follett. (Arbor House, $10.95.) Power play between intelligence	5	26
""	agents in the Middle East.		
""			
6	SOPHIE'S CHOICE, by William Styron. (Random House, $12.95.) The nature of	6	37
""	evil explored through the story of two doomed lovers.		
""			
7	THE TOP OF THE HILL, by Irwin Shaw. (Delacorte, $8.95.) A jaded New Yorker	7	12
""	courts danger in New England.		
""			
8	JAILBIRD, by Kurt Vonnegut. (Delacorte/Seymour Lawrence, $9.95.) From World	8	24
""	War II to Watergate: one man's fumbling career.		
""			
9	MEMORIES OF ANOTHER DAY, by Harold Robbins. (Simon & Schuster, $10.95.)	9	16
""	Saga of the American labor movement.		
""			
10	THE ESTABLISHMENT, by Howard Fast. (Houghton Mifflin, $11.95.) The	10	21
""	"Lavettes of ""The Immigrants"" and ""Second Generation"" survive and prosper in"		
""	post-World War II America.		
""			
11	THE EXECUTIONER'S SONG, by Norman Mailler. (Little, Brown, $16.95.) The life	11	19
""	and death of Gary Gilmore.		
""			
12	THE DEAD ZONE, by Stephen King. (Viking, $11.95.) Johnny Smith can see the	12	26
""	future and no one wants to listen.		
""			
13	THE THIRD WORLD WAR: August 1985, by General Sir John Hackett and Other	13	39
""	Top-ranking NATO Generals and Advisors. (Macmillian, $12.95.) A history of the		
""	global war to come.		
""			
14	MOVIOLA, by Garson Kanin. (Simon & Schuster, $9.95.) The movie business,	14	6
""	yesterday and today, seen through the eyes of an aging tycoon.		
""			
15	OLD LOVE, by Isaac Bashevis Singer. (Farrar, Straus & Giroux, $10.95.) New	15	3
""	short stories by the Nobel Prize winner.		
This	March 2, 1980	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE BRETHREN, by Bob Woodward and Scott Armstrong. (Simon & Schuster,	1	10
""	$13.95.) Inside the Supreme Court.		
""			
2	FREE TO CHOOSE, by Milton Friedman and Rose Friedman. (Harcourt Brace	3	4
""	Jovanovich, $9.95.) The Nobel laureate economist and his wife discuss the		
""	relationship of government and the economy: tie-in to the current PBS series.		
""			
3	ANATOMY OF AN ILLNESS, by Norman Cousins. (Norton, $9.95.) A patient's	4	15
""	account of his successful fight against a serious disease.		
""			
4	AUNT ERMA'S COPE BOOK, by Erma Bombeck. (McGraw-Hill, $8.95.) How to	2	21
""	get from Monday to Friday... in 12 days.		
""			
5	THE PRITIKIN PROGRAM, by Nathan Pritikin with Patrick M. McGrady, Jr.	5	41
""	(Grosset & Dunlap, $12.95.) A prescription for health and long life.		
""			
6	DONAHUE, by Phil Donahue. (Simon & Schuster, $9.95.) The host of the popular	8	3
""	television talk show tells his life story.		
""			
7	THE RIGHT STUFF, by Tom Wolfe. (Farrar, Straus & Giroux, $12.95.) Project	7	21
""	Mercury, America's first manned space program, recalled in high style.		
""			
8	HOW YOU CAN BECOME FINANCIALLY INDEPENDENT BY INVESTING IN	9	16
""	REAL ESTATE, by Albert J. Lowry. (Simon & Schuster, $10.95.) How-to.		
""			
9	JAMES HERRIOT'S YORKSHIRE, by James Herriot. (St. Martin's Press, $15.) An	6	15
""	illustrated tour of the veterinarian's homeland.		
""			
10	ON A CLEAR DAY, YOU CAN SEE GENERAL MOTORS, by J. Patrick Wright.	10	2
""	(Wright Enterprises, Grosse Pointe, Mich., $12.95.) John Z. De Lorean, a former		
""	top executive, gives his view of the automotive giant.		
""			
11	WHITE HOUSE YEARS, by Henry Kissinger. (Little, Brown, $22.50.) President	13	16
""	Nixon's foreign affairs advisor tells his own story, 1968-73.		
""			
12	CRUEL SHOES, by Steve Martin. (Putnam's, $8.95.) Zany satire by a young	11	40
""	television comedian.		
""			
13	FEED YOUR KIDS RIGHT, by Lendon Smith, M.D. (McGraw-Hill, $9.95.) How to,	12	13
""	by a pediatrician.		
""			
14	THE NEW YORK TIMES 60-MINUTE GOURMET, by Pierre Franey. (Times	--	1
""	Books, $10.95.) Dishes that can be prepared in less than an hour, the distillation		
""	of grande cuisine.		
""			
15	SERPENTINE, by Thomas Thompson. (Doubleday, $12.95.) A quintessential con	--	15
""	man leaves a trail of murder and robbery around the globe.		
