This	June 15, 1980	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE BOURNE IDENTITY, by Robert Ludlum. (Richard Marek, $12.95.) The	1	15
""	melodramatic adventures of an amnesiac trying to find out who he really is.		
""			
2	PRINCESS DAISY, by Judith Krantz. (Crown, $12.95.) The fight for survival in the	2	20
""	world of glitter, from the Czar's St. Petersburg to Manhattan's SoHo.		
""			
3	INNOCENT BLOOD, by P.D. James. (Scribner's, $10.95.) A veteran whodunit	9	4
""	writer now investigates the mysteries of family life.		
""			
4	RANDOM WINDS, by Belva Plain. (Delacorte, $11.95.) Three generations of	3	6
""	doctors and their families.		
""			
5	NO LOVE LOST, by Helen Van Slyke. (Lippincott, $10.95.) Three New York	4	8
""	society women learn to cope with marriage and men.		
""			
6	KANE & ABEL, by Jeffrey Archer. (Simon & Schuster, $13.95.) Battles in a	6	9
""	corporation boardroom between new money and old.		
""			
7	THE DEVIL'S ALTERNATIVE, by Frederick Forsyth. (Viking, $12.95.) Countdown	5	20
""	to global doom in 1982.		
""			
8	THE NINJA, by Eric Van Lustbader. (M. Evans, $12.95.) The erotic side of the	7	6
""	Japanese samurai tradition.		
""			
9	PORTRAITS, by Cynthia Freeman. (Arbor House, $11.95.) A New York Lower	10	24
""	East Side family makes it to San Francisco Bay in four generations.		
""			
10	THE BLEEDING HEART, by Marilyn French. (Summit Books, $12.95.) An	8	12
""	American feminist's romance in England.		
""			
11	THE SPIKE, by Arnaud de Borchgrave and Robert Moss. (Crown, $12.95.)	--	1
""	Newsman on the trail of a Soviet conspiracy.		
""			
12	WHO'S ON FIRST, by William F. Buckley Jr. (Doubleday, $9.95.) Blackford Oakes	11	13
""	plays his part in the race with the Russians to get a satellite into orbit.		
""			
13	SMILEY'S PEOPLE, by John le Carré. (Knopf, $10.95.) The great British spy has	12	26
""	a final confrontation with his Russian counterpart.		
""			
14	WHIP HAND, by Dick Francis. (Harper & Row, $9.95.) Dirty doings at the race	14	4
""	track.		
""			
15	CREEK MARY'S BLOOD, by Dee Brown. (Holt, Rinehart & Winston, $12.95.) Four	13	11
""	generations of American Indian family life on the Great Plains.		
This	June 15, 1980	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THY NEIGHBOR'S WIFE, by Gay Talese. (Doubleday, $14.95.) How American	1	6
""	sexuality has changed in our time.		
""			
2	FREE TO CHOOSE, by Milton & Rose Friedman. (Harcourt Brace Jovanovich,	2	19
""	$9.95.) The Nobel laureate economist and his wife discuss the relationship of		
""	government and the economy: tie-in to the current PBS television series.		
""			
3	MEN IN LOVE, by Nancy Friday. (Delacorte, $12.95.) Men's fantasies about	3	7
""	women and sex.		
""			
4	THE THIRD WAVE, by Alvin Toffler. (Morrow, $14.95.) The changes our society is	5	11
""	about to undergo: a pop prognosticator's analysis.		
""			
5	WILL, by G. Gordon Liddy. (St. Martin's, $13.95.) A Watergate principal tells his	4	6
""	story.		
""			
6	JIM FIXX'S SECOND BOOK OF RUNNING, by James F. Fixx. (Random House,	7	8
""	$10.) More advice for both beginners and marathoners.		
""			
7	THE REAL WAR, by Richard Nixon. (Warner Books, $12.50.) A grim view of the	12	3
""	situation of the United States and the world.		
""			
8	DONAHUE, by Phil Donahue. (Simon & Schuster, $11.95.) The host of the	6	18
""	popular television talk show tells his life story.		
""			
9	ANATOMY OF AN ILLNESS, by Norman Cousins. (Norton, $9.95.) A patient's	13	30
""	account of his successful fight against a serious disease.		
""			
10	AUNT ERMA'S COPE BOOK, by Erma Bombeck. (McGraw-Hill, $8.95.) How to	9	36
""	get from Monday to Friday ... in 12 days.		
""			
11	THE BRETHREN, by Bob Woodward and Scott Armstrong. (Simon & Schuster,	8	25
""	$13.95.) Inside the Supreme Court.		
""			
12	WAR WITHIN AND WITHOUT, by Anne Morrow Lindbergh. (Harcourt Brace	11	4
""	Jovanovich/Helen & Kurt Wolff, $14.95.) Life in the family of Charles Lindbergh,		
""	1939-44.		
""			
13	HEARTSOUNDS, by Martha Weinman Lear. (Simon & Schuster, $12.95.) Life with	10	3
""	a dying husband.		
""			
14	HOW YOU CAN BECOME FINANCIALLY INDEPENDENT BY INVESTING IN	--	30
""	REAL ESTATE, by Albert J. Lowry. (Simon & Schuster, $10.95.) How-to.		
""			
15	NOTHING DOWN, by Robert G. Allen. (Simon & Schuster, $9.95.) How to buy	15	8
""	real estate with little or no cash.		
