This	July 13, 1980	Last	Weeks
Week	Fiction	Week	On List
""			
1	RAGE OF ANGELS, by Sidney Sheldon. (Morrow, $12.95.) An idealistic young	3	3
""	woman lawyer triumphs over two vengeful men.		
""			
2	RANDOM WINDS, by Belva Plain. (Delacorte, $11.95.) Three generations of	2	10
""	doctors and their families.		
""			
3	THE BOURNE IDENTITY, by Robert Ludlum. (Richard Marek, $12.95.) The	1	19
""	melodramatic adventures of an amnesiac trying to find out who he really is.		
""			
4	THE SPIKE, by Arnaud de Borchgrave and Robert Moss. (Crown, $12.95.)	4	5
""	Newsman on the trail of a Soviet conspiracy.		
""			
5	INNOCENT BLOOD, by P.D. James. (Scribner's, $10.95.) A veteran whodunit	10	8
""	writer now investigates the mysteries of family life.		
""			
6	THE NINJA, by Eric Van Lustbader. (M. Evans, $12.95.) The erotic side of the	5	10
""	Japanese samurai tradition.		
""			
7	PRINCESS DAISY, by Judith Krantz. (Crown, $12.95.) The fight for survival in the	8	24
""	world of glitter, from the Czar's St. Petersburg to Manhattan's SoHo.		
""			
8	KANE & ABEL, by Jeffrey Archer. (Simon & Schuster, $13.95.) Battles in a	7	13
""	corporation boardroom between new money and old.		
""			
9	THE DEVIL'S ALTERNATIVE, by Frederick Forsyth. (Viking, $12.95.) Countdown	6	24
""	to global doom in 1982.		
""			
10	SINS OF THE FATHERS, by Susan Howatch. (Simon & Schuster, $13.95.)	11	3
""	Rivalries and intrigue in the family of a ruthless tycoon.		
""			
11	NO LOVE LOST, by Helen Van Slyke. (Lippincott, $10.95.) Three New York	9	12
""	society women learn to cope with marriage and men.		
""			
12	DOCTOR FISCHER OF GENEVA OR THE BOMB PARTY, by Graham Greene.	12	3
""	(Simon & Schuster, $9.95.) A very rich man whose pleasure is buying people		
""	finally discovers failure.		
""			
13	MAN, WOMAN AND CHILD, by Erich Segal. (Harper & Row, $9.95.) A perfect	13	3
""	marriage threatened by a voice from the past.		
""			
14	PORTRAITS, by Cynthia Freeman. (Arbor House, $11.95.) A New York Lower	--	27
""	East Side family makes it to San Francisco Bay in four generations.		
""			
15	SOLO, by Jack Higgins. (Stein & Day, $11.95.) Exploits of a famous concert	--	1
""	pianist who secretly is an international hit man.		
This	July 13, 1980	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THY NEIGHBOR'S WIFE, by Gay Talese. (Doubleday, $14.95.) How American	1	10
""	sexuality has changed in our time.		
""			
2	FREE TO CHOOSE, by Milton & Rose Friedman. (Harcourt Brace Jovanovich,	2	23
""	$9.95.) The Nobel laureate economist and his wife discuss the relationship of		
""	government and the economy: tie-in to the current PBS television series.		
""			
3	THE REAL WAR, by Richard Nixon. (Warner Books, $12.50.) A grim view of the	3	7
""	situation of the United States and the world.		
""			
4	MEN IN LOVE, by Nancy Friday. (Delacorte, $12.95.) Men's fantasies about	7	11
""	women and sex.		
""			
5	THE THIRD WAVE, by Alvin Toffler. (Morrow, $14.95.) The changes our society is	6	15
""	about to undergo: a pop prognosticator's analysis.		
""			
6	THE BRETHREN, by Bob Woodward and Scott Armstrong. (Simon & Schuster,	5	29
""	$13.95.) Inside the Supreme Court.		
""			
7	WILL, by G. Gordon Liddy. (St. Martin's, $13.95.) A Watergate principal tells his	8	10
""	life story.		
""			
8	JIM FIXX'S SECOND BOOK OF RUNNING, by James F. Fixx. (Random House,	4	12
""	$10.) More advice for both beginners and marathoners.		
""			
9	DONAHUE, by Phil Donahue. (Simon & Schuster, $11.95.) The host of the	9	22
""	popular television talk show tells his life story.		
""			
10	ANATOMY OF AN ILLNESS, by Norman Cousins. (Norton, $9.95.) A patient's	11	34
""	account of his successful fight against a serious disease.		
""			
11	WAR WITHIN AND WITHOUT, by Anne Morrow Lindbergh. (Harcourt Brace	15	8
""	Jovanovich/Helen & Kurt Wolff, $14.95.) Life in the family of Charles Lindbergh,		
""	1939-44.		
""			
12	HEARTSOUNDS, by Martha Weinman Lear. (Simon & Schuster, $12.95.) Life with	10	7
""	a dying husband.		
""			
13	NOTHING DOWN, by Robert G. Allen. (Simon & Schuster, $9.95.) How to buy	13	11
""	real estate with little or no cash.		
""			
14	HOW YOU CAN BECOME FINANCIALLY INDEPENDENT BY INVESTING IN	14	33
""	REAL ESTATE, by Albert J. Lowry. (Simon & Schuster, $10.95.) How-to.		
""			
15	THE BOOK OF LISTS #2, by Irving Wallace, David Wallechinsky, Amy Wallace	12	14
""	and Sylvia Wallace. (Morrow, $12.95.) More facts that entertain.		
