This	August 17, 1980	Last	Weeks
Week	Fiction	Week	On List
""			
1	RAGE OF ANGELS, by Sidney Sheldon. (Morrow, $12.95.) An idealistic young	1	8
""	woman lawyer triumphs over two vengeful men.		
""			
2	THE SPIKE, by Arnaud de Borchgrave and Robert Moss. (Crown, $12.95.)	5	10
""	Newsman on the trail of a Soviet conspiracy.		
""			
3	RANDOM WINDS, by Belva Plain. (Delacorte, $11.95.) Three generations of	2	15
""	doctors and their families.		
""			
4	THE BOURNE IDENTITY, by Robert Ludlum. (Richard Marek, $12.95.) The	3	24
""	melodramatic adventures of an amnesiac trying to find out who he really is.		
""			
5	KANE & ABEL, by Jeffrey Archer. (Simon & Schuster, $13.95.) Battles in a	7	18
""	corporation boardroom between new money and old.		
""			
6	SINS OF THE FATHERS, by Susan Howatch. (Simon & Schuster, $13.95.)	4	8
""	Rivalries and intrigue in the family of a ruthless tycoon.		
""			
7	PRINCESS DAISY, by Judith Krantz. (Crown, $12.95.) The fight for survival in the	6	29
""	world of glitter, from the Czar's St. Petersburg to Manhattan's SoHo.		
""			
8	THE NINJA, by Eric Van Lustbader. (M. Evans, $12.95.) The erotic side of the	9	15
""	Japanese samurai tradition.		
""			
9	SOLO, by Jack Higgins. (Stein & Day, $11.95.) Exploits of a famous concert	13	6
""	pianist who secretly is an international hit man.		
""			
10	THE SECOND COMING, by Walker Percy. (Farrar, Straus & Giroux, $12.95.) A	11	4
""	retired lawyer finds a new life through an attractive young neighbor.		
""			
11	NO LOVE LOST, by Helen Van Slyke. (Lippincott, $10.95.) Three New York	14	17
""	society women learn to cope with marriage and men.		
""			
12	THE DEVIL'S ALTERNATIVE, by Frederick Forsyth. (Viking, $12.95.) Countdown	12	29
""	to global doom in 1982.		
""			
13	INNOCENT BLOOD, by P.D. James. (Scribner's, $10.95.) A veteran whodunit	8	13
""	writer now investigates the mysteries of family life.		
""			
14	THE CRADLE WILL FALL, by Mary Higgins Clark. (Simon & Schuster, $10.95.) A	10	4
""	young woman investigator on the trail of a scandal in suburbia.		
""			
15	GREEN MONDAY, by Michael M. Thomas. (Wyndham Books, $12.95.)	--	1
""	Clandestine international plot threatens America's economic and political future.		
This	August 17, 1980	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	SHELLEY: ALSO KNOWN AS SHIRLEY, by Shelley Winters. (Morrow, $14.95.) A	1	4
""	Brooklyn ghetto girl's progress to three homes, two Oscars, six mink coats and		
""	ninety-nine films.		
""			
2	FREE TO CHOOSE, by Milton & Rose Friedman. (Harcourt Brace Jovanovich,	3	28
""	$9.95.) The Nobel laureate economist and his wife discuss the relationship of		
""	government and the economy: tie-in to the current PBS television series.		
""			
3	THY NEIGHBOR'S WIFE, by Gay Talese. (Doubleday, $14.95.) How American	2	15
""	sexuality has changed in our time.		
""			
4	LITTLE GLORIA ... HAPPY AT LAST, by Barbara Goldsmith. (Knopf, $15.95.) The	4	4
""	family struggle to gain possession of young Gloria Vanderbilt and her fortune.		
""			
5	MEN IN LOVE, by Nancy Friday. (Delacorte, $12.95.) Men's fantasies about	6	16
""	women and sex.		
""			
6	THE REAL WAR, by Richard Nixon. (Warner Books, $12.50.) A grim view of the	7	12
""	situation of the United States and the world.		
""			
7	THE THIRD WAVE, by Alvin Toffler. (Morrow, $14.95.) The changes our society is	5	20
""	about to undergo: a pop prognosticator's analysis.		
""			
8	ANATOMY OF AN ILLNESS, by Norman Cousins. (Norton, $9.95.) A patient's	8	39
""	account of his successful fight against a serious disease.		
""			
9	CHINA MEN, by Maxine Hong Kingston. (Knopf, $10.95.) A Chinese-American	9	4
""	woman's effort to understand the men in her heritage.		
""			
10	NOTHING DOWN, by Robert G. Allen. (Simon & Schuster, $9.95.) How to buy	11	15
""	real estate with little or no cash.		
""			
11	JIM FIXX'S SECOND BOOK OF RUNNING, by James F. Fixx. (Random House,	12	17
""	$10.) More advice for both beginners and marathoners.		
""			
12	THE BRETHREN, by Bob Woodward and Scott Armstrong. (Simon & Schuster,	13	34
""	$13.95.) Inside the Supreme Court.		
""			
13	DONAHUE, by Phil Donahue. (Simon & Schuster, $11.95.) The host of the	10	27
""	popular television talk show tells his life story.		
""			
14	HEARTSOUNDS, by Martha Weinman Lear. (Simon & Schuster, $12.95.) Life with	14	12
""	a dying husband.		
""			
15	HOW YOU CAN BECOME FINANCIALLY INDEPENDENT BY INVESTING IN	--	35
""	REAL ESTATE, by Albert J. Lowry. (Simon & Schuster, $10.95.) How-to.		
