This	October 12, 1980	Last	Weeks
Week	Fiction	Week	On List
""			
1	FIRESTARTER, by Stephen King. (Viking, $13.95.) Eight year old Charlie can look	1	8
""	at anything and turn it into flames.		
""			
2	THE KEY TO REBECCA, by Ken Follett. (Morrow, $12.95.) German espionage in	4	3
""	Cairo during the desert campaigns of 1942.		
""			
3	THE FIFTH HORSEMAN, by Larry Collins and Dominique Lapierre. (Simon &	3	5
""	Schuster, $13.95.) Libyan terrorists have planted a thermonuclear device in New		
""	York and there are only 24 hours to find it.		
""			
4	RAGE OF ANGELS, by Sidney Sheldon. (Morrow, $12.95.) An idealistic young	2	16
""	woman lawyer triumphs over two vengeful men.		
""			
5	FANNY, by Erica Jong. (New American Library, $12.95.) The adventures of a lusty	5	6
""	18th-century Englishwoman.		
""			
6	THE ORIGIN, by Irving Stone. (Doubleday, $14.95.) Biographical novel of Charles	6	7
""	Darwin.		
""			
7	LOON LAKE, by E.L. Doctorow. (Random House, $11.95.) The strange, lyrical	15	2
""	adventures of a young man during the Depression.		
""			
8	THE TENTH COMMANDMENT, by Lawrence Sanders. (Putnam's, $11.95.) A	8	4
""	junior lawyer sets out to unravel the strange conduct of some of his firm's		
""	important clients.		
""			
9	THE SPIKE, by Arnaud de Borchgrave and Robert Moss. (Crown, $12.95.)	11	18
""	Newsman on the trail of a Soviet conspiracy.		
""			
10	RANDOM WINDS, by Belva Plain. (Delacorte, $11.95.) Three generations of	7	23
""	doctors and their families.		
""			
11	THE CLAN OF THE CAVE BEAR, by Jean M. Auel. (Crown, $12.95.) A saga of	--	1
""	Cro-Magnon and Neanderthal men, who inhabited Europe 35,000 years ago.		
""			
12	KANE & ABEL, by Jeffrey Archer. (Simon & Schuster, $13.95.) Battles in a	10	26
""	corporation boardroom between new money and old.		
""			
13	SINS OF THE FATHERS, by Susan Howatch. (Simon & Schuster, $13.95.)	13	16
""	Rivalries and intrigue in the family of a ruthless tycoon.		
""			
14	THE BOURNE IDENTITY, by Robert Ludlum. (Richard Marek, $12.95.) The	9	32
""	melodramatic adventures of an amnesiac trying to find out who he really is.		
""			
15	THE SECOND COMING, by Walker Percy. (Farrar, Straus & Giroux, $12.95.) A	--	7
""	retired lawyer finds a new life through an attractive young neighbor.		
This	October 12, 1980	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	CRISIS INVESTING, by Douglas R. Casey. (Stratford Press/Harper, $12.50.)	1	6
""	''Opportunities for investing in the coming Great Depression.''		
""			
2	SHELLEY: ALSO KNOWN AS SHIRLEY, by Shelley Winters. (Morrow, $14.95.) A	2	12
""	Brooklyn ghetto girl's progress to three homes, two Oscars, six mink coats and		
""	ninety-nine films.		
""			
3	MUSIC FOR CHAMELEONS, by Truman Capote. (Random House, $10.95.)	3	7
""	Reminiscences, vignettes and a long fact-crime piece.		
""			
4	FREE TO CHOOSE, by Milton & Rose Friedman. (Harcourt Brace Jovanovich,	4	36
""	$9.95.) The Nobel laureate economist and his wife discuss the relationship of		
""	government and the economy: tie-in to the PBS television series.		
""			
5	CRAIG CLAIBORNE'S GOURMET DIET, by Craig Claiborne with Pierre Franey.	5	9
""	(Times Books, $10.95.) Recipes for eating well, losing weight and maintaining		
""	good health.		
""			
6	THE SKY'S THE LIMIT, by Wayne Dyer. (Simon & Schuster, $10.95.) How to	6	2
""	achieve perfection of body and mind.		
""			
7	NOTHING DOWN, by Robert G. Allen. (Simon & Schuster, $9.95.) How to buy	7	23
""	real estate with little or no cash.		
""			
8	INGRID BERGMAN: MY STORY, by Ingrid Bergman and Alan Burgess.	14	3
""	(Delacorte, $14.95.) The actress's personal life as well as her career.		
""			
9	GOODBYE, DARKNESS: A Memoir of the Pacific War, by William Manchester.	12	2
""	(Little, Brown, $14.95.) Action as a Marine.		
""			
10	LYNDON, by Merle Miller. (Putnam's, $17.95.) Firsthand memories of Johnson	9	3
""	from hundreds of interviews.		
""			
11	THE THIRD WAVE, by Alvin Toffler. (Morrow, $14.95.) The changes our society is	--	27
""	about to undergo: a pop prognosticator's analysis.		
""			
12	ANATOMY OF AN ILLNESS, by Norman Cousins. (Norton, $9.95.) A patient's	10	46
""	account of his successful fight against a serious disease.		
""			
13	LITTLE GLORIA ... HAPPY AT LAST, by Barbara Goldsmith. (Knopf, $15.95.) The	11	12
""	family struggle to gain possession of young Gloria Vanderbilt and her fortune.		
""			
14	NUMBER 1, by Billy Martin and Peter Golenbock. (Delacorte, $9.95.) The feisty	8	3
""	baseball manager's troubles and triumphs.		
""			
15	HOW YOU CAN BECOME FINANCIALLY INDEPENDENT BY INVESTING IN	15	42
""	REAL ESTATE, by Albert J. Lowry. (Simon & Schuster, $10.95.) How-to.		
