This	December 7, 1980	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE COVENANT, by James A. Michener. (Random House, $15.95.) Fifteen	1	7
""	thousand years of South African history.		
""			
2	THE KEY TO REBECCA, by Ken Follett. (Morrow, $12.95.) German espionage in	2	11
""	Cairo during the desert campaigns of 1942.		
""			
3	COME POUR THE WINE, by Cynthia Freeman. (Arbor House, $12.95.) A	5	8
""	woman's long journey to self-discovery.		
""			
4	FIRESTARTER, by Stephen King. (Viking, $13.95.) Eight year old Charlie can look	3	16
""	at anything and turn it into flames.		
""			
5	THE FIFTH HORSEMAN, by Larry Collins and Dominique Lapierre. (Simon &	6	13
""	Schuster, $13.95.) Libyan terrorists have planted a thermonuclear device in New		
""	York and there are only 24 hours to find it.		
""			
6	LOON LAKE, by E.L. Doctorow. (Random House, $11.95.) The strange, lyrical	4	10
""	adventures of a young man during the Depression.		
""			
7	THE ORIGIN, by Irving Stone. (Doubleday, $14.95.) Biographical novel of Charles	15	15
""	Darwin.		
""			
8	RAGE OF ANGELS, by Sidney Sheldon. (Morrow, $12.95.) An idealistic young	7	24
""	woman lawyer triumphs over two vengeful men.		
""			
9	THE CLAN OF THE CAVE BEAR, by Jean M. Auel. (Crown, $12.95.) A saga of	11	7
""	Cro-Magnon and Neanderthal men, who inhabited Europe 35,000 years ago.		
""			
10	UNFINISHED TALES, by J.R.R. Tolkien. (Houghton Mifflin, $15.) Hitherto	14	3
""	unpublished fragments of writing about Middle-earth.		
""			
11	THE SECOND LADY, by Irving Wallace. (New American Library, $11.95.) The	9	7
""	American President's wife is kidnapped in Moscow and a look-alike substituted.		
""			
12	THE TENTH COMMANDMENT, by Lawrence Sanders. (Putnam's, $12.95.) The	8	12
""	pint-sized investigator of a large law firm sets out to unravel the strange conduct of		
""	some of its most important clients.		
""			
13	MANCHU, by Robert Elegant. (McGraw-Hill, $12.95.) An Englishman caught up in	13	2
""	the intrigues of 17th-century China.		
""			
14	THE OLD NEIGHBORHOOD, by Avery Corman. (Linden Press/Simon & Schuster,	--	3
""	$10.95.) A Manhattan ad man comes to terms with himself and his past through a		
""	return to the Bronx.		
""			
15	THE HIDDEN TARGET, by Helen MacInnes. (Harcourt Brace Jovanovich,	10	3
""	$12.95.) Young American woman caught up in an international terrorists' plot.		
This	December 7, 1980	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	COSMOS, by Carl Sagan. (Random House, $19.95.) Thirteen billion years of the	1	5
""	universe's evolution explained by the NASA medal-winning space scientist: tie-in		
""	to the current PBS television series.		
""			
2	CRISIS INVESTING, by Douglas R. Casey. (Stratford Press/Harper, $12.50.)	2	14
""	''Opportunities for investing in the coming Great Depression.''		
""			
3	THE SKY'S THE LIMIT, by Wayne Dyer. (Simon & Schuster, $10.95.) Prescription	4	10
""	for ''achieving perfection of body and mind.''		
""			
4	SIDE EFFECTS, by Woody Allen. (Random House, $8.95.) The comedian's	3	8
""	observations on sex, death, religion and almost everything else.		
""			
5	PETER THE GREAT, by Robert K. Massie. (Knopf, $17.95.) The life of the 18th-	10	5
""	century Czar who brought Russia into the modern world.		
""			
6	AMERICAN DREAMS, by Studs Terkel. (Pantheon, $14.95.) One hundred	11	7
""	ordinary men and women talk about their hopes and fears.		
""			
7	CRAIG CLAIBORNE'S GOURMET DIET, by Craig Claiborne with Pierre Franey.	5	17
""	(Times Books, $10.95.) Recipes for eating well, losing weight and maintaining		
""	good health.		
""			
8	GOODBYE, DARKNESS, by William Manchester. (Little, Brown, $14.95.) A	6	10
""	memoir of the Pacific war.		
""			
9	INGRID BERGMAN: MY STORY, by Ingrid Bergman and Alan Burgess.	8	11
""	(Delacorte, $14.95.) The actress's personal life as well as her career.		
""			
10	NOTHING DOWN, by Robert G. Allen. (Simon & Schuster, $9.95.) How to buy	15	31
""	real estate with little or no cash.		
""			
11	A FIELD GUIDE TO THE BIRDS, by Roger Tory Peterson. (Houghton Mifflin,	7	3
""	$15.) Completely revised guide for eastern North America.		
""			
12	BETTY CROCKER'S INTERNATIONAL COOKBOOK. (Random House, $12.95.)	9	3
""	A completely new collection of recipes under a long-established name.		
""			
13	FREE TO CHOOSE, by Milton & Rose Friedman. (Harcourt Brace Jovanovich,	12	44
""	$9.95.) The Nobel laureate economist and his wife discuss the relationship of		
""	government and the economy: tie-in to the PBS television series.		
""			
14	SHELLEY: ALSO KNOWN AS SHIRLEY, by Shelley Winters. (Morrow, $14.95.) A	13	20
""	Brooklyn ghetto girl's progress to three homes, two Oscars, six mink coats and		
""	ninety-nine films.		
""			
15	MUSIC FOR CHAMELEONS, by Truman Capote. (Random House, $10.95.)	14	15
