This	April 5, 1981	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE COVENANT, by James A. Michener. (Random House, $17.95.) Fifteen	1	24
""	thousand years of South African history.		
""			
2	MASQUERADE, by Kit Williams. (Schocken Books, $9.95.) A fantastic tale about	4	12
""	the Sun, the Moon and a lost treasure.		
""			
3	CENTURY, by Fred Mustard Stewart. (Morrow, $13.95.) Saga of an Italian-	3	7
""	American family.		
""			
4	BRAIN, by Robin Cook. (Putnam's, $11.95.) A young physician copes with a	2	8
""	conspiracy of medical researchers who steal young women's brains to create an		
""	artificial intelligence.		
""			
5	THE COMPANY OF WOMEN, by Mary Gordon. (Random House, $12.95.) One	5	4
""	modern young woman's experience with the manners and mores of Roman		
""	Catholicism.		
""			
6	ANSWER AS A MAN, by Taylor Caldwell. (Putnam's, $12.95.) A man who has	6	15
""	made it big in early 20th-century America struggles against the corruption that		
""	engulfs his life.		
""			
7	THE KEY TO REBECCA, by Ken Follett. (Morrow, $12.95.) German espionage in	7	28
""	Cairo during the desert campaigns of 1942.		
""			
8	THE DELTA DECISION, by Wilbur Smith. (Doubleday, $12.95.) A plot to unite	9	2
""	international terrorist groups into one global organization.		
""			
9	CREATION, by Gore Vidal. (Random House, $15.95.) A journey through that	--	1
""	greatest of all ages, the fifth century B.C., in the company of a man critical of it all.		
""			
10	COME POUR THE WINE, by Cynthia Freeman. (Arbor House, $12.95.) A	8	25
""	woman's long journey to self-discovery.		
""			
11	UNFINISHED TALES, by J.R.R. Tolkien. (Houghton Mifflin, $15.) Hitherto	14	20
""	unpublished fragments of writing about Middle-earth.		
""			
12	CONGO, by Michael Crichton. (Knopf, $10.95.) Three intrepid Americans search	13	12
""	for lost diamonds in the jungles of modern Africa.		
""			
13	FIRESTARTER, by Stephen King. (Viking, $13.95.) Eight year old Charlie can look	11	33
""	at anything and turn it into flames.		
""			
14	THE AVIATOR, by Ernest K. Gann. (Arbor House, $10.95.) Romance and	10	2
""	adventure in the early days of the U.S. airmail service.		
""			
15	RAGE OF ANGELS, by Sidney Sheldon. (Morrow, $12.95.) An idealistic young	12	41
""	woman lawyer triumphs over two vengeful men.		
This	April 5, 1981	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	NEVER-SAY-DIET BOOK, by Richard Simmons. (Warner, $14.95.) Regimen for	2	9
""	exercise, diet and life style.		
""			
2	COSMOS, by Carl Sagan. (Random House, $19.95.) Thirteen billion years of the	1	21
""	universe's evolution explained by the NASA medal-winning space scientist.		
""			
3	THE LAST MAFIOSO, by Ovid Demaris. (Times Books, $15.) The story of Jimmy	6	8
""	Fratianno, professional hit man who turned Government witness.		
""			
4	NICE GIRLS DO, by Irene Kassorla. (Stratford Press, $9.95.) ''How women may	4	10
""	solve their own sexual problems.''		
""			
5	BEST EVIDENCE, by David S. Lifton. (Macmillan, $16.95.) An account of the	5	8
""	author's effort to prove that J.F.K.'s death was part of a plot by high-level		
""	Government conspirators.		
""			
6	WILLIAM E. DONOGHUE'S COMPLETE MONEY MARKET GUIDE, by William E.	3	2
""	Donoghue with Thomas Tilling. (Harper & Row, $12.95.) ''How to profit from		
""	inflation and fluctuating interest rates.''		
""			
7	ALL YOU NEED TO KNOW ABOUT THE IRS, 1981 Edition, by Paul N. Strassels	7	2
""	and Robert Wool. (Random House, $11.95.) A taxpayer's guide.		
""			
8	YOU CAN NEGOTIATE ANYTHING, by Herb Cohen. (Lyle Stuart, $12.) ''How to	11	6
""	get an edge on life.''		
""			
9	SECOND OPINION, by Isadore Rosenfeld, M.D. (Linden Press, $14.95.)	--	1
""	Alternative treatments for important common disorders.		
""			
10	MARIA CALLAS, by Arianna Stassinopoulos. (Simon & Schuster, $15.95.) A	--	1
""	gossipy biography of an extraordinary singer and electrifying personality.		
""			
11	BETTY CROCKER'S INTERNATIONAL COOKBOOK. (Random House, $13.95.)	8	20
""	A new collection of recipes under a long established name.		
""			
12	CRAIG CLAIBORNE'S GOURMET DIET, by Craig Claiborne with Pierre Franey.	13	34
""	(Times Books, $10.95.) Recipes for eating well, losing weight and maintaining		
""	good health.		
""			
13	NOTHING DOWN, by Robert G. Allen. (Simon & Schuster, $11.95.) How to buy	9	44
""	real estate with little or no cash.		
""			
14	THE SKY'S THE LIMIT, by Wayne Dyer. (Simon & Schuster, $10.95.) Prescription	10	27
""	for ''achieving perfection of body and mind.''		
""			
15	CRISIS INVESTING, by Douglas R. Casey. (Stratford Press, $12.50.)	12	31
""	''Opportunities for investing in the coming Great Depression.''		
