This	June 28, 1981	Last	Weeks
Week	Fiction	Week	On List
""			
1	NOBLE HOUSE, by James Clavell. (Delacorte, $19.95.) British and Chinese	1	8
""	businessmen struggle for control of one of Hong Kong's oldest trading houses.		
""			
2	GORKY PARK, by Martin Cruz Smith. (Random House, $13.95.) A triple murder in	2	12
""	Moscow leads to a chase on two continents.		
""			
3	GOD EMPEROR OF DUNE, by Frank Herbert. (Putnam's, $12.95.) Leto continues	3	10
""	as guardian and savior of the human race in the fourth novel about the planet		
""	Dune.		
""			
4	GOODBYE, JANETTE, by Harold Robbins. (Simon & Schuster, $13.95.) Two	12	3
""	randy sisters at large in the Parisian world of haute couture.		
""			
5	FREE FALL IN CRIMSON, by John D. MacDonald. (Harper & Row, $10.95.)	4	10
""	Travis McGee investigates the murder of an ailing tycoon.		
""			
6	MASQUERADE, by Kit Williams. (Schocken Books, $9.95.) An illustrated fable	9	24
""	about the Sun, the Moon and a hidden treasure.		
""			
7	THE WHITE HOTEL, by D.M. Thomas. (Viking, $12.95.) Sigmund Freud treats a	6	10
""	young woman whose case epitomizes the neuroses of the 20th century.		
""			
8	THE GLITTER DOME, by Joseph Wambaugh. (Morrow/Perigord, $12.95.) Two	--	1
""	veteran homicide detectives trapped by the seductive vices of Hollywood.		
""			
9	THE CARDINAL SINS, by Andrew M. Greeley. (Warner/Bernard Geis, $12.95.)	--	1
""	The triumphs and tragedies of two Chicago boys as priests in the Catholic Church.		
""			
10	XPD, by Len Deighton. (Knopf, $12.95.) The British and the Russians race to get	8	7
""	proof that Churchill once did business with Hitler.		
""			
11	LICENSE RENEWED, by John Gardner. (Richard Marek, $9.95.) James Bond	--	3
""	against a mad nuclear physicist.		
""			
12	THE COVENANT, by James A. Michener. (Random House, $17.95.) Fifteen	7	36
""	thousand years of South African history.		
""			
13	CREATION, by Gore Vidal. (Random House, $15.95.) A journey through that	10	13
""	greatest of all ages, the fifth century B.C., in the company of a man critical of it all.		
""			
14	TAR BABY, by Toni Morrison. (Knopf, $11.95.) A black fable of race and eroticism	5	11
""	set on a Caribbean island.		
""			
15	REFLEX, by Dick Francis. (Putnam's, $11.95.) A British jockey copes with	11	12
""	blackmail and discovers his own missing past.		
This	June 28, 1981	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE LORD GOD MADE THEM ALL, by James Herriot. (St. Martin's, $13.95.) The	1	8
""	further adventures of the Yorkshire vet at home and behind the Iron Curtain.		
""			
2	NEVER-SAY-DIET BOOK, by Richard Simmons. (Warner, $14.95.) A regimen for	2	21
""	exercise, diet and life style devised by a Hollywood television personality.		
""			
3	THE BEVERLY HILLS DIET, by Judy Mazel. (Macmillan, $9.95.) A regimen	3	6
""	devised by a Hollywood nutrition guru.		
""			
4	THE EAGLE'S GIFT, by Carlos Castaneda. (Simon & Schuster, $12.95.) Another	14	7
""	journey into the land of sorcery, hallucinatory visions and Mexican Indian lore.		
""			
5	COSMOS, by Carl Sagan. (Random House, $19.95.) Thirteen billion years of the	4	33
""	universe's evolution explained by the NASA medal-winning space scientist.		
""			
6	THE PRITIKIN PERMANENT WEIGHT-LOSS MANUAL, by Nathan Pritikin.	8	4
""	(Grosset & Dunlap, $14.95.) A nutritionist's regimen for health and long life.		
""			
7	MISS PIGGY'S GUIDE TO LIFE, by Miss Piggy as told to Henry Beard. (Knopf/	--	1
""	Muppet Press, $12.95.) Advice about everything from the superstar porcine		
""	personality.		
""			
8	MARIA CALLAS, by Arianna Stassinopoulos. (Simon & Schuster, $15.95.) A	13	12
""	gossipy biography of an extraordinary singer and electrifying personality.		
""			
9	YOU CAN NEGOTIATE ANYTHING, by Herb Cohen. (Lyle Stuart, $12.) Ways to	7	17
""	avoid conflict and get what you want.		
""			
10	DR. ATKINS' NUTRITION BREAKTHROUGH, by Robert C. Atkins, M.D.	12	10
""	(Morrow/Perigord, $10.95.) How common illnesses can be treated without drugs,		
""	but with diets supplemented by vitamins and minerals.		
""			
11	THEORY Z, by William G. Ouchi. (Addison-Wesley, $12.95.) The reasons for	--	1
""	Japanese business success.		
""			
12	BETTY CROCKER'S INTERNATIONAL COOKBOOK. (Random House, $13.95.)	--	28
""	A new collection of recipes under a long established name.		
""			
13	THE ALPHA STRATEGY, by John A. Pugsley. (Stratford Press, $13.95.) Advice	--	1
""	on financial survival in an economically unstable world.		
""			
14	NICE GIRLS DO, by Irene Kassorla. (Stratford Press, $9.95.) A psychologist	6	22
""	advises women ''how to solve their own sexual problems.''		
""			
15	WILLIAM E. DONOGHUE'S COMPLETE MONEY MARKET GUIDE, by William E.	10	14
""	Donoghue with Thomas Tilling. (Harper & Row, $12.95.) ''How to profit from		
""	inflation and fluctuating interest rates.''		
