This	August 23, 1981	Last	Weeks
Week	Fiction	Week	On List
""			
1	CUJO, by Stephen King. (Viking, $13.95.) Monsters haunt a New York family	5	2
""	seeking peace in rural Maine.		
""			
2	NOBLE HOUSE, by James Clavell. (Delacorte, $19.95.) British and Chinese	1	16
""	businessmen struggle for control of one of Hong Kong's oldest trading houses.		
""			
3	THE THIRD DEADLY SIN, by Lawrence Sanders. (Putnam's, $13.95.) Chief of	3	4
""	Detectives (ret.) Edward X. Delaney on the trail of the elusive killer of out-of-town		
""	businessmen visiting New York.		
""			
4	GORKY PARK, by Martin Cruz Smith. (Random House, $13.95.) A triple murder in	2	20
""	Moscow leads to a chase on two continents.		
""			
5	THE GLITTER DOME, by Joseph Wambaugh. (Morrow/Perigord, $12.95.) Two	4	9
""	veteran homicide detectives trapped by the seductive vices of Hollywood.		
""			
6	GOODBYE, JANETTE, by Harold Robbins. (Simon & Schuster, $13.95.) Two	6	11
""	randy sisters at large in the Parisian world of haute couture.		
""			
7	TRADE WIND, by M.M. Kaye. (St. Martin's, $15.) Love and death in exotic 19th-	7	5
""	century Zanzibar.		
""			
8	THE CARDINAL SINS, by Andrew M. Greeley. (Warner/Bernard Geis, $12.95.)	10	9
""	The triumphs and tragedies of two Chicago boys as priests in the Catholic Church.		
""			
9	THE CLOWNS OF GOD, by Morris West. (Morrow, $14.95.) What happens when	9	6
""	the Pope has a revelation that the end of the world is near and the Cardinals force		
""	him to abdicate.		
""			
10	GOD EMPEROR OF DUNE, by Frank Herbert. (Putnam's, $12.95.) Leto continues	8	18
""	as guardian and savior of the human race in the fourth novel about the planet		
""	Dune.		
""			
11	LICENSE RENEWED, by John Gardner. (Richard Marek, $9.95.) James Bond	11	11
""	against a mad nuclear physicist.		
""			
12	FREE FALL IN CRIMSON, by John D. MacDonald. (Harper & Row, $10.95.)	13	18
""	Travis McGee investigates the murder of an ailing tycoon.		
""			
13	THE WHITE HOTEL, by D.M. Thomas. (Viking, $12.95.) Sigmund Freud treats a	12	17
""	young woman whose case epitomizes the neuroses of the 20th century.		
""			
14	MASQUERADE, by Kit Williams. (Schocken Books, $10.95.) An illustrated fable	--	31
""	about the Sun, the moon and a hidden treasure.		
""			
15	NIGHT PROBE!, by Clive Cussler. (Bantam, $13.95.) A race to recover an	--	1
""	important British-American treaty long lost at sea.		
This	August 23, 1981	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE BEVERLY HILLS DIET, by Judy Mazel. (Macmillan, $10.95.) A regimen	1	14
""	devised by a Hollywood nutrition guru.		
""			
2	THE LORD GOD MADE THEM ALL, by James Herriot. (St. Martin's, $13.95.) The	2	16
""	further adventures of the Yorkshire vet at home and behind the Iron Curtain.		
""			
3	NEVER-SAY-DIET BOOK, by Richard Simmons. (Warner, $14.95.) A regimen for	3	29
""	exercise, diet and life style devised by a Hollywood television personality.		
""			
4	MISS PIGGY'S GUIDE TO LIFE, by Miss Piggy as told to Henry Beard. (Knopf/	4	9
""	Muppet Press, $12.95.) Advice about everything from the superstar porcine		
""	personality.		
""			
5	THE CINDERELLA COMPLEX, by Colette Dowling. (Summit Books, $12.95.)	6	5
""	From her own experience, a writer argues that women have a hidden fear of		
""	independence.		
""			
6	THEORY Z, by William G. Ouchi. (Addison-Wesley, $12.95.) The reasons for	10	9
""	Japanese business success.		
""			
7	THE HITE REPORT ON MALE SEXUALITY, by Shere Hite. (Knopf, $19.95.) The	7	5
""	performances and practices of 7,239 men, ages 13 to 97.		
""			
8	LIVING ALONE & LIKING IT! by Lynn Shahan. (Stratford Press, $10.95.) How to	15	3
""	enjoy the single life.		
""			
9	HOW TO MAKE LOVE TO A MAN, by Alexandra Penney. (Clarkson N. Potter,	--	1
""	$10.) How-to.		
""			
10	THE EAGLE'S GIFT, by Carlos Castaneda. (Simon & Schuster, $12.95.) Another	9	15
""	journey into the land of sorcery, hallucinatory visions and Mexican Indian lore.		
""			
11	JANE BRODY'S NUTRITION BOOK, by Jane Brody. (Norton, $17.95.) Advice by	8	5
""	The New York Times personal health columnist.		
""			
12	COSMOS, by Carl Sagan. (Random House, $19.95.) Thirteen billion years of the	5	41
""	universe's evolution explained by the NASA medal-winning space scientist.		
""			
13	PRISONER WITHOUT A NAME, CELL WITHOUT A NUMBER, by Jacobo	--	4
""	Timerman. (Knopf, $10.95.) Autobiographical reflections of an Argentine Jewish		
""	newspaperman who was imprisoned and tortured by the army.		
""			
14	KEEP IT SIMPLE, by Marion Burros. (Morrow, $11.95.) Dishes that can be	--	1
""	prepared within half an hour.		
""			
15	YOU CAN NEGOTIATE ANYTHING, by Herb Cohen. (Lyle Stuart, $12.) Ways to	13	25
""	avoid conflict and get what you want.		
