This	September 6, 1981	Last	Weeks
Week	Fiction	Week	On List
""			
1	CUJO, by Stephen King. (Viking, $13.95.) Monsters haunt a New York family	1	4
""	seeking peace in rural Maine.		
""			
2	THE THIRD DEADLY SIN, by Lawrence Sanders. (Putnam's, $13.95.) Chief of	3	6
""	Detectives (ret.) Edward X. Delaney on the trail of the elusive killer of out-of-town		
""	businessmen visiting New York.		
""			
3	NOBLE HOUSE, by James Clavell. (Delacorte, $19.95.) British and Chinese	2	18
""	businessmen struggle for control of one of Hong Kong's oldest trading houses.		
""			
4	GORKY PARK, by Martin Cruz Smith. (Random House, $13.95.) A triple murder in	4	22
""	Moscow leads to a chase on two continents.		
""			
5	THE GLITTER DOME, by Joseph Wambaugh. (Morrow/Perigord, $12.95.) Two	5	11
""	veteran homicide detectives trapped by the seductive vices of Hollywood.		
""			
6	GOODBYE, JANETTE, by Harold Robbins. (Simon & Schuster, $13.95.) Two	6	13
""	randy sisters at large in the Parisian world of haute couture.		
""			
7	TRADE WIND, by M.M. Kaye. (St. Martin's, $15.) Love and death in exotic 19th-	9	7
""	century Zanzibar.		
""			
8	THE LAST DAYS OF AMERICA, by Paul Erdman. (Simon & Schuster, $13.95.)	12	2
""	International intrigue and dirty financial wheeling-and-dealing in 1985.		
""			
9	THE CARDINAL SINS, by Andrew M. Greeley. (Warner/Bernard Geis, $12.95.)	7	11
""	The triumphs and tragedies of two Chicago boys as priests in the Catholic Church.		
""			
10	THE CLOWNS OF GOD, by Morris West. (Morrow, $14.95.) What happens when	8	8
""	the Pope has a revelation that the end of the world is near and the Cardinals force		
""	him to abdicate.		
""			
11	WOMEN'S WORK, by Anne Tolstoi Wallach. (NAL Books, $13.95.) Women's lot in	--	1
""	the advertising industry.		
""			
12	LUCIANO'S LUCK, by Jack Higgins. (Stein & Day, $12.95.) Lucky Luciano,	13	2
""	American gangster chief, is whisked to wartime Europe to prepare the way for the		
""	Allied invasion.		
""			
13	NIGHT PROBE!, by Clive Cussler. (Bantam, $13.95.) A race to recover an	10	3
""	important British-American treaty long lost at sea.		
""			
14	GOD EMPEROR OF DUNE, by Frank Herbert. (Putnam's, $12.95.) Leto continues	11	20
""	as guardian and savior of the human race in the fourth novel about the planet		
""	Dune.		
""			
15	THE WHITE HOTEL, by D.M. Thomas. (Viking, $12.95.) Sigmund Freud treats a	--	18
This	September 6, 1981	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE BEVERLY HILLS DIET, by Judy Mazel. (Macmillan, $10.95.) A regimen	1	16
""	devised by a Hollywood nutrition guru.		
""			
2	THE LORD GOD MADE THEM ALL, by James Herriot. (St. Martin's, $13.95.) The	2	18
""	further adventures of the Yorkshire vet at home and behind the Iron Curtain.		
""			
3	NEVER-SAY-DIET BOOK, by Richard Simmons. (Warner, $14.95.) A regimen for	3	31
""	exercise, diet and life style devised by a Hollywood television personality.		
""			
4	MISS PIGGY'S GUIDE TO LIFE, by Miss Piggy as told to Henry Beard. (Knopf/	4	11
""	Muppet Press, $12.95.) Advice about everything from the superstar porcine		
""	personality.		
""			
5	LIVING ALONE & LIKING IT! by Lynn Shahan. (Stratford Press, $10.95.) How to	6	5
""	enjoy the single life.		
""			
6	THEORY Z, by William G. Ouchi. (Addison-Wesley, $12.95.) The reasons for	12	11
""	Japanese business success.		
""			
7	THE CINDERELLA COMPLEX, by Colette Dowling. (Summit Books, $12.95.)	7	7
""	From her own experience, a writer argues that women have a hidden fear of		
""	independence.		
""			
8	THE EAGLE'S GIFT, by Carlos Castaneda. (Simon & Schuster, $12.95.) Another	11	17
""	journey into the land of sorcery, hallucinatory visions and Mexican Indian lore.		
""			
9	COSMOS, by Carl Sagan. (Random House, $19.95.) Thirteen billion years of the	13	43
""	universe's evolution explained by the NASA medal-winning space scientist.		
""			
10	JANE BRODY'S NUTRITION BOOK, by Jane Brody. (Norton, $17.95.) Advice by	8	7
""	The New York Times personal health columnist.		
""			
11	HOW TO MAKE LOVE TO A MAN, by Alexandra Penney. (Clarkson N. Potter,	10	3
""	$10.) How-to.		
""			
12	KEEP IT SIMPLE, by Marian Burros. (Morrow, $11.95.) Meals that can be	14	3
""	prepared within half an hour.		
""			
13	THE HITE REPORT ON MALE SEXUALITY, by Shere Hite. (Knopf, $19.95.) The	5	7
""	performances and practices of 7,239 men, ages 13 to 97.		
""			
14	YOU CAN NEGOTIATE ANYTHING, by Herb Cohen. (Lyle Stuart, $12.) Ways to	9	27
""	avoid conflict and get what you want.		
""			
15	THE ART OF JAPANESE MANAGEMENT, by Richard Tanner Pascale and	--	3
""	Anthony G. Athos. (Simon & Schuster, $11.95.) Applications for American		
""	executives.		
