This	November 22, 1981	Last	Weeks
Week	Fiction	Week	On List
""			
1	AN INDECENT OBSESSION, by Colleen McCullough. (Harper & Row, $13.50.) A	1	5
""	nurse and her charges in a special-care ward of a World War II hospital.		
""			
2	THE HOTEL NEW HAMPSHIRE, by John Irving. (Dutton/Henry Robbins, $15.50.)	2	10
""	Life with an eccentric family.		
""			
3	CUJO, by Stephen King. (Viking, $13.95.) Monsters haunt a New York family	3	15
""	seeking peace in rural Maine.		
""			
4	NOBLE HOUSE, by James Clavell. (Delacorte, $19.95.) A British-Chinese	4	29
""	struggle for control of one of Hong Kong's oldest trading houses.		
""			
5	THE LEGACY, by Howard Fast. (Houghton Mifflin, $14.95.) The Lavette family of	5	7
""	''The Immigrants'' and ''The Establishment'' reaches the turbulent 60's.		
""			
6	RABBIT IS RICH, by John Updike. (Knopf, $13.95.) Harry Angstrom of ''Rabbit,	6	5
""	Run'' returns in the chips but unfulfilled.		
""			
7	THE CARDINAL SINS, by Andrew M. Greeley. (Warner/Bernard Geis, $12.95.)	7	22
""	The triumphs and tragedies of two Chicago boys as priests in the Catholic Church.		
""			
8	GORKY PARK, by Martin Cruz Smith. (Random House, $13.95.) A triple murder in	12	33
""	Moscow leads to a chase on two continents.		
""			
9	A FLAG FOR SUNRISE, by Robert Stone. (Knopf, $13.95.) Americans mixed up	--	1
""	in a Central American revolution.		
""			
10	THE LAST DAYS OF AMERICA, by Paul Erdman. (Simon & Schuster, $13.95.)	10	13
""	International intrigue and wheeling and-dealing in 1985.		
""			
11	THE THIRD DEADLY SIN, by Lawrence Sanders. (Putnam's, $13.95.) On the trail	8	17
""	of the elusive killer of o out-of-town businessmen visiting New York.		
""			
12	THE GLITTER DOME, by Joseph Wambaugh. (Morrow/Perigord, $12.95.) Two	14	22
""	veteran detectives trapped by Hollywood's seductive vices.		
""			
13	REMEMBRANCE, by Danielle Steel. (Delacorte, $14.95.) An Italian princess, in	9	3
""	quest of romance, finds frustration then fulfillment in America.		
""			
14	NIGHT PROBE!, by Clive Cussler. (Bantam, $13.95.) A race to recover an	15	13
""	important British-American treaty long lost at sea.		
""			
15	NO TIME FOR TEARS, by Cynthia Freeman. (Arbor House, $14.95.) A dauntless	13	2
""	woman leads her family from Czarist Russia to Palestine to New York's diamond		
""	center.		
This	November 22, 1981	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	NEVER-SAY-DIET BOOK, by Richard Simmons. (Warner, $14.95.) A regimen for	1	42
""	exercise, diet and life style devised by a Hollywood television personality.		
""			
2	THE LORD GOD MADE THEM ALL, by James Herriot. (St. Martin's, $13.95.) The	2	29
""	further adventures of the Yorkshire vet at home and behind the Iron Curtain.		
""			
3	FROM BAUHAUS TO OUR HOUSE, by Tom Wolfe. (Farrar, Straus & Giroux,	6	4
""	$10.95.) A critical look at contemporary architecture.		
""			
4	THE BEVERLY HILLS DIET, by Judy Mazel. (Macmillan, $10.95.) A regimen	3	27
""	devised by a Hollywood nutrition guru.		
""			
5	HOW TO MAKE LOVE TO A MAN, by Alexandra Penney. (Clarkson N. Potter,	5	14
""	$10.) How-to.		
""			
6	A LIGHT IN THE ATTIC, by Shel Silverstein. (Harper & Row, $10.95.) Humor in	4	3
""	cartoons and verse.		
""			
7	THE CINDERELLA COMPLEX, by Colette Dowling. (Summit Books, $12.95.)	9	18
""	From her own experience, a writer argues that women have a hidden fear of		
""	independence.		
""			
8	COSMOS, by Carl Sagan. (Random House, $22.95.) Thirteen billion years of the	7	54
""	universe's evolution explained by the NASA medal-winning space scientist.		
""			
9	JANE BRODY'S NUTRITION BOOK, by Jane Brody. (Norton, $17.95.) Advice by	10	18
""	The New York Times personal health columnist.		
""			
10	MISS PIGGY'S GUIDE TO LIFE, by Miss Piggy as told to Henry Beard. (Knopf/	11	22
""	Muppet Press, $12.95.) Amusing advice about everything from the superstar		
""	porcine personality.		
""			
11	THE SOUL OF A NEW MACHINE, by Tracy Kidder. (Atlantic-Little, Brown,	12	5
""	$13.95.) The making of a microcomputer.		
""			
12	PATHFINDERS, by Gail Sheehy. (Morrow, $15.95.) How ordinary people cope	8	3
""	with the normal crises of life.		
""			
13	SOCIAL STUDIES, by Fran Lebowitz. (Random House, $9.95.) Amusing looks at	13	8
""	New York and America by a young woman with a sour-cream sensibility.		
""			
14	LIVING ALONE & LIKING IT! by Lynn Shahan. (Stratford Press, $10.95.) How to	--	15
""	enjoy the single life.		
""			
15	THEORY Z, by William G. Ouchi. (Addison-Wesley, $12.95.) The reasons for	14	22
""	Japanese business success.		
