This	January 10, 1982	Last	Weeks
Week	Fiction	Week	On List
""			
1	AN INDECENT OBSESSION, by Colleen McCullough. (Harper & Row, $13.50.) A	1	12
""	nurse and her charges in a special-care ward of a World War II hospital.		
""			
2	THE HOTEL NEW HAMPSHIRE, by John Irving. (Dutton/Henry Robbins, $15.50.)	2	17
""	Life with an eccentric family.		
""			
3	NOBLE HOUSE, by James Clavell. (Delacorte, $19.95.) A British-Chinese	3	36
""	struggle for control of one of Hong Kong's oldest trading houses.		
""			
4	CUJO, by Stephen King. (Viking, $13.95.) Monsters haunt a New York family	4	22
""	seeking peace in rural Maine.		
""			
5	SPRING MOON, by Bette Bao Lord. (Harper & Row, $14.95.) Tradition and	6	7
""	revolution in modern China seen through the life of an upper-class family.		
""			
6	GORKY PARK, by Martin Cruz Smith. (Random House, $13.95.) A triple murder in	8	40
""	Moscow leads to a chase on two continents.		
""			
7	MASQUERADE, by Kit Williams. (Schocken Books, $10.95.) An illustrated fable	13	37
""	about the sun, the moon and a hidden treasure.		
""			
8	NO TIME FOR TEARS, by Cynthia Freeman. (Arbor House, $14.95.) A dauntless	5	9
""	woman leads her family from Czarist Russia to Palestine to New York's diamond		
""	center.		
""			
9	REMEMBRANCE, by Danielle Steel. (Delacorte, $14.95.) An Italian princess, in	7	10
""	quest of romance, finds frustration, then fulfillment in America.		
""			
10	RABBIT IS RICH, by John Updike. (Knopf, $13.95.) Harry Angstrom of ''Rabbit,	9	12
""	Run'' returns in the chips but unfulfilled.		
""			
11	THE CARDINAL SINS, by Andrew M. Greeley. (Warner/Bernard Geis, $12.95.)	10	29
""	The triumphs and tragedies of two Chicago boys as priests in the Catholic Church.		
""			
12	GO SLOWLY, COME BACK QUICKLY, by David Niven. (Doubleday, $14.95.) A	11	3
""	handsome Polish American at large in Europe and America during World War II.		
""			
13	THE THIRD DEADLY SIN, by Lawrence Sanders. (Putnam's, $13.95.) On the trail	--	23
""	of the elusive killer of out of town businessmen visiting New York.		
""			
14	GOD EMPEROR OF DUNE, by Frank Herbert. (Putnam's, $12.95.) Leto continues	--	24
""	as guardian and savior of the human r ace in the fourth novel about the planet		
""	Dune.		
""			
15	THE LEGACY, by Howard Fast. (Houghton Mifflin, $14.95.) The Lavette family of	12	14
""	''The Immigrants'' and ''The Establishment'' reaches the turbulent 60's.		
This	January 10, 1982	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	A LIGHT IN THE ATTIC, by Shel Silverstein. (Harper & Row, $10.95.) Humor in	1	10
""	cartoons and verse.		
""			
2	A FEW MINUTES WITH ANDY ROONEY, by Andrew A. Rooney. (Atheneum,	4	5
""	$12.95.) Reflections on contemporary life by the syndicated columnist and		
""	television commentator.		
""			
3	THE LORD GOD MADE THEM ALL, by James Herriot. (St. Martin's, $13.95.) The	2	36
""	further adventures of the Yorkshire vet at home and behind the Iron Curtain.		
""			
4	COSMOS, by Carl Sagan. (Random House, $22.95.) Thirteen billion years of the	3	61
""	universe's evolution explained by the NASA medal-winning space scientist.		
""			
5	THE WALK WEST: A Walk Across America 2, by Peter and Barbara Jenkins.	6	3
""	(Morrow, $14.95.) A newlywed couple's adventures on a trek from Louisiana to		
""	Oregon.		
""			
6	LAID BACK IN WASHINGTON, by Art Buchwald. (Putnam's, $12.95.) The	9	3
""	columnist has his funny say on politics, sex and life in general.		
""			
7	NEVER-SAY-DIET BOOK, by Richard Simmons. (Warner, $14.95.) A regimen for	5	49
""	exercise, diet and life style devised by a Hollywood television personality.		
""			
8	PATHFINDERS, by Gail Sheehy. (Morrow, $15.95.) How ordinary people cope	7	10
""	with the normal crises of life.		
""			
9	MISS PIGGY'S GUIDE TO LIFE, by Miss Piggy as told to Henry Beard.	10	28
""	(Knopf/Muppet Press, $12.95.) Amusing advice about everything from the		
""	superstar porcine personality.		
""			
10	ELVIS, by Albert Goldman. (McGraw-Hill, $14.95.) The life and death of Elvis	12	8
""	Presley.		
""			
11	ELIZABETH TAYLOR: The Last Star, by Kitty Kelley. (Simon & Schuster, $14.95.)	14	7
""	A gossipy biography.		
""			
12	THE BEST OF DEAR ABBY, by Abigail Van Buren. (Andrews & McMeel, $9.95.)	8	7
""	A cornucopia of advice on all sorts of personal matters from the syndicated		
""	columnist.		
""			
13	TEENAGE ROMANCE, by Delia Ephron. (Viking, $9.95.) The embarrassments of	13	5
""	adolescence recalled in words, and in drawings by Edward Koren.		
""			
14	FROM BAUHAUS TO OUR HOUSE, by Tom Wolfe. (Farrar, Straus & Giroux,	11	11
""	$10.95.) A critical look at contemporary architecture.		
""			
15	THE BREAKS OF THE GAME, by David Halberstam. (Knopf, $15.) The world of	--	2
