This	July 18, 1982	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE PARSIFAL MOSAIC, by Robert Ludlum. (Random House, $15.95.) Through	1	18
""	many exploits and hairbreadth escapes, Michael Havelock saves the world from		
""	nuclear extinction.		
""			
2	THE PRODIGAL DAUGHTER, by Jeffrey Archer. (Linden Press, $15.95.) A	3	7
""	sequel to the author's ''Kane & Abel,'' in which two children of those antagonists		
""	marry one another.		
""			
3	THE MAN FROM ST. PETERSBURG, by Ken Follett. (Morrow, $14.50.) During a	2	10
""	mission to Britain on the eve of World War I, a Russian terrorist collides with his		
""	own romantic past.		
""			
4	EDEN BURNING, by Belva Plain. (Delacorte, $15.95.) Romance and political	4	6
""	upheaval on a Caribbean island.		
""			
5	THE ONE TREE, by Stephen R. Donaldson. (Ballantine/Del Rey, $14.50.) Book	6	12
""	Two in the fantasy series, ''The Second Chronicles of Thomas Covenant.''		
""			
6	NORTH AND SOUTH, by John Jakes. (Harcourt Brace Jovanovich, $14.95.) The	5	24
""	friendship of two wealthy families - one in Pennsylvania, the other in Carolina - is		
""	strained by the Civil War.		
""			
7	TWICE SHY, by Dick Francis. (Putnam's, $13.95.) Greed at work in the world of	13	14
""	horse racing and computer programming.		
""			
8	FRIDAY, by Robert A. Heinlein. (Holt, Rinehart & Winston, $14.95.) The	12	4
""	adventures on Earth of an Artificial Person, a creature of genetic engineering, in		
""	the service of a Boss in outer space.		
""			
9	FOR SPECIAL SERVICES, by John Gardner. (Coward, McCann & Geoghegan,	7	9
""	$9.95.) James Bond against his old enemy SPECTRE.		
""			
10	PUBLIC SMILES, PRIVATE TEARS, by Helen Van Slyke with James Elward.	15	13
""	(Harper & Row, $13.50.) A woman has to choose between a career and marriage.		
""			
11	THY BROTHER'S WIFE, by Andrew M. Greeley. (Warner/Geis, $14.95.) Two	9	14
""	brothers, a priest and a senator, each in his own way, love the same woman.		
""			
12	DINNER AT THE HOMESICK RESTAURANT, by Anne Tyler. (Knopf, $13.50.)	11	11
""	Three children caught in the toils of their parents' past.		
""			
13	CINNAMON SKIN, by John D. MacDonald. (Harper & Row, $13.95.) In his 20th	8	3
""	adventure, Travis McGee investigates a tragic yet suspicious accident that befalls		
""	a friend's family at sea.		
""			
14	NO COMEBACKS, by Frederick Forsyth. (Viking, $13.95.) Ten taut tales about	14	2
""	deception, blackmail, murder and revenge, leavened by an ironic sense of humor.		
This	July 18, 1982	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	JANE FONDA'S WORKOUT BOOK, by Jane Fonda. (Simon & Schuster, $17.95.)	1	26
""	An exercise book for women, seasoned with the film star's philosophy of physical		
""	well-being.		
""			
2	LIVING, LOVING & LEARNING, by Leo Buscaglia. (Holt/Slack, $13.50.)	4	13
""	Inspirational talks by a University of Southern California professor.		
""			
3	AMERICA IN SEARCH OF ITSELF: The Making of the President, 1956-80, by	3	7
""	Theodore H. White. (Harper & Row, $15.95.) A summing-up by the historian of the		
""	modern Presidency.		
""			
4	NO BAD DOGS: The Woodhouse Way, by Barbara Woodhouse. (Summit,	8	16
""	$12.50.) Advice on training dogs by a British expert: tie-in to a television series.		
""			
5	THE FATE OF THE EARTH, by Jonathan Schell. (Knopf, $11.95.) Essays on the	6	11
""	dangers to life on earth from nuclear weapons.		
""			
6	WHEN BAD THINGS HAPPEN TO GOOD PEOPLE, by Harold S. Kushner.	7	23
""	(Schocken, $10.95.) Comforting thoughts from a rabbi.		
""			
7	A LIGHT IN THE ATTIC, by Shel Silverstein. (Harper & Row, $12.45.) Humor in	10	37
""	cartoons and verse.		
""			
8	A FEW MINUTES WITH ANDY ROONEY, by Andrew A. Rooney. (Atheneum,	2	32
""	$12.95.) Reflections on contemporary life by the journalist and television		
""	commentator.		
""			
9	THE UMPIRE STRIKES BACK, by Ron Luciano with David Fisher. (Bantam,	5	8
""	$12.95.) The opinions and memories of the oddball baseball umpire.		
""			
10	RICHARD SIMMONS' NEVER-SAY-DIET COOKBOOK. (Warner, $15.95.) More	9	5
""	than 100 recipes by the Hollywood television personality and exercise guru.		
""			
11	LATE INNINGS, by Roger Angell. (Simon & Schuster, $17.50.) Essays inspired by	15	4
""	the baseball seasons of 1977-81.		
""			
12	HOW TO MAKE LOVE TO A WOMAN, by Michael Morgenstern. (Clarkson N.	--	1
""	Potter, $10.95.) A lawyer tells men ''what women want.''		
""			
13	WEIGHT WATCHERS 365-DAY MENU COOKBOOK. (New American Library,	--	20
""	$14.95.) A compilation of more than 500 new recipes.		
""			
14	PRINCESS, by Robert Lacey. (Times Books, $16.95.) The life of the Princess of	--	1
""	Wales in words and pictures.		
""			
15	STRATEGIC INVESTING, by Douglas Casey. (Simon & Schuster, $15.95.) Advice	11	6
""	for ''the inflationary 80's'' by a professional speculator.		
