This	October 9, 1983	Last	Weeks
Week	Fiction	Week	On List
""			
1	POLAND, by James A. Michener. (Random House, $17.95.) Seven centuries of	1	6
""	history in fictional form.		
""			
2	CHANGES, by Danielle Steel. (Delacorte, $15.95.) The crises that arise when a	2	5
""	television anchorwoman and a glamorous physician fall in love.		
""			
3	THE NAME OF THE ROSE, by Umberto Eco. (Helen & Kurt Wolff/Harcourt Brace	3	16
""	Jovanovich, $15.95.) Unraveling the mystery of a murder in a 14th-century Italian		
""	monastery.		
""			
4	HOLLYWOOD WIVES, by Jackie Collins. (Simon & Schuster, $16.95.) The	5	10
""	struggle for money and power in Tinsel Town.		
""			
5	AUGUST, by Judith Rossner. (Houghton Mifflin, $15.95.) The five-year	4	9
""	relationship of two women, a teen-age patient and her analyst.		
""			
6	WHO KILLED THE ROBINS FAMILY?, created by Bill Adler and written by	6	6
""	Thomas Chastain. (Morrow, $9.95.) The publisher offers a $10,000 prize to the		
""	reader who submits the best answer.		
""			
7	RETURN OF THE JEDI, adapted by Joan D. Vinge. (Random House, $6.95.)	7	18
""	Illustrated storybook based on the latest ''Star Wars'' film.		
""			
8	WINTER'S TALE, by Mark Helprin. (Harcourt Brace Jovanovich, $14.95.) Heroic	12	3
""	lives in Manhattan between the late 19th century and the year 2000.		
""			
9	MONIMBO, by Robert Moss and Arnaud de Borchgrave. (Simon & Schuster,	9	4
""	$15.95.) What happens after Castro unveils a plan to stir racial tension in the		
""	United States.		
""			
10	THE AUERBACH WILL, by Stephen Birmingham. (Little, Brown, $16.95.) Three	13	3
""	generations of a German-Jewish family in New York.		
""			
11	CHRISTINE, by Stephen King. (Viking, $16.95.) A car that kills is at large among a	8	27
""	Pennsylvania town's high school set.		
""			
12	THE LITTLE DRUMMER GIRL, by John le Carré. (Knopf, $15.95.) A British	10	30
""	actress caught between agents of Israeli intelligence and of the Palestine		
""	Liberation Organization.		
""			
13	THE SEDUCTION OF PETER S., by Lawrence Sanders. (Putnam, $15.95.) The	11	12
""	sudden danger-filled success of a long out-of-work actor.		
""			
14	EVERYTHING AND MORE, by Jacqueline Briskin. (Putnam, $15.95.) Life after	15	3
""	Beverly Hills High School: the careers of four women.		
""			
15	HEARTBURN, by Nora Ephron. (Knopf, $11.95.) A roman a clef about a marriage	14	24
This	October 9, 1983	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	IN SEARCH OF EXCELLENCE, by Thomas J. Peters and Robert H. Waterman Jr.	1	39
""	(Harper & Row, $19.95.) Lessons to be learned from well-run American		
""	corporations.		
""			
2	MEGATRENDS, by John Naisbitt. (Warner, $17.50.) Predictions about America in	3	48
""	the next decade based on an analysis of conditions today.		
""			
3	ON WINGS OF EAGLES, by Ken Follett. (Morrow, $17.95.) The rescue of a Texas	2	6
""	businessman from an Iranian prison.		
""			
4	THE ONE MINUTE MANAGER, by Kenneth Blanchard and Spencer Johnson.	4	54
""	(Morrow, $15.) How to increase the productivity of those with whom you work, as		
""	well as your own.		
""			
5	CREATING WEALTH, by Robert G. Allen. (Simon & Schuster, $15.95.) Making	5	20
""	money in real estate.		
""			
6	FATAL VISION, by Joe McGinniss. (Putnam, $17.95.) The case of Jeffrey	7	2
""	MacDonald, Ivy League graduate, respected physician and convicted killer of his		
""	wife and daughters.		
""			
7	MOTHERHOOD: The Second Oldest Profession, by Erma Bombeck. (McGraw-	9	3
""	Hill, $12.95.) A humorous look at the biggest on-the-job training program ever.		
""			
8	NOTHING DOWN, by Robert G. Allen. (Simon & Schuster, $16.95.) How to buy	11	54
""	real estate with little or no money: a 1980 book.		
""			
9	THE BODY PRINCIPAL, by Victoria Principal. (Simon & Schuster, $16.95.)	--	1
""	Exercises for women by a television personality.		
""			
10	THE BEST OF JAMES HERRIOT. (St. Martin's Press, $19.95.) Selections from	10	4
""	the writings of the Yorkshire veterinarian.		
""			
11	OUT ON A LIMB, by Shirley MacLaine. (Bantam, $15.95.) The actress tells of her	6	13
""	mid-life ''journey to find her true self.''		
""			
12	JANE FONDA'S WORKOUT BOOK, by Jane Fonda. (Simon & Schuster, $19.95.)	8	90
""	Exercise for women by the film actress.		
""			
13	OUTRAGEOUS ACTS AND EVERYDAY REBELLIONS, by Gloria Steinem. (Holt,	13	2
""	Rinehart & Winston, $14.95.) Essays by a leading feminist writer.		
""			
14	BLUE HIGHWAYS, by William Least Heat Moon. (Atlantic/Little, Brown, $17.50.) A	12	34
""	report on a trip through the back roads of America.		
""			
15	HOW TO SATISFY A WOMAN EVERY TIME, by Naura Hayden. (Dutton/Bibli	--	10
""	O'Phile, $7.95.) Advice from a television and radio personality.		
