This	October 14,1984	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE FOURTH PROTOCOL, by Frederick Forsyth. (Viking, $17.95.) A London	1	9
""	jewel robbery leads to plots and counterplots behind the Iron Curtain.		
""			
2	GOD KNOWS, by Joseph Heller. (Knopf, $16.95.) King David describes his life in	10	2
""	comic and anachronistic style.		
""			
3	''. . . AND LADIES OF THE CLUB,'' by Helen Hooven Santmyer. (Putnam,	2	18
""	$19.95.) Life in an Ohio town, 1868 to 1932.		
""			
4	FIRST AMONG EQUALS, by Jeffrey Archer. (Linden Press/Simon & Schuster,	3	11
""	$16.95.) Three young men vie to be chosen Prime Minister of Britain.		
""			
5	LINCOLN, by Gore Vidal. (Random House, $19.95.) A fictionalized account of the	4	17
""	Civil War Presidency.		
""			
6	STRONG MEDICINE, by Arthur Hailey. (Doubleday, $16.95.) A strong woman	7	3
""	rises in the pharmaceutical industry.		
""			
7	CRESCENT CITY, by Belva Plain. (Delacorte, $16.95.) Life in 19th-century New	6	5
""	Orleans, seen from the viewpoint of a Jewish woman.		
""			
8	TOUGH GUYS DON'T DANCE, by Norman Mailer. (Random House, $16.95.) A	5	8
""	murder mystery set in Provincetown, Mass.		
""			
9	JOB: A Comedy of Justice, by Robert A. Heinlein. (Del Rey, $16.95.) A bigoted yet	8	7
""	lovable religious man has his faith tested in a series of tribulations in a variety of		
""	alternate worlds.		
""			
10	THE MIKO, by Eric Van Lustbader. (Villard Books, $16.95.) An American	9	8
""	businessman struggles with a vengeful Japanese sorceress in a high-stakes battle		
""	involving oil.		
""			
11	THE AQUITAINE PROGRESSION, by Robert Ludlum. (Random House, $17.95.)	12	32
""	A lawyer is caught in a conspiracy to seize the Western world.		
""			
12	THE BUTTER BATTLE BOOK, by Dr. Seuss. (Random House, $6.95.) A warning	11	31
""	about the nuclear arms race in words and pictures.		
""			
13	THE OUTSIDER, by Howard Fast. (Houghton Mifflin, $15.95.) Life in a small New	13	5
""	England town as seen by a young rabbi and his family.		
""			
14	SUPERIOR WOMEN, by Alice Adams. (Knopf, $16.95.) Five friends at Radcliffe	--	1
""	and after.		
""			
15	ROLE OF HONOR, by John Gardner. (Putnam, $11.95.) James Bond leaves	14	4
""	Government service to become a private spy.		
This	October 14, 1984	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	LOVING EACH OTHER, by Leo Buscaglia. (Slack/Holt, Rinehart & Winston,	1	7
""	$13.95.) Suggestions for ''setting our priorities right in order to enjoy life to the		
""	fullest.''		
""			
2	PIECES OF MY MIND, by Andrew A. Rooney. (Atheneum, $12.95.) More essays	3	5
""	by the journalist and television commentator.		
""			
3	THE BRIDGE ACROSS FOREVER, by Richard Bach. (Morrow, $16.95.) The	2	6
""	author of ''Jonathan Livingston Seagull'' recounts his search for a true love.		
""			
4	THE KENNEDYS: An American Drama, by Peter Collier and David Horowitz.	4	16
""	(Summit, $20.95.) The dark as well as the glamorous sides of four generations of		
""	a prominent family.		
""			
5	THE REST OF US, by Stephen Birmingham. (Little, Brown, $19.95.) Success	5	6
""	stories of American Jews from Eastern Europe.		
""			
6	HEY, WAIT A MINUTE, I WROTE A BOOK! by John Madden with Dave	6	4
""	Anderson. (Villard Books, $14.95.) An anecdotal autobiography of the popular		
""	television sports announcer.		
""			
7	CLOSE ENCOUNTERS, by Mike Wallace and Gary Paul Gates. (Morrow,	15	2
""	$17.95.) A memoir by the ''60 Minutes'' reporter.		
""			
8	ONE WRITER'S BEGINNINGS, by Eudora Welty. (Harvard, $10.) The novelist	13	32
""	recalls her childhood in Mississippi.		
""			
9	A LIGHT IN THE ATTIC, by Shel Silverstein. (Harper & Row, $13.50.) Light verse	12	99
""	and drawings by the author.		
""			
10	THE WENDY DILEMMA , by Dan Kiley. (Arbor House, $25.95.) Why some women	9	3
""	inappropriately mother their men.		
""			
11	IN GOD'S NAME, by David A. Yallop. (Bantam, $16.95.) A British journalist argues	7	15
""	that Pope John Paul I's death in 1978 was a case of murder.		
""			
12	GOOD MORNING, MERRY SUNSHINE, by Bob Greene. (Atheneum, $14.95.)	11	17
""	The syndicated columnist's journal of his child's first year.		
""			
13	THE FIRE FROM WITHIN, by Carlos Castaneda. (Simon & Schuster, $16.50.)	--	21
""	Another report on the world of magic and sorcery.		
""			
14	THE NIGHTMARE YEARS: 1930-1940, by William L. Shirer. (Little, Brown,	10	19
""	$22.50.) The second volume of the memoirs of a celebrated foreign		
""	correspondent.		
""			
15	MOSES THE KITTEN, by James Herriot. (St. Martin's, $9.95.) The illustrated	--	1
