This	December 16, 1984	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE TALISMAN, by Stephen King and Peter Straub. (Viking, $18.95.) Two parallel	1	8
""	worlds and a young boy who can travel between them.		
""			
2	THE SICILIAN, by Mario Puzo. (Linden Press/ Simon & Schuster, $17.95.) A	2	5
""	fictionalized life of Salvatore Giuliano, the Sicilian bandit-hero of the 1940's.		
""			
3	LOVE AND WAR, by John Jakes. (Harcourt Brace Jovanovich, $19.95.) The Civil	3	9
""	War rages in this saga of a Pennsylvania family and a South Carolina family,		
""	begun in ''North and South.''		
""			
4	NUTCRACKER, by E. T. A. Hoffmann. (Crown, $19.95.) A new translation of the	--	3
""	popular Christmas story, with 100 color illustrations by Maurice Sendak.		
""			
5	THE LIFE AND HARD TIMES OF HEIDI ABROMOWITZ, by Joan Rivers.	5	5
""	(Delacorte, $8.95.) The comedienne tells the ''true story'' of her high school		
""	''friend,'' a notorious tramp.		
""			
6	SO LONG, AND THANKS FOR ALL THE FISH, by Douglas Adams. (Harmony,	--	1
""	$12.95.) Suddenly returned to Earth, the hero of the ''Hitchhiker's Trilogy'' science		
""	fantasy is confronted with new riddles to answer.		
""			
7	LIFE ITS OWNSELF, by Dan Jenkins. (Simon & Schuster, $15.95.) The	8	5
""	adventures of a Giants halfback turned television commentator.		
""			
8	THE FOURTH PROTOCOL, by Frederick Forsyth. (Viking, $17.95.) A London	4	18
""	jewel robbery leads to plots and counterplots behind the Iron Curtain.		
""			
9	LINCOLN, by Gore Vidal. (Random House, $19.95.) Fictionalized account of the	10	26
""	Civil War Presidency.		
""			
10	STRONG MEDICINE, by Arthur Hailey. (Doubleday, $16.95.) A strong woman	7	12
""	rises in the pharmaceutical industry.		
""			
11	''. . . AND LADIES OF THE CLUB,'' by Helen Hooven Santmyer. (Putnam,	6	27
""	$19.95.) Life in an Ohio town, 1868 to 1932.		
""			
12	ILLUSIONS OF LOVE, by Cynthia Freeman. (Putnam, $15.95.) A romantic	14	3
""	triangle that spans a quarter of a century, from an Italian village to Manhattan to		
""	San Francisco.		
""			
13	STILLWATCH, by Mary Higgins Clark. (Simon & Schuster, $14.95.) A woman's	9	8
""	search for her past puts her life in peril.		
""			
14	THE BUTTER BATTLE BOOK, by Dr. Seuss. (Random House, $6.95.) A warning	11	36
""	about the nuclear arms race in words and pictures.		
""			
15	JITTERBUG PERFUME, by Tom Robbins. (Bantam, $15.95.) Reflections on the	--	1
This	December 16, 1984	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	IACOCCA: An Autobiography, by Lee Iacocca with William Novak. (Bantam,	1	7
""	$17.95.) The rise of the automobile executive from immigrants' son to top jobs at		
""	Ford and Chrysler.		
""			
2	LOVING EACH OTHER, by Leo Buscaglia. (Slack/Holt, Rinehart & Winston,	2	16
""	$13.95.) Suggestions for ''setting our priorities right in order to enjoy life to the		
""	fullest.''		
""			
3	PIECES OF MY MIND, by Andrew A. Rooney. (Atheneum, $12.95.) More essays	3	14
""	by the journalist and television commentator.		
""			
4	MOSES THE KITTEN, by James Herriot. (St. Martin's, $9.95.) A waif kitten is	4	10
""	adopted by a pig; illustrated.		
""			
5	HEY, WAIT A MINUTE, I WROTE A BOOK! by John Madden with Dave	7	13
""	Anderson. (Villard Books, $14.95.) An anecdotal autobiography of the popular		
""	television sports announcer.		
""			
6	DR. BURNS' PRESCRIPTION FOR HAPPINESS, by George Burns. (Putnam,	6	6
""	$11.95.) The octogenarian comedian provides a regimen of laughs.		
""			
7	''THE GOOD WAR,'' by Studs Terkel. (Pantheon, $19.95.) World War II as	5	9
""	remembered by men and women who lived through it.		
""			
8	THE BRIDGE ACROSS FOREVER, by Richard Bach. (Morrow, $16.95.) The	8	15
""	author of ''Jonathan Livingston Seagull'' recounts his search for a true love.		
""			
9	HERITAGE, by Abba Eban. (Summit, $30.) An account of Jewish history by the	9	9
""	Israeli diplomat who hosts the PBS show of the same name.		
""			
10	ELVIS IS DEAD AND I DON'T FEEL SO GOOD MYSELF, by Lewis Grizzard.	11	4
""	(Peachtree Publishers, $11.95.) Humorous observations on music, morals, food,		
""	fashion and other contemporary matters.		
""			
11	A LIGHT IN THE ATTIC, by Shel Silverstein. (Harper & Row, $13.50.) Light verse	10	108
""	and drawings by the author.		
""			
12	THE WEAKER VESSEL, by Antonia Fraser. (Knopf, $19.95.) Woman's lot in 17th-	12	9
""	century England.		
""			
13	THE BRAIN, by Richard M. Restak. (Bantam, $24.95.) A companion volume to the	--	1
""	PBS television series.		
""			
14	SON OF THE MORNING STAR, by Evan S. Connell. (North Point Press, $20.) A	--	1
""	biography of George Armstrong Custer that is also a history of the Plains Indian		
""	wars.		
