This	March 10, 1985	Last	Weeks
Week	Fiction	Week	On List
""			
1	IF TOMORROW COMES, by Sidney Sheldon. (Morrow, $17.95.) A young woman	1	7
""	destroys the crime lords who got her an undeserved prison term.		
""			
2	FAMILY ALBUM, by Danielle Steel. (Delacorte, $16.95.) A married couple with five	--	1
""	children cope with the crises of contemporary America.		
""			
3	GLITZ, by Elmore Leonard. (Arbor House, $14.95.) The escapades, romantic and	2	5
""	melodramatic, of a cop on the lam from a murder case in Miami.		
""			
4	THE SICILIAN, by Mario Puzo. (Linden Press/ Simon & Schuster, $17.95.) A	3	17
""	fictionalized life of Salvatore Giuliano, the Sicilian bandit of the 1940's.		
""			
5	THE FINISHING SCHOOL, by Gail Godwin. (Viking, $16.95.) A young girl's	7	4
""	relationship with an older woman leads to her mentor's downfall.		
""			
6	THE TALISMAN, by Stephen King and Peter Straub. (Viking, $18.95.) Two parallel	4	20
""	worlds and a young boy who can travel between them.		
""			
7	SO LONG, AND THANKS FOR ALL THE FISH, by Douglas Adams. (Harmony,	5	13
""	$12.95.) Suddenly back on Earth, the hero of the ''Hitchhiker's Trilogy'' fantasy is		
""	confronted with new riddles to answer.		
""			
8	THE LIFE AND HARD TIMES OF HEIDI ABROMOWITZ, by Joan Rivers.	6	17
""	(Delacorte, $8.95.) The comedian tells the ''true story'' of her high school ''friend,''		
""	a notorious tramp.		
""			
9	MOSCOW RULES, by Robert Moss. (Villard Books, $16.95.) A Soviet citizen,	9	5
""	angry at conditions behind the Iron Curtain, plots a new revolution.		
""			
10	THINNER, by Richard Bachman. (NAL Books, $12.95.) In this new novel by	8	2
""	Stephen King, a young lawyer finds his body mysteriously wasting away after a		
""	traffic accident.		
""			
11	SEE YOU LATER ALLIGATOR, by William F. Buckley Jr. (Doubleday, $15.95.)	10	3
""	John F. Kennedy sends Blackford Oakes to Havana on the eve of the Missile		
""	Crisis.		
""			
12	THE TITAN, by Fred Mustard Stewart. (Simon & Schuster, $17.95.) The	--	1
""	illegitimate son of a coal baron achieves his ambition to create an empire with		
""	tentacles in industry, finance and government.		
""			
13	ILLUSIONS OF LOVE, by Cynthia Freeman. (Putnam, $16.95.) A romantic	12	15
""	triangle that spans a quarter-century, from Italy to San Francisco.		
""			
14	LOVE AND WAR, by John Jakes. (Harcourt Brace Jovanovich, $19.95.) The Civil	11	21
""	War rages in this saga of a Pennsylvania family and a South Carolina family,		
""	begun in ''North and South.''		
This	March 10, 1985	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	IACOCCA: An Autobiography, by Lee Iacocca with William Novak. (Bantam,	1	19
""	$19.95.) The rise of the automobile executive from immigrants' son to top jobs at		
""	Ford and Chrysler.		
""			
2	BREAKING WITH MOSCOW, by Arkady N. Shevchenko. (Knopf, $18.95.) The	5	2
""	autobiography of the highest-ranking Soviet official ever to defect.		
""			
3	CITIZEN HUGHES, by Michael Drosnin. (Holt, Rinehart & Winston, $18.95.)	3	5
""	Howard Hughes's attempts to control the Government during his last years of life.		
""			
4	LOVING EACH OTHER, by Leo Buscaglia. (Slack/Holt, Rinehart & Winston,	2	28
""	$13.95.) Suggestions for ''setting our priorities right in order to enjoy life to the		
""	fullest.''		
""			
5	THE BRIDGE ACROSS FOREVER, by Richard Bach. (Morrow, $16.95.) The	6	27
""	author of ''Jonathan Livingston Seagull'' recounts his search for a true love.		
""			
6	SON OF THE MORNING STAR, by Evan S. Connell. (North Point Press, $20.) A	4	13
""	biography of George Armstrong Custer that is also a history of the Plains Indian		
""	wars.		
""			
7	MOSES THE KITTEN, by James Herriot. (St. Martin's, $9.95.) A waif kitten is	9	22
""	adopted by a pig; illustrated.		
""			
8	THE COURAGE TO CHANGE, by Dennis Wholey. (Houghton Mifflin, $15.95.)	11	4
""	Conversations with two dozen men and women, many of them celebrities, about		
""	their problems with alcoholism.		
""			
9	A LIGHT IN THE ATTIC, by Shel Silverstein. (Harper & Row, $13.50.) Light verse	8	120
""	and drawings by the author.		
""			
10	THE SEVEN MOUNTAINS OF THOMAS MERTON, by Michael Mott. (Houghton	13	4
""	Mifflin, $24.95.) The life of the American religious writer and poet.		
""			
11	''THE GOOD WAR,'' by Studs Terkel. (Pantheon, $19.95.) World War II as	10	21
""	remembered by men and women who lived through it.		
""			
12	HEY, WAIT A MINUTE, I WROTE A BOOK! by John Madden with Dave	12	25
""	Anderson. (Villard Books, $14.95.) An anecdotal autobiography of the popular		
""	television sports announcer.		
""			
13	PIECES OF MY MIND, by Andrew A. Rooney. (Atheneum, $12.95.) More essays	7	26
""	by the journalist and television commentator.		
""			
14	CHOICES, by Liv Ullmann. (Knopf, $14.95.) The actress's experiences in Ethiopia	--	3
""	and other lands as a volunteer worker for Unicef.		
