This	July 31, 1988	Last	Weeks
Week	Fiction	Week	On List
""			
1	ALASKA, by James A. Michener. (Random House, $22.50.) The history of the	1	5
""	49th state told in fictional form.		
""			
2	TO BE THE BEST, by Barbara Taylor Bradford. (Doubleday, $19.95.) The Harte	2	4
""	department store dynasty, founded by ''a woman of substance,'' undergoes		
""	emotional and financial strains.		
""			
3	THE BONFIRE OF THE VANITIES, by Tom Wolfe. (Farrar, Straus & Giroux,	3	39
""	$19.95.) A bond trader caught in the jungles of New York.		
""			
4	ZOYA, by Danielle Steel. (Delacorte, $19.95.) One woman's story, from St.	4	12
""	Petersburg during the Russian Revolution to Paris in the 1920's to contemporary		
""	New York.		
""			
5	LOVE IN THE TIME OF CHOLERA, by Gabriel Garcia Marquez. (Knopf, $18.95.)	5	15
""	A Colombian poet's perdurable love for a woman is tested by life's changing		
""	conditions.		
""			
6	THE ICARUS AGENDA, by Robert Ludlum. (Random House, $19.95.) A	6	21
""	congressman's secret dealings with terrorists may bring him the Presidency - or		
""	death.		
""			
7	A THIEF OF TIME, by Tony Hillerman. (Harper & Row, $15.95.) Tracking down a	7	4
""	missing archeologist, missing artifacts and a murderer in the Indian ruins of New		
""	Mexico.		
""			
8	PEOPLE LIKE US, by Dominick Dunne. (Crown, $19.95.) The rivalry of two clans	8	12
""	in New York society and one man's role in it.		
""			
9	TIMOTHY'S GAME, by Lawrence Sanders. (Putnam, $18.95.) A stock market	9	3
""	operator investigates scams on Wall Street and all around New York.		
""			
10	THE SHELL SEEKERS, by Rosamunde Pilcher. (St. Martin's, $19.95.) A woman	10	24
""	and a painting tie together three generations of an English family.		
""			
11	CRIMSON JOY, by Robert B. Parker. (Delacorte, $16.95.) The private eye	11	9
""	Spenser in pursuit of a serial lady-killer in Boston.		
""			
12	DOCTORS, by Erich Segal. (Bantam, $19.95.) The life stories of five members of	--	1
""	Harvard Medical School's class of 1962.		
""			
13	ROCK STAR, by Jackie Collins. (Simon & Schuster, $19.95.) The glory and	12	15
""	anguish of three rock-and- roll performers in tinselly southern California.		
""			
14	FREAKY DEAKY, by Elmore Leonard. (Arbor House/Morrow, $18.95.) A Detroit	13	11
""	police detective and a series of crimes with its roots in the 1960's.		
This	July 31, 1988	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	1	15
""	British scientist's review of efforts to create a unified theory of the universe.		
""			
2	TALKING STRAIGHT, by Lee Iacocca with Sonny Kleinfield. (Bantam, $21.95.)	2	7
""	More experiences and opinions of the Chrysler chairman.		
""			
3	TRUMP, by Donald J. Trump with Tony Schwartz. (Random House, $19.95.) The	3	33
""	career and business style of the New York entrepreneur.		
""			
4	GENERATION OF SWINE, by Hunter S. Thompson. (Summit, $18.95.)	5	3
""	Commentary on the current decade.		
""			
5	RIDING THE IRON ROOSTER, by Paul Theroux. (Putnam, $21.95.) A yearlong	4	7
""	journey by train through China.		
""			
6	CAPOTE, by Gerald Clarke. (Simon & Schuster, $22.95.) The life of Truman	7	6
""	Capote.		
""			
7	A TRAIL OF MEMORIES, edited by Angelique L'Amour. (Bantam, $12.95.)	8	7
""	Quotations from the works of Louis L'Amour, compiled by his daughter.		
""			
8	FOR THE RECORD, by Donald T. Regan. (Harcourt Brace Jovanovich, $21.95.)	6	10
""	The recollections of President Reagan's former Treasury Secretary and chief of		
""	staff.		
""			
9	THRIVING ON CHAOS, by Tom Peters. (Knopf, $19.95.) The author discusses	10	37
""	ways for companies to survive in today's and tomorrow's turbulent world.		
""			
10	PICASSO, by Arianna Stassinopoulos Huffington. (Simon & Schuster, $22.95.) A	9	6
""	portrait of the artist as ''creator and destroyer.''		
""			
11	THE DUCHESS OF WINDSOR, by Charles Higham. (McGraw-Hill, $17.95.) The	15	2
""	life of the woman from Baltimore who married King Edward VIII.		
""			
12	CHAOS, by James Gleick. (Viking, $19.95.) An account of a fast-developing new	13	24
""	science that involves disorder, arrhythmia and the bizarre and the random in		
""	nature.		
""			
13	THE RISE AND FALL OF THE GREAT POWERS, by Paul Kennedy. (Random	11	26
""	House, $24.95.) How economic and military forces affected the fortunes of great		
""	nations in the past 500 years.		
""			
14	AN OUTDOOR JOURNAL, by Jimmy Carter. (Bantam, $18.95.) The former	--	1
""	President recalls a lifetime of experiences fishing, hunting, hiking and skiing.		
""			
15	WASHINGTON GOES TO WAR, by David Brinkley. (Knopf, $18.95.) A social and	14	15
""	political portrait of the nation's capital during World War II.		
This	August 7, 1988	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CARDINAL OF THE KREMLIN, by Tom Clancy. (Putnam, $19.95.) The	--	1
""	C.I.A.'s Jack Ryan races to the rescue of America's highest-ranking secret agent		
""	in the Soviet Union.		
""			
2	ALASKA, by James A. Michener. (Random House, $22.50.) The history of the	1	6
""	49th state told in fictional form.		
""			
3	TO BE THE BEST, by Barbara Taylor Bradford. (Doubleday, $19.95.) The Harte	2	5
""	department store dynasty, founded by ''a woman of substance,'' undergoes		
""	emotional and financial strains.		
""			
4	THE BONFIRE OF THE VANITIES, by Tom Wolfe. (Farrar, Straus & Giroux,	3	40
""	$19.95.) A bond trader caught in the jungles of New York.		
""			
5	ZOYA, by Danielle Steel. (Delacorte, $19.95.) One woman's story, from St.	4	13
""	Petersburg during the Russian Revolution to contemporary New York.		
""			
6	TIMOTHY'S GAME, by Lawrence Sanders. (Putnam, $18.95.) A stock market	9	4
""	operator investigates scams on Wall Street.		
""			
7	LOVE IN THE TIME OF CHOLERA, by Gabriel Garcia Marquez. (Knopf, $18.95.)	5	16
""	A Colombian poet's perdurable love for a woman is tested by life's changing		
""	conditions.		
""			
8	DOCTORS, by Erich Segal. (Bantam, $19.95.) The life stories of five members of	12	2
""	Harvard Medical School's class of 1962.		
""			
9	THE ICARUS AGENDA, by Robert Ludlum. (Random House, $19.95.) A	6	22
""	congressman's secret dealings with terrorists may bring him the Presidency - or		
""	death.		
""			
10	A THIEF OF TIME, by Tony Hillerman. (Harper & Row, $15.95.) Tracking down a	7	5
""	missing archeologist, missing artifacts and a murderer in the Indian ruins of New		
""	Mexico.		
""			
11	THE SHELL SEEKERS, by Rosamunde Pilcher. (St. Martin's, $19.95.) A woman	10	25
""	and a painting tie together three generations of an English family.		
""			
12	PEOPLE LIKE US, by Dominick Dunne. (Crown, $19.95.) The rivalry of two clans	8	13
""	in New York society and one man's role in it.		
""			
13	CRIMSON JOY, by Robert B. Parker. (Delacorte, $16.95.) The private eye	11	10
""	Spenser in pursuit of a serial lady-killer in Boston.		
""			
14	ROCK STAR, by Jackie Collins. (Simon & Schuster, $19.95.) The glory and	13	16
""	anguish of three rock-and- roll performers in tinselly southern California.		
This	August 7, 1988	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	1	16
""	British scientist's review of efforts to create a unified theory of the universe.		
""			
2	TALKING STRAIGHT, by Lee Iacocca with Sonny Kleinfield. (Bantam, $21.95.)	2	8
""	More experiences and opinions of the Chrysler chairman.		
""			
3	GENERATION OF SWINE, by Hunter S. Thompson. (Summit, $18.95.)	4	4
""	Commentary on the current decade.		
""			
4	TRUMP, by Donald J. Trump with Tony Schwartz. (Random House, $19.95.) The	3	34
""	career and business style of the New York entrepreneur.		
""			
5	THE DUCHESS OF WINDSOR, by Charles Higham. (McGraw-Hill, $17.95.) The	11	3
""	life of the woman from Baltimore who married King Edward VIII.		
""			
6	A TRAIL OF MEMORIES, edited by Angelique L'Amour. (Bantam, $12.95.)	7	8
""	Quotations from the works of Louis L'Amour, compiled by his daughter.		
""			
7	PICASSO, by Arianna Stassinopoulos Huffington. (Simon & Schuster, $22.95.) A	10	7
""	portrait of the artist as ''creator and destroyer.''		
""			
8	RIDING THE IRON ROOSTER, by Paul Theroux. (Putnam, $21.95.) A yearlong	5	8
""	journey by train through China.		
""			
9	ALMOST GOLDEN, by Gwenda Blair. (Simon & Schuster, $18.95.) The career of	--	1
""	the television anchorwoman Jessica Savitch and the ways of newscasting during		
""	the past two decades.		
""			
10	THRIVING ON CHAOS, by Tom Peters. (Knopf, $19.95.) The author discusses	9	38
""	ways for companies to survive in today's and tomorrow's turbulent world.		
""			
11	CAPOTE, by Gerald Clarke. (Simon & Schuster, $22.95.) The life of Truman	6	7
""	Capote.		
""			
12	FOR THE RECORD, by Donald T. Regan. (Harcourt Brace Jovanovich, $21.95.)	8	11
""	The recollections of President Reagan's former Treasury Secretary and chief of		
""	staff.		
""			
13	THE RISE AND FALL OF THE GREAT POWERS, by Paul Kennedy. (Random	13	27
""	House, $24.95.) How economic and military forces affected the fortunes of great		
""	nations in the past 500 years.		
""			
14	WASHINGTON GOES TO WAR, by David Brinkley. (Knopf, $18.95.) A social and	15	16
""	political portrait of the nation's capital during World War II.		
""			
15	CHAOS, by James Gleick. (Viking, $19.95.) An account of a fast-developing new	12	25
""	science that involves disorder, arrhythmia and the bizarre and the random in		
This	August 14, 1988	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CARDINAL OF THE KREMLIN, by Tom Clancy. (Putnam, $19.95.) The	1	2
""	C.I.A.'s Jack Ryan races to the rescue of America's highest-ranking secret agent		
""	in the Soviet Union.		
""			
2	ALASKA, by James A. Michener. (Random House, $22.50.) The history of the	2	7
""	49th state told in fictional form.		
""			
