This	February 5, 1989	Last	Weeks
Week	Fiction	Week	On List
""			
1	MIDNIGHT, by Dean R. Koontz. (Putnam, $19.95.) Inexplicable deaths and	3	2
""	strange horrors take over a once idyllic California town.		
""			
2	THE SANDS OF TIME, by Sidney Sheldon. (Morrow, $19.95.) Four nuns become	1	12
""	pawns in a struggle between the Spanish Army and Basque separatists.		
""			
3	RIVALS, by Janet Dailey. (Little, Brown, $18.95.) Feuding families compete in	4	3
""	business and romance.		
""			
4	THE CARDINAL OF THE KREMLIN, by Tom Clancy. (Putnam, $19.95.) The	2	27
""	C.I.A.'s Jack Ryan races to the rescue of an American secret agent.		
""			
5	A SEASON IN HELL, by Jack Higgins. (Simon & Schuster, $18.95.) A young	7	3
""	widow's quest for her stepson's killers leads to horrendous adventures across		
""	Europe.		
""			
6	MUTATION, by Robin Cook. (Putnam, $18.95.) A physician's attempt to create a	12	2
""	superior child results in a prodigy that turns into a terror.		
""			
7	BREATHING LESSONS, by Anne Tyler. (Knopf, $18.95.) The many facets of a	5	20
""	28-year marriage are revealed during a drive to a friend's funeral.		
""			
8	ONE, by Richard Bach. (Silver Arrow/Morrow, $17.95.) A couple find themselves	6	14
""	in a fantasy world where the possibilities of their pasts still exist.		
""			
9	THE LYRE OF ORPHEUS, by Robertson Davies. (Viking, $19.95.) The staging of	9	4
""	an unfinished Hoffmann opera causes its participants to relive the legend of King		
""	Arthur.		
""			
10	SPY HOOK, by Len Deighton. (Knopf, $18.95.) The agent Bernard Samson on the	10	7
""	trail of a financial scam within the British secret service.		
""			
11	THE QUEEN OF THE DAMNED, by Anne Rice. (Knopf, $18.95.) Continuing the	8	16
""	chronicle of 6,000 years of vampirism begun in ''Interview With the Vampire'' and		
""	''The Vampire Lestat.''		
""			
12	A TWIST IN THE TALE, by Jeffrey Archer. (Simon & Schuster, $17.95.) Short	15	2
""	stories set in a variety of locales and with surprising endings.		
""			
13	LOVE IN THE TIME OF CHOLERA, by Gabriel Garcia Marquez. (Knopf, $18.95.)	11	37
""	A Colombian poet's perdurable love for a woman is tested by life's changing		
""	conditions.		
""			
14	ANYTHING FOR BILLY, by Larry McMurtry. (Simon & Schuster, $18.95.) The	14	16
""	exploits of Billy the Kid, as shared by a dime-novel writer.		
""			
15	ALASKA, by James A. Michener. (Random House, $22.50.) The history of the	13	32
This	February 5, 1989	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ALL I REALLY NEED TO KNOW I LEARNED IN KINDERGARTEN, by Robert	1	14
""	Fulghum. (Villard, $15.95.) Inspirational essays about everyday matters.		
""			
2	BLIND FAITH, by Joe McGinniss. (Putnam, $21.95.) The family tragedy that came	8	2
""	to light after the 1984 murder of a Toms River, N.J., woman.		
""			
3	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	2	42
""	scientist reviews efforts to create a unified theory of the universe.		
""			
4	GRACIE, by George Burns. (Putnam, $16.95.) The life of the comedian Gracie	3	12
""	Allen, recalled by her widower and show business partner.		
""			
5	THE LAST LION, by William Manchester. (Little, Brown, $24.95.) The second	5	16
""	volume of a biography of Winston Churchill, covering the years 1932-40.		
""			
6	PARTING THE WATERS, by Taylor Branch. (Simon & Schuster, $24.95.) The rise	7	4
""	of the American civil rights movement under the leadership of Martin Luther King		
""	Jr.		
""			
7	CHILD STAR, by Shirley Temple Black. (McGraw- Hill, $19.95.) The former	4	13
""	actress's autobiography.		
""			
8	A BRIGHT SHINING LIE, by Neil Sheehan. (Random House, $24.95.) A biography	6	15
""	of Lieut. Col. John Paul Vann that is also a history of American involvement in		
""	Vietnam.		
""			
9	THE FIRST SALUTE, by Barbara W. Tuchman. (Knopf, $22.95.) A historian's view	9	17
""	of the American Revolution.		
""			
10	LEGENDS, LIES, AND CHERISHED MYTHS OF AMERICAN HISTORY, by	--	1
""	Richard Shenkman. (Morrow, $15.95.) An expose of tall tales that have become		
""	part of our national heritage.		
""			
11	“WHAT DO YOU CARE WHAT OTHER PEOPLE THINK?'' by Richard P.	10	7
""	Feynman with Ralph Leighton. (Norton, $17.95.) Memoirs of the Nobel Prize-		
""	winning physicist.		
""			
12	DON'T BEND OVER IN THE GARDEN, GRANNY, YOU KNOW THEM TATERS	12	12
""	GOT EYES, by Lewis Grizzard. (Villard, $15.95.) Humor with a Southern accent.		
""			
13	GOLDWATER, by Barry M. Goldwater with Jack Casserly. (Doubleday, $21.95.)	11	15
""	The memoirs of the longtime Senator from Arizona.		
""			
14	CHRONICLE OF THE 20TH CENTURY, edited by Clifton Daniel. (Chronicle	13	17
""	Publications/Prentice Hall, $49.95.) A profusely illustrated history of the world,		
""	month by month, from 1900 through 1986.		
