This	May 7, 1989	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE SATANIC VERSES, by Salman Rushdie. (Viking, $19.95.) Two emigres from	1	10
""	Bombay enact the roles of good and evil in contemporary London.		
""			
2	A PRAYER FOR OWEN MEANY, by John Irving. (Morrow, $19.95.) A schoolboy	2	7
""	who accidentally killed the mother of his best friend turns into a prophet with a		
""	message for our times.		
""			
3	STAR, by Danielle Steel. (Delacorte, $19.95.) The crossed paths of a man and a	3	11
""	woman who are destined for stardom in different professions.		
""			
4	THE NEGOTIATOR, by Frederick Forsyth. (Bantam, $19.95.) An American	5	2
""	expatriate thwarts terrorists' attempts to prevent the signing of a disarmament		
""	pact.		
""			
5	THE JOY LUCK CLUB, by Amy Tan. (Putnam, $18.95.) The tensions and bonds	4	5
""	shared by Chinese- American women and their immigrant mothers.		
""			
6	WE ARE STILL MARRIED, by Garrison Keillor. (Viking, $18.95.) Stories, poems	6	5
""	and satirical pieces, mostly reflecting life in Minnesota during the Reagan era.		
""			
7	KILLSHOT, by Elmore Leonard. (Arbor House/ Morrow, $18.95.) Two thugs out to	7	4
""	assassinate a man and a woman who discovered their crime.		
""			
8	BILLY BATHGATE, by E. L. Doctorow. (Random House, $19.95.) The life of the	8	10
""	1930's gangster Dutch Schultz, as seen by a bright youth from the Bronx.		
""			
9	THE DIAMOND THRONE, by David Eddings. (Del Rey/Ballantine, $18.95.) Magic,	--	1
""	chivalry and high adventure in a fantasy kingdom called Elenia.		
""			
10	BREATHING LESSONS, by Anne Tyler. (Knopf, $18.95.) The many facets of a	10	30
""	28-year marriage are revealed during a drive to a friend's funeral.		
""			
11	CAT'S EYE, by Margaret Atwood. (Doubleday, $18.95.) A woman's visit to her	11	12
""	native Toronto leads her to reflect on the changes time has wrought.		
""			
12	THE EDGE, by Dick Francis. (Putnam, $18.95.) Murder and mayhem on a luxury	9	11
""	trans-Canadian train trip.		
""			
13	THE LONG DARK TEA-TIME OF THE SOUL, by Douglas Adams. (Simon &	12	9
""	Schuster, $17.95.) The detective of ''The Hitchhiker's Guide to the Galaxy''		
""	pursues the meaning of an explosion at an airport.		
""			
14	THE CARDINAL OF THE KREMLIN, by Tom Clancy. (Putnam, $19.95.) The	13	40
""	C.I.A.'s Jack Ryan races to the rescue of an American secret agent.		
""			
15	THE TEMPLE OF MY FAMILIAR, by Alice Walker. (Harcourt Brace Jovanovich,	--	1
""	$19.95.) The relations of the species, races and sexes through the past 5,000		
This	May 7, 1989	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ALL I REALLY NEED TO KNOW I LEARNED IN KINDERGARTEN, by Robert	1	27
""	Fulghum. (Villard, $15.95.) Inspirational essays about everyday matters.		
""			
2	LOVE AND MARRIAGE, by Bill Cosby. (Doubleday, $16.95.) Observations on the	2	2
""	elations and frustrations of romantic relationships.		
""			
3	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	3	55
""	British scientist reviews efforts to create a unified theory of the universe.		
""			
4	BLIND FAITH, by Joe McGinniss. (Putnam, $21.95.) The family tragedy that came	4	15
""	to light after the 1984 murder of a Toms River, N.J., woman.		
""			
5	“FUNNY, YOU DON'T LOOK LIKE A GRANDMOTHER,'' by Lois Wyse. (Crown,	6	8
""	$12.95.) An advertising woman's reflections on her role as the grandparent of		
""	eight.		
""			
6	CITIZENS, by Simon Schama. (Knopf, $29.95.) A history of the French	5	4
""	Revolution.		
""			
7	INNUMERACY, by John Allen Paulos. (Hill & Wang, $16.95.) Americans'	9	11
""	mathematical illiteracy and its consequences for our culture.		
""			
8	OUT OF THE BLUE, by Orel Hershiser with Jerry B. Jenkins. (Wolgemuth & Hyatt,	7	3
""	$17.95.) The autobiography of the Los Angeles Dodgers' pitcher.		
""			
9	THE BLOODING, by Joseph Wambaugh. (Morrow, $18.95.) The murder of two	8	12
""	teen-age girls in an English village is solved through genetic clues.		
""			
10	GOLDWYN, by A. Scott Berg. (Knopf, $24.95.) The life of the pioneering motion	12	2
""	picture producer.		
""			
11	INTELLECTUALS, by Paul Johnson. (Harper & Row, $22.50.) An account of the	10	6
""	role writers and critics have played in Western society during the past two		
""	centuries.		
""			
12	WORDSTRUCK, by Robert MacNeil. (Viking, $18.95.) The co-host of the ''MacNeil	11	4
""	Lehrer Newshour'' recalls his boyhood in Canada.		
""			
13	LEGENDS, LIES, AND CHERISHED MYTHS OF AMERICAN HISTORY, by	15	14
""	Richard Shenkman. (Morrow, $15.95.) An expose of tall tales that have become		
""	part of our national heritage.		
""			
14	A BRIGHT SHINING LIE, by Neil Sheehan. (Random House, $24.95.) A biography	16	24
""	of Lieut. Col. John Paul Vann that is also a history of American involvement in		
""	Vietnam.		
""			
15	“WHAT DO YOU CARE WHAT OTHER PEOPLE THINK?'' by Richard P.	14	20
