year,genre,sum
1950,romance,1
1950,zz_needs label,11
1950,zz_no genre,59
1951,adventure,1
1951,war,1
1951,zz_needs label,8
1951,zz_no genre,74
1952,adventure,1
1952,historical,1
1952,zz_needs label,6
1952,zz_no genre,68
1953,fsf,1
1953,legal,1
1953,religious,1
1953,romance,2
1953,zz_needs label,5
1953,zz_no genre,54
1954,religious,1
1954,romance,1
1954,zz_needs label,4
1954,zz_no genre,59
1955,fsf,1
1955,zz_needs label,6
1955,zz_no genre,62
1956,adventure,1
1956,spy_and_politics,1
1956,zz_needs label,7
1956,zz_no genre,62
1957,adventure,2
1957,fsf,1
1957,historical,1
1957,legal,1
1957,romance,1
1957,zz_needs label,8
1957,zz_no genre,58
1958,fsf,1
1958,historical,1
1958,legal,1
1958,romance,2
1958,zz_needs label,4
1958,zz_no genre,63
1959,legal,1
1959,mystery,1
1959,romance,1
1959,zz_needs label,6
1959,zz_no genre,59
1960,historical,1
1960,mystery,2
1960,zz_needs label,4
1960,zz_no genre,64
1961,mystery,1
1961,religious,1
1961,romance,1
1961,ya,1
1961,zz_needs label,2
1961,zz_no genre,56
1962,adventure,2
1962,mystery,1
1962,ya,1
1962,zz_needs label,1
1962,zz_no genre,56
1963,adventure,1
1963,mystery,2
1963,war,1
1963,zz_needs label,1
1963,zz_no genre,25
1964,domestic,1
1964,spy_and_politics,1
1964,zz_needs label,2
1964,zz_no genre,26
1965,romance,1
1965,zz_needs label,2
1965,zz_no genre,28
1966,fsf,1
1966,mystery,1
1966,zz_needs label,1
1966,zz_no genre,31
1967,war,1
1967,zz_needs label,1
1967,zz_no genre,32
1968,adventure,1
1968,zz_needs label,2
1968,zz_no genre,28
1969,adventure,1
1969,historical,1
1969,mystery,2
1969,romance,1
1969,war,1
1969,zz_needs label,2
1969,zz_no genre,31
1970,domestic,1
1970,fsf,1
1970,mystery,2
1970,romance,1
1970,zz_no genre,31
1971,domestic,2
1971,mystery,2
1971,spy_and_politics,1
1971,zz_needs label,2
1971,zz_no genre,37
1972,romance,1
1972,zz_needs label,1
1972,zz_no genre,36
1973,mystery,2
1973,religious,1
1973,spy_and_politics,1
1973,zz_needs label,3
1973,zz_no genre,32
1974,adventure,2
1974,historical,1
1974,mystery,1
1974,romance,1
1974,spy_and_politics,2
1974,suspense,1
1974,zz_needs label,1
1974,zz_no genre,33
1975,adventure,2
1975,mystery,2
1975,spy_and_politics,2
1975,suspense,2
1975,zz_needs label,1
1975,zz_no genre,25
1976,adventure,2
1976,fsf,1
1976,mystery,3
1976,romance,1
1976,spy_and_politics,1
1976,zz_needs label,2
1976,zz_no genre,30
1977,adventure,1
1977,fsf,2
1977,horror,1
1977,mystery,2
1977,romance,1
1977,spy_and_politics,1
1977,zz_no genre,39
1978,adventure,1
1978,fsf,1
1978,romance,1
1978,spy_and_politics,2
1978,suspense,1
1978,zz_needs label,1
1978,zz_no genre,36
1979,adventure,2
1979,fsf,1
1979,horror,1
1979,mystery,2
1979,romance,1
1979,spy_and_politics,1
1979,zz_needs label,2
1979,zz_no genre,45
1980,adventure,4
1980,fsf,2
1980,historical,1
1980,religious,1
1980,romance,1
1980,spy_and_politics,2
1980,zz_needs label,2
1980,zz_no genre,46
1981,adventure,1
1981,fsf,3
1981,historical,2
1981,horror,1
1981,mystery,1
1981,religious,1
1981,romance,1
1981,zz_needs label,2
1981,zz_no genre,50
1982,fsf,3
1982,horror,2
1982,mystery,1
1982,romance,3
1982,spy_and_politics,3
1982,suspense,2
1982,zz_needs label,2
1982,zz_no genre,49
1983,adventure,1
1983,fsf,6
1983,horror,3
1983,spy_and_politics,2
1983,zz_needs label,1
1983,zz_no genre,45
1984,adventure,1
1984,fsf,4
1984,historical,1
1984,horror,1
1984,legal,1
1984,mystery,1
1984,romance,1
1984,suspense,1
1984,zz_needs label,4
1984,zz_no genre,56
1985,domestic,1
1985,fsf,4
1985,horror,3
1985,legal,1
1985,mystery,1
1985,spy_and_politics,2
1985,suspense,1
1985,zz_needs label,3
1985,zz_no genre,59
1986,adventure,4
1986,fsf,6
1986,horror,4
1986,mystery,2
1986,romance,1
1986,war,1
1986,ya,1
1986,zz_needs label,1
1986,zz_no genre,55
1987,adventure,2
1987,fsf,8
1987,horror,3
1987,legal,1
1987,mystery,2
1987,spy_and_politics,2
1987,suspense,1
1987,war,1
1987,zz_needs label,3
1987,zz_no genre,57
1988,adventure,1
1988,fsf,4
1988,horror,2
1988,legal,1
1988,romance,1
1988,spy_and_politics,3
1988,zz_needs label,1
1988,zz_no genre,55
1989,adventure,1
1989,domestic,1
1989,fsf,3
1989,historical,1
1989,horror,1
1989,spy_and_politics,1
1989,suspense,2
1989,war,1
1989,zz_needs label,1
