	authors	date	fast_subjects	genders	owi	rank	streak	title	year	year_pub	genre	gender
0	['Thomas B. Costain']	1953-04-19	set(['Historical fiction', 'Jesus Christ', 'Christian fiction', 'History of Biblical events', 'Grail', 'Bible.--New Testament', 'Last Supper'])	[{'gender': 'Male', 'viaf': '97749233', 'name': 'Thomas B. Costain'}]	104466836	2	38	THE SILVER CHALICE	1953	1926	historical	Male
1	['Francis Van Wyck Mason']	1953-04-19	set(['Discoveries in geography', 'Great Britain', 'Explorers', 'Admirals', 'Drake, Francis, approximately 1540-1596'])	[{'gender': 'Male', 'viaf': '57912804', 'name': 'Francis Van Wyck Mason'}]	354027094	3	7	GOLDEN ADMIRAL	1953		no genre	Male
2	['Frances Parkinson Keyes']	1953-04-19	set(['Man-woman relationships', 'Louisiana', 'Gamblers', 'Manners and customs', 'Gambling on river boats', 'American fiction', 'Steamboats'])	[{'gender': 'Female', 'viaf': '44300783', 'name': 'Frances Parkinson Keyes'}]	519490	4	21	STEAMBOAT GOTHIC	1953	1952	no genre	Female
3	['John Steinbeck']	1953-04-19	set(['Steinbeck, John, 1902-1968', 'Brothers', 'Novelists, American', 'Domestic fiction', 'Sibling rivalry', 'Children of prostitutes', 'Fathers and sons', 'United States', 'East of Eden (Steinbeck, John)', 'California--Salinas River Valley', 'World War (1939-1945)', 'Authors, American', 'Marine biologists', 'California', 'Manners and customs', 'Migrant agricultural laborers', 'Fiction--Authorship'])	[{'gender': 'Male', 'viaf': '96992551', 'name': 'John Steinbeck'}]	576470	5	29	EAST OF EDEN	1953	1900	no genre	Male
4	['Daphne du Maurier']	1953-04-19	set(['Manners and customs', 'Short stories'])	[{'gender': 'Female', 'viaf': '24600806', 'name': 'Daphne du Maurier'}]	1083476455	6	4	KISS ME AGAIN,  STRANGER	1953	1952	no genre	Female
5	['Herman Wouk']	1953-04-19	set(['Ship captains', 'Radio adaptations', 'World War (1939-1945)', 'Radio plays', 'Courts-martial and courts of inquiry', 'American drama', 'United States', 'Military operations, Naval--American', 'Mutiny', 'Trials (Naval offenses)'])	[{'gender': 'Male', 'viaf': '17231124', 'name': 'Herman Wouk'}]	147472	7	105	THE CAINE MUTINY	1953	1951	no genre	Male
6	['John Phillips']	1953-04-19	set([])	[{'gender': 'Male', 'viaf': '164755938', 'name': 'John Phillips'}]	119902084	8	10	THE SECOND HAPPIEST DAY	1953		needs label	Male
7	['Jay Richard Kennedy']	1953-04-19	set([])	[{'gender': 'Male', 'viaf': '102350792', 'name': 'Jay Richard Kennedy'}]	29988551	9	4	PRINCE BART	1953		needs label	Male
8	['Marjorie Kinnan Rawlings']	1953-04-19	set(['Families', 'Brothers', 'New England', 'Farm life', 'Rural families', 'Brothers and sisters'])	[{'gender': 'Female', 'viaf': '73859015', 'name': 'Marjorie Kinnan Rawlings'}]	556280	10	14	THE SOJOURNER	1953	1933	no genre	Female
9	['Frank G. Slaughter']	1953-04-19	set(['Christian women saints', 'Mary Magdalene, Saint'])	[{'gender': 'Male', 'viaf': '103152570', 'name': 'Frank G. Slaughter'}]	2829918458	11	12	THE GALILEANS	1953	1953	no genre	Male
10	['Edna Ferber']	1953-04-19	set(['Families', 'American fiction', 'Domestic fiction', 'Ranch life', 'Texas'])	[{'gender': 'Female', 'viaf': '32079532', 'name': 'Edna Ferber'}]	453554	12	27	GIANT	1953	1952	no genre	Female
11	['Storm Jameson']	1953-04-19	set(['Manners and customs', 'England'])	[{'gender': 'Female', 'viaf': '109630395', 'name': 'Storm Jameson'}]	1892896	13	3	THE GREEN MAN	1953		no genre	Female
12	['Helen MacInnes']	1953-04-19	set(['Washington (D.C.)', 'Man-woman relationships', 'Romance fiction', 'Czechs', 'Suspense fiction', 'Spy stories'])	[{'gender': 'Female', 'viaf': '32928087', 'name': 'Helen MacInnes'}]	20917612	14	6	I AND MY TRUE LOVE	1953	1952	suspense	Female
13	['Cameron Hawley']	1953-04-19	set(['Office politics', 'Fiction'])	[{'gender': 'Male', 'viaf': '74323787', 'name': 'Cameron Hawley'}]	8973154	15	15	EXECUTIVE SUITE	1953	1952	no genre	Male
