This		April 2, 1950	Last	Weeks
Week		Fiction	Week	On List
""				
1	THE WALL, by John Hersey.		1	4
""				
2	THE EGYPTIAN, by Mika Waltari.		3	30
""				
3	THE PARASITES, by Daphne du Maurier.		2	12
""				
4	THE KING'S CAVALIER, by Samuel Shellabarger.		4	11
""				
5	JUBILEE TRAIL, by Gwen Bristow.		6	6
""				
6	THE HORSE'S MOUTH, by Joyce Cary.		5	8
""				
7	GENTIAN HILL, by Elizabeth Goudge.		7	12
""				
8	THE SEA EAGLES, by John Jennings.		12	3
""				
9	MARY, by Sholem Asch.		8	24
""				
10	THE PINK HOUSE, by Nelia Gardner White.		13	3
""				
11	THE STRANGE LAND, by Ned Calmer.		11	6
""				
12	A RAGE TO LIVE, by John O'Hara.		9	31
""				
13	THE DIPLOMAT, by James Aldridge.		14	3
""				
14	MINGO DABNEY, by James H. Street.		16	3
""				
15	ONE ON THE HOUSE, by Mary Lasswell.		10	17
""				
16	MR.MIDSHIPMAN HORNBLOWER, by C.S. Forester.		--	1
This	April 2, 1950	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE MATURE MIND, by Harry Allen Overstreet.	1	32
""			
2	THE BABY, by Simon & Schuster	2	5
""			
3	THIS I REMEMBER, by Eleanor Roosevelt.	3	19
""			
4	I LEAP OVER THE WALL, by Monica Baldwin.	6	7
""			
5	CHICAGO CONFIDENTIAL, by Jack Lait and Lee Mortimer.	10	3
""			
6	THE PEABODY SISTERS OF SALEM, by Louise Hall Tharp.	5	10
""			
7	MR. JONES, MEET THE MASTER, by Peter Marshall.	7	13
""			
8	THE COCKTAIL PARTY, by T.S. Eliot.	16	2
""			
9	HOME SWEET ZOO, by Clare Barnes.	4	16
""			
10	THE ROAD AHEAD, by John T. Flynn.	9	9
""			
11	DECISION IN GERMANY, by Lucius Du Bignon Clay.	13	6
""			
12	THE GREATEST STORY EVER TOLD, by Fulton Oursler.	14	40
""			
13	A GUIDE TO CONFIDENT LIVING, by Norman Vincent Peale.	11	78
""			
14	THE ART OF REAL HAPPINESS, by Norman Vincent Peale and Smiley	--	1
""	Blanton.		
""			
15	ALL THE SHIPS AT SEA, by William J. Lederer.	--	1
""			
16	WHITE COLLAR ZOO, by Clare Barnes.	8	37
