This		April 9, 1950	Last	Weeks
Week		Fiction	Week	On List
""				
1	THE WALL, by John Hersey.		1	5
""				
2	THE EGYPTIAN, by Mika Waltari.		2	31
""				
3	THE PARASITES, by Daphne du Maurier.		3	13
""				
4	THE KING'S CAVALIER, by Samuel Shellabarger.		4	12
""				
5	JUBILEE TRAIL, by Gwen Bristow.		5	7
""				
6	THE CARDINAL, by Henry Morton Robinson.		--	1
""				
7	THE HORSE'S MOUTH, by Joyce Cary.		6	9
""				
8	GENTIAN HILL, by Elizabeth Goudge.		7	13
""				
9	THE STRANGE LAND, by Ned Calmer.		11	7
""				
10	MARY, by Sholem Asch.		9	25
""				
11	THE SEA EAGLES, by John Jennings.		8	4
""				
12	MR.MIDSHIPMAN HORNBLOWER, by C.S. Forester.		16	2
""				
13	THE PINK HOUSE, by Nelia Gardner White.		10	4
""				
14	A RAGE TO LIVE, by John O'Hara.		12	32
""				
15	MINGO DABNEY, by James H. Street.		14	4
""				
16	THE FEAST, by Margaret Kennedy.		--	1
This	April 9, 1950	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE MATURE MIND, by Harry Allen Overstreet.	1	33
""			
2	THE BABY, by Simon & Schuster	2	6
""			
3	THIS I REMEMBER, by Eleanor Roosevelt.	3	20
""			
4	THE PEABODY SISTERS OF SALEM, by Louise Hall Tharp.	6	11
""			
5	CHICAGO CONFIDENTIAL, by Jack Lait and Lee Mortimer.	5	4
""			
6	I LEAP OVER THE WALL, by Monica Baldwin.	4	8
""			
7	MR. JONES, MEET THE MASTER, by Peter Marshall.	7	14
""			
8	THE COCKTAIL PARTY, by T.S. Eliot.	8	3
""			
9	ALL THE SHIPS AT SEA, by William J. Lederer.	15	2
""			
10	THE ART OF REAL HAPPINESS, by Norman Vincent Peale and Smiley	14	2
""	Blanton.		
""			
11	HOME SWEET ZOO, by Clare Barnes.	9	17
""			
12	DECISION IN GERMANY, by Lucius Du Bignon Clay.	11	7
""			
13	THE GREATEST STORY EVER TOLD, by Fulton Oursler.	12	41
""			
14	WHITE COLLAR ZOO, by Clare Barnes.	16	38
""			
15	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.	--	1
""			
16	AMERICAN FREEDOM AND CATHOLIC POWER, by Paul Blanshard.	--	35
