This		April 16, 1950	Last	Weeks
Week		Fiction	Week	On List
""				
1	THE WALL, by John Hersey.		1	6
""				
2	THE CARDINAL, by Henry Morton Robinson.		6	2
""				
3	THE EGYPTIAN, by Mika Waltari.		2	32
""				
4	THE PARASITES, by Daphne du Maurier.		3	14
""				
5	JUBILEE TRAIL, by Gwen Bristow.		5	8
""				
6	THE KING'S CAVALIER, by Samuel Shellabarger.		4	13
""				
7	THE HORSE'S MOUTH, by Joyce Cary.		7	10
""				
8	MR.MIDSHIPMAN HORNBLOWER, by C.S. Forester.		12	3
""				
9	GENTIAN HILL, by Elizabeth Goudge.		8	14
""				
10	THE FEAST, by Margaret Kennedy.		16	2
""				
11	THE SEA EAGLES, by John Jennings.		11	5
""				
12	MARY, by Sholem Asch.		10	26
""				
13	NOTHING, by Henry Green.		--	1
""				
14	THE PINK HOUSE, by Nelia Gardner White.		13	5
""				
15	WAIT FOR TOMORROW, by Robert Wilder.		--	1
""				
16	A RAGE TO LIVE, by John O'Hara.		14	33
This	April 16, 1950	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE MATURE MIND, by Harry Allen Overstreet.	1	34
""			
2	THE BABY, by Simon & Schuster	2	7
""			
3	CHICAGO CONFIDENTIAL, by Jack Lait and Lee Mortimer.	5	5
""			
4	MR. JONES, MEET THE MASTER, by Peter Marshall.	7	15
""			
5	THE COCKTAIL PARTY, by T.S. Eliot.	8	4
""			
6	THIS I REMEMBER, by Eleanor Roosevelt.	3	21
""			
7	THE PEABODY SISTERS OF SALEM, by Louise Hall Tharp.	4	12
""			
8	I LEAP OVER THE WALL, by Monica Baldwin.	6	9
""			
9	THE ART OF REAL HAPPINESS, by Norman Vincent Peale and Smiley	10	3
""	Blanton.		
""			
10	ALL THE SHIPS AT SEA, by William J. Lederer.	9	3
""			
11	THE GREATEST STORY EVER TOLD, by Fulton Oursler.	13	42
""			
12	A GUIDE TO CONFIDENT LIVING, by Norman Vincent Peale.	--	79
""			
13	AMERICAN FREEDOM AND CATHOLIC POWER, by Paul Blanshard.	16	36
""			
14	WORDS IN COLLISION, by Immanuel Velikovsky.	--	1
""			
15	HOME SWEET ZOO, by Clare Barnes.	11	18
""			
16	DECISION IN GERMANY, by Lucius Du Bignon Clay.	12	8
