This		April 23, 1950	Last	Weeks
Week		Fiction	Week	On List
""				
1	THE WALL, by John Hersey.		1	7
""				
2	THE CARDINAL, by Henry Morton Robinson.		2	3
""				
3	THE EGYPTIAN, by Mika Waltari.		3	33
""				
4	JUBILEE TRAIL, by Gwen Bristow.		5	9
""				
5	THE PARASITES, by Daphne du Maurier.		4	15
""				
6	THE KING'S CAVALIER, by Samuel Shellabarger.		6	14
""				
7	THE FEAST, by Margaret Kennedy.		10	3
""				
8	THE HORSE'S MOUTH, by Joyce Cary.		7	11
""				
9	NOTHING, by Henry Green.		13	2
""				
10	MR.MIDSHIPMAN HORNBLOWER, by C.S. Forester.		8	4
""				
11	GENTIAN HILL, by Elizabeth Goudge.		9	15
""				
12	THE SEA EAGLES, by John Jennings.		11	6
""				
13	MARY, by Sholem Asch.		12	27
""				
14	WAIT FOR TOMORROW, by Robert Wilder.		15	2
""				
15	THE PINK HOUSE, by Nelia Gardner White.		14	6
""				
16	ONE ON THE HOUSE, by Mary Lasswell.		--	18
This	April 23, 1950	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE MATURE MIND, by Harry Allen Overstreet.	1	35
""			
2	THE BABY, by Simon & Schuster	2	8
""			
3	WORDS IN COLLISION, by Immanuel Velikovsky.	14	2
""			
4	THE COCKTAIL PARTY, by T.S. Eliot.	5	5
""			
5	CHICAGO CONFIDENTIAL, by Jack Lait and Lee Mortimer.	3	6
""			
6	THE PEABODY SISTERS OF SALEM, by Louise Hall Tharp.	7	13
""			
7	THE ART OF REAL HAPPINESS, by Norman Vincent Peale and Smiley	9	4
""	Blanton.		
""			
8	THIS I REMEMBER, by Eleanor Roosevelt.	6	22
""			
9	MR. JONES, MEET THE MASTER, by Peter Marshall.	4	16
""			
10	I LEAP OVER THE WALL, by Monica Baldwin.	8	10
""			
11	THE GREATEST STORY EVER TOLD, by Fulton Oursler.	11	43
""			
12	SEEDS OF TREASON, by Ralph de Toledano and Victor Lasky.	--	1
""			
13	ALL THE SHIPS AT SEA, by William J. Lederer.	10	4
""			
14	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.	--	2
""			
15	THE ROAD AHEAD, by John T. Flynn.	--	1
""			
16	A GUIDE TO CONFIDENT LIVING, by Norman Vincent Peale.	12	80
