This	August 13, 1950	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CARDINAL, by Henry Morton Robinson.	1	19
""			
2	WORLD AND ENOUGH TIME, by Robert Penn Warren.	2	6
""			
3	THE WALL, by John Hersey.	3	23
""			
4	JUBILEE TRAIL, by Gwen Bristow.	4	25
""			
5	THE LEGACY, by Nevil Shute.	5	7
""			
6	HOMEWARD BORNE, by Ruth Chatterton.	6	12
""			
7	STAR MONEY, by Kathleen Winsor.	7	16
""			
8	TOO LITTLE LOVE, by Robert Henriques.	8	7
""			
9	TWO ADOLESCENTS, by Alberto Moravia.	--	1
""			
10	THE EGYPTIAN, by Mika Waltari.	9	49
""			
11	THE STUBBORN HEART, by Frank G. Slaughter.	11	8
""			
12	WHITE WITCH DOCTOR, by Louise A. Stinetorf.	--	1
""			
13	SLEEP TILL NOON, by Max Shulman.	13	16
""			
14	THE CIRCLE OF THE DAY, by Helen Huntington Howe.	10	9
""			
15	THE BIZARRE SISTERS, by Jay Walz.	--	11
""			
16	HIGH VALLEY, by Charmian Clift And George Johnston.	15	8
This	August 13, 1950	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	ROOSEVELT IN RETROSPECT, by John Gunther.	1	9
""			
2	WORDS IN COLLISION, by Immanuel Velikovsky.	2	18
""			
3	COURTROOM, by Quentin Reynolds.	3	9
""			
4	DIANETICS, by L. Ron Hubbard.	7	9
""			
5	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.	4	18
""			
6	THE LITTLE PRINCESSES, by Marion Crawford.	8	3
""			
7	JOHN ADAMS AND THE AMERICAN REVOLUTION, by Catherine Drinker	6	6
""	Bowen.		
""			
8	THE MATURE MIND, by Harry Allen Overstreet.	5	51
""			
9	BEHIND CLOSED DOORS, by Ellis M. Zacharias.	--	1
""			
10	CHICAGO CONFIDENTIAL, by Jack Lait and Lee Mortimer.	10	22
""			
11	ELEANOR OF AQUITIANE AND THE FOUR KINGS, by Amy Kelly.	15	7
""			
12	SEEDS OF TREASON, by Ralph de Toledano and Victor Lasky.	11	17
""			
13	THE GRAND ALLIANCE, by Winston S. Churchill.	9	14
""			
14	THE COCKTAIL PARTY, by T.S. Eliot.	13	21
""			
15	MR. JONES, MEET THE MASTER, by Peter Marshall.	--	31
""			
16	I LEAP OVER THE WALL, by Monica Baldwin.	--	24
