This	October 8, 1950	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CARDINAL, by Henry Morton Robinson.	1	27
""			
2	ACROSS THE RIVER AND INTO THE TREES, by Ernest Hemingway.	2	3
""			
3	FLOODTIDE, by Frank Yerby.	3	6
""			
4	THE SPANISH GARDENER, by A.J. Cronin.	4	4
""			
5	JUBILEE TRAIL, by Gwen Bristow.	6	33
""			
6	WORLD AND ENOUGH TIME, by Robert Penn Warren.	5	14
""			
7	THE WALL, by John Hersey.	9	31
""			
8	THE LITTLE WORLD OF DON CAMILLO, by Giovanni Guareschi.	10	5
""			
9	THE LEGACY, by Nevil Shute.	7	15
""			
10	THE ADVENTURER, by Mika Waltari.	--	1
""			
11	OWEN GLEN, by Ben Ames Williams.	8	4
""			
12	HOMEWARD BORNE, by Ruth Chatterton.	14	20
""			
13	TWO ADOLESCENTS, by Alberto Moravia.	11	9
""			
14	WHITE WITCH DOCTOR, by Louise A. Stinetorf.	12	9
""			
15	THE EGYPTIAN, by Mika Waltari.	16	57
""			
16	FACE OF A HERO, by Louis Falstein.	--	1
This		October 8, 1950	Last	Weeks
Week		Non-Fiction	Week	On List
""				
1	KON-TIKI, by Thor Heyerdahl.		4	4
""				
2	LOOK YOUNGER, LIVE LONGER, by Gayelord Hauser.		2	26
""				
3	COURTROOM, by Quentin Reynolds.		1	17
""				
4	THE LITTLE PRINCESSES, by Marion Crawford.		3	11
""				
5	DIANETICS, by L. Ron Hubbard.		5	17
""				
6	THE MATURE MIND, by Harry Allen Overstreet.		6	59
""				
7	WORDS IN COLLISION, by Immanuel Velikovsky.		8	26
""				
8	THE STORY OF ERNIE PYLE, by Lee G. Miller.		7	4
""				
9	BEHIND THE FLYING SAUCERS, by Frank Scully.		13	2
""				
10	JOHN ADAMS AND THE AMERICAN REVOLUTION, by Catherine Drinker		12	14
""	Bowen.			
""				
11	ANYBODY CAN DO ANYTHING, by Betty MacDonald.		10	4
""				
12	CHICAGO CONFIDENTIAL, by Jack Lait and Lee Mortimer.		14	30
""				
13	BEHIND CLOSED DOORS, by Ellis M. Zacharias.		9	9
""				
14	ROOSEVELT IN RETROSPECT, by John Gunther.		11	17
""				
15	DRAWN FROM MEMORY, by John T. McCutcheon.		16	2
""				
16	SPRINGTIME IN PARIS, by Elliot H. Paul.		15	6
