This	October 14, 1951	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CAINE MUTINY, by Herman Wouk.	1	26
""			
2	THE CRUEL SEA, by Nicholas Monsarrat.	2	9
""			
3	FROM HERE TO ETERNITY, by James Jones.	3	32
""			
4	THE CATCHER IN THE RYE, by J.D. Salinger.	4	12
""			
5	THE IRON MISTRESS, by Paul I. Wellman.	5	10
""			
6	RETURN TO PARADISE, by James A. Michener.	8	24
""			
7	THE HOLY SINNER, by Thomas Mann.	6	3
""			
8	LIE DOWN IN DARKNESS, by William Styron.	7	3
""			
9	MOSES, by Sholem Asch.	--	1
""			
10	MR.SMITH, by Louis Bromfield.	9	6
""			
11	THE ROAD TO BITHYNIA, by Frank G. Slaughter.	10	5
""			
12	A WOMAN CALLED FANCY, by Frank Yerby.	11	21
""			
13	THE HIGH CALLING, by James Street.	12	16
""			
14	REQUIEM FOR A NUN, by William Faulkner.	--	1
""			
15	THE PRESIDENT'S LADY, by Irving Stone.	--	1
""			
16	THE TROUBLED AIR, by Irwin Shaw.	--	16
This	October 14, 1951	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE SEA AROUND US, by Rachel Carson.	1	13
""			
2	KON-TIKI, by Thor Heyerdahl.	2	57
""			
3	WASHINGTON CONFIDENTIAL, by Jack Lait and Lee Mortimer.	3	31
""			
4	WHITE MAN RETURNS, by Agnes Newton Keith.	4	8
""			
5	DIZZY, by Hesketh Pearson.	6	6
""			
6	A SOLDIER'S STORY, by Omar Nelson Bradley.	5	16
""			
7	FIGHT AGAINST FEARS, by Lucy Freeman.	9	12
""			
8	THE MAGNIFICENT CENTURY, by Thomas B. Costain.	16	2
""			
9	HIS EYE IS ON THE SPARROW, by Ethel Waters and Charles Samuels.	8	30
""			
10	THE STORY OF THE NEW YORK TIMES, by Meyer Berger.	11	2
""			
11	A KING'S STORY, by Edward Windsor, Duke of Windsor.	10	25
""			
12	BETTER HOMES AND GARDENS HANDYMAN'S BOOK.	--	1
""			
13	SCHNOZZOLA, by Gene Fowler.	--	1
""			
14	CRIME IN AMERICA, by Estes Kefauver.	7	12
""			
15	THE NEW JOY OF COOKING, by Irma S. Rombauer and Marion Rombauer	13	11
""	Becker.		
""			
16	MY MISSION IN ISRAEL, by James G. McDonald.	12	4
