This	November 25, 1951	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CAINE MUTINY, by Herman Wouk.	1	32
""			
2	THE CRUEL SEA, by Nicholas Monsarrat.	2	15
""			
3	MELVILLE GOODWIN, USA, by John Marquand.	3	6
""			
4	THE END OF THE AFFAIR, by Graham Greene.	7	3
""			
5	FROM HERE TO ETERNITY, by James Jones.	4	38
""			
6	THE PRESIDENT'S LADY, by Irving Stone.	6	7
""			
7	MOSES, by Sholem Asch.	5	7
""			
8	THE CATCHER IN THE RYE, by J.D. Salinger.	8	18
""			
9	THE WANDERER, by Mika Waltari.	11	3
""			
10	THE BLESSING, by Nancy Mitford.	9	5
""			
11	THE IRON MISTRESS, by Paul I. Wellman.	10	16
""			
12	REQUIEM FOR A NUN, by William Faulkner.	13	7
""			
13	THE HOLY SINNER, by Thomas Mann.	12	9
""			
14	LIE DOWN IN DARKNESS, by William Styron.	15	9
""			
15	THE CELEBRITY, by Laura Z. Hobson.	--	1
""			
16	MR.SMITH, by Louis Bromfield.	16	12
This	November 25, 1951	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE SEA AROUND US, by Rachel Carson.	1	19
""			
2	THE FORRESTAL DIARIES, by Walter Millis and E.S. Duffield.	2	5
""			
3	KON-TIKI, by Thor Heyerdahl.	3	63
""			
4	A MAN CALLED PETER, by Catherine Marshall.	5	5
""			
5	FIFTY BILLION DOLLARS, by Jesse H. Jones and Edward Angly.	6	3
""			
6	THE NEW YORKER 25th ANNIVERSARY ALBUM, by New Yorker Magazine.	8	4
""			
7	WASHINGTON CONFIDENTIAL, by Jack Lait and Lee Mortimer.	4	37
""			
8	THE MAGNIFICENT CENTURY, by Thomas B. Costain.	7	8
""			
9	DIZZY, by Hesketh Pearson.	12	12
""			
10	STRANGE LANDS AND FRIENDLY PEOPLES, by William O. Douglas.	--	1
""			
11	THE MEMOIRS OF HERBERT HOOVER, by Herbert Hoover.	9	3
""			
12	AMERICAN DIPLOMACY, 1900-1950, by George F. Kennan.	11	6
""			
13	WHITE MAN RETURNS, by Agnes Newton Keith.	10	14
""			
14	SCHNOZZOLA, by Gene Fowler.	13	7
""			
15	TIME TO REMEMBER, by Lloyd C. Douglas.	--	2
""			
16	GOD AND MAN AT YALE, by William F. Buckley Jr.	--	1
