This	September 28, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	THE SILVER CHALICE, by Thomas B. Costain.	1	9
""			
2	THE CAINE MUTINY, by Herman Wouk.	2	76
""			
3	THE HOUSES IN BETWEEN, by Howard Spring.	3	20
""			
4	THE OLD MAN AND THE SEA, by Ernest Hemingway.	6	3
""			
5	MATADOR, by Barnaby Conrad.	4	12
""			
6	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	7	5
""			
7	THE GOWN OF GLORY, by Agnes Sligh Turnbull.	5	26
""			
8	THE DISTANT SHORE, by Jan de Hartog.	9	3
""			
9	MY COUSIN RACHEL, by Daphne du Maurier.	8	33
""			
10	THE SINNER OF SAINT AMBROSE, by Robert Reynolds.	11	5
""			
11	THE FAR COUNTRY, by Nevil Shute.	--	1
""			
12	CATHERINE CARTER, by Pamela Hansford Johnson.	10	8
""			
13	THE CRUEL SEA, by Nicholas Monsarrat.	12	59
""			
14	THE STORIES OF FRANK O'CONNER, by Frank O'Conner.	16	4
""			
15	THE SPIRE, by Gerald Warner Brace.	14	2
""			
16	THE HIDDEN FLOWER, by Pearl S. Buck.	13	17
This	September 28, 1952	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	A MAN CALLED PETER, by Catherine Marshall.	1	49
""			
2	THE SEA AROUND US, by Rachel Carson.	3	63
""			
3	WITNESS, by Whittaker Chambers.	2	18
""			
4	ANNE FRANK:THE DIARY OF A YOUNG GIRL, by Anne Frank.	4	13
""			
5	ADLAI E. STEVENSON OF ILLINOIS, by Noel F. Busch.	7	7
""			
6	POSTMARKED MOSCOW, by Lydia Kirk.	5	8
""			
7	WINDOWS FOR THE CROWN PRICE, by Elizabeth Gray Vining.	6	18
""			
8	SUBMARINE, by Edward L. Beach.	8	11
""			
9	THE GREAT ENTERPRISE, by H.A. Overstreet.	10	5
""			
""	HOW TO SUCCEED IN BUISNESS WITHOUT REALLY TRYING, by Shepherd		
10	Mead.	12	3
""			
11	THE MEMOIRS OF HERBERT HOOVER. Vol 3, by Herbert Hoover.	15	2
""			
12	I GO POGO, by Walt Kelly.	14	2
""			
13	THE THURBER ALBUM, by James Thurber.	9	15
""			
14	JOURNEY TO THE FAR PACIFIC, by Thomas E. Dewey.	11	9
""			
15	FROM UNDER MY HAT, by Hedda Hopper.	--	1
""			
16	THEODORA AND THE EMPEROR, by Harold Lamb.	16	6
