This	November 2, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	EAST OF EDEN, by John Steinbeck.	2	5
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	1	14
""			
3	GIANT, by Edna Ferber.	3	4
""			
4	THE OLD MAN AND THE SEA, by Ernest Hemingway.	5	8
""			
5	THE CAINE MUTINY, by Herman Wouk.	4	81
""			
6	THE HOUSES IN BETWEEN, by Howard Spring.	6	25
""			
7	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	9	10
""			
8	MATADOR, by Barnaby Conrad.	8	17
""			
9	THE GOWN OF GLORY, by Agnes Sligh Turnbull.	7	31
""			
10	THE FAR COUNTRY, by Nevil Shute.	10	6
""			
11	PRISONER OF GRACE, by Joyce Cary.	--	1
""			
12	HEMLOCK AND AFTER, by Angus Wilson.	15	3
""			
13	MEN AT ARMS, by Evelyn Waugh.	--	1
""			
14	HAPPY RETURN, by Angela Mackail Thirkell.	--	3
""			
15	THE DISTANT SHORE, by Jan de Hartog.	14	8
""			
16	THE MAN ON A DONKEY, by H.F.M. Prescott.	11	2
This	November 2, 1952	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	TALLULAH, by Tallulah Bankhead.	1	3
""			
2	A MAN CALLED PETER, by Catherine Marshall.	2	54
""			
3	HOLY BIBLE: REVISED STANDARD VERSION.	3	3
""			
4	THE GLITTER AND THE GOLD, by Consuelo Vanderbilt Balson.	5	5
""			
5	THE SEA AROUND US, by Rachel Carson.	4	68
""			
6	WITNESS, by Whittaker Chambers.	7	23
""			
7	ANNE FRANK:THE DIARY OF A YOUNG GIRL, by Anne Frank.	6	18
""			
8	THE GREAT ENTERPRISE, by H.A. Overstreet.	8	10
""			
9	WINDOWS FOR THE CROWN PRICE, by Elizabeth Gray Vining.	9	23
""			
10	THE DEVILS OF LOUDUN, by Aldous Huxley.	16	2
""			
11	BEYOND THE HIMALAYAS, by William O. Douglas.	11	3
""			
12	I GO POGO, by Walt Kelly.	12	7
""			
13	ADLAI E. STEVENSON OF ILLINOIS, by Noel F. Busch.	15	12
""			
""	HOW TO SUCCEED IN BUISNESS WITHOUT REALLY TRYING, by Shepherd		
14	Mead.	14	8
""			
15	POSTMARKED MOSCOW, by Lydia Kirk.	13	13
""			
16	THE HERBLOCK BOOK, by Herbert Block.	--	1
