This	December 14, 1952	Last	Week
Week	Fiction	Week	On Li
""			
1	EAST OF EDEN, by John Steinbeck.	1	11
""			
2	THE SILVER CHALICE, by Thomas B. Costain.	3	20
""			
3	GIANT, by Edna Ferber.	2	10
""			
4	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	5	3
""			
5	THE CAINE MUTINY, by Herman Wouk.	4	87
""			
6	THE OLD MAN AND THE SEA, by Ernest Hemingway.	6	14
""			
7	THE WONDERFUL COUNTRY, by Tom Lea.	7	3
""			
8	SIRONIA, TEXAS, by Madison Cooper.	11	4
""			
9	MEN AT ARMS, by Evelyn Waugh.	10	7
""			
10	THE HOUSES IN BETWEEN, by Howard Spring.	8	31
""			
11	QUEEN'S GIFT, by Inglis Clark Fletcher.	9	6
""			
12	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	13	16
""			
13	THE MAN ON A DONKEY, by H.F.M. Prescott.	16	6
""			
14	PRISONER OF GRACE, by Joyce Cary.	--	6
""			
15	KISS ME, DEADLY, by Mickey Spillane.	12	6
""			
16	A SHOWER OF SUMMER DAYS, by May Sarton.	--	1
This	December 14, 1952	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	TALLULAH, by Tallulah Bankhead.	1	9
""			
2	HOLY BIBLE: REVISED STANDARD VERSION.	3	9
""			
3	A MAN CALLED PETER, by Catherine Marshall.	2	60
""			
4	THE LAST RESORTS, by Cleveland Amory.	5	3
""			
5	ABRAHAM LINCOLN, by Benjamin P. Thomas.	7	3
""			
6	THE GLITTER AND THE GOLD, by Consuelo Vanderbilt Balson.	6	11
""			
7	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	4	6
""			
8	THE SEA AROUND US, by Rachel Carson.	8	74
""			
9	THE GREAT ENTERPRISE, by H.A. Overstreet.	9	16
""			
10	BEYOND THE HIMALAYAS, by William O. Douglas.	10	8
""			
11	THE HERBLOCK BOOK, by Herbert Block.	12	7
""			
12	THE DEVILS OF LOUDUN, by Aldous Huxley.	11	8
""			
13	THE BIG CHANGE, by Frederick Lewis Allen.	15	4
""			
14	HUNTER, by John A. Hunter.	--	1
""			
15	THIS I BELIEVE, by Edward R. Murrow.	--	1
""			
""	FIRESIDE SONGS OF FAVORITE AMERICAN SONGS, by Margaret Bradford		
16	Boni.	--	1
