This	January 18, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	THE SILVER CHALICE, by Thomas B. Costain.	2	25
""			
2	EAST OF EDEN, by John Steinbeck.	1	16
""			
3	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	4	8
""			
4	GIANT, by Edna Ferber.	3	15
""			
5	THE CAINE MUTINY, by Herman Wouk.	5	92
""			
6	THE WONDERFUL COUNTRY, by Tom Lea.	6	8
""			
7	THE OLD MAN AND THE SEA, by Ernest Hemingway.	7	19
""			
8	QUEEN'S GIFT, by Inglis Clark Fletcher.	10	11
""			
9	SIRONIA, TEXAS, by Madison Cooper.	8	9
""			
10	THE MAGIC LANTERN, by Robert Carson.	12	3
""			
11	DON CAMILLO AND HIS FLOCK, by Giovanni Guareschi.	9	21
""			
12	THE HOUSES IN BETWEEN, by Howard Spring.	14	36
""			
13	EXECUTIVE SUITE, by Cameron Hawley.	13	3
""			
14	THE SOJOURNER, by Marjorie Kinnan Rawlings.	--	1
""			
15	THE MAN ON A DONKEY, by H.F.M. Prescott.	11	11
""			
16	MEN AT ARMS, by Evelyn Waugh.	--	11
This	January 18, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	TALLULAH, by Tallulah Bankhead.	1	14
""			
2	HOLY BIBLE: REVISED STANDARD VERSION.	3	14
""			
3	A MAN CALLED PETER, by Catherine Marshall.	2	65
""			
4	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	4	11
""			
5	ABRAHAM LINCOLN, by Benjamin P. Thomas.	5	8
""			
6	THE LAST RESORTS, by Cleveland Amory.	6	8
""			
7	THE BIG CHANGE, by Frederick Lewis Allen.	7	9
""			
8	THIS I BELIEVE, by Edward R. Murrow.	9	5
""			
9	BEYOND THE HIMALAYAS, by William O. Douglas.	8	13
""			
10	THE GLITTER AND THE GOLD, by Consuelo Vanderbilt Balson.	10	16
""			
11	THE HERBLOCK BOOK, by Herbert Block.	13	12
""			
12	HUNTER, by John A. Hunter.	14	4
""			
13	THE GREAT ENTERPRISE, by H.A. Overstreet.	12	20
""			
14	A MANY-SPLENDORED THING, by Han Suyin.	--	3
""			
15	THE SEA AROUND US, by Rachel Carson.	11	79
""			
16	THE CROSS AND THE CROWN, by Norman Beasley.	--	4
