This	March 1, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	THE SILVER CHALICE, by Thomas B. Costain.	1	31
""			
2	DESIREE, by Annemarie Selinko.	3	5
""			
3	EAST OF EDEN, by John Steinbeck.	2	22
""			
4	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	4	14
""			
5	THE CAINE MUTINY, by Herman Wouk.	7	98
""			
6	GIANT, by Edna Ferber.	5	21
""			
7	THE SECOND HAPPIEST DAY, by John Phillips.	8	3
""			
8	THE SOJOURNER, by Marjorie Kinnan Rawlings.	6	7
""			
9	THE VELVET DOUBLET, by James Street.	9	6
""			
10	THE GALILEANS, by Frank G. Slaughter.	11	5
""			
11	TO THE MOMENT OF TRIUMPH, by Pamela Frankau.	12	3
""			
12	EXECUTIVE SUITE, by Cameron Hawley.	10	9
""			
13	THE WONDERFUL COUNTRY, by Tom Lea.	15	14
""			
14	THE OLD MAN AND THE SEA, by Ernest Hemingway.	14	25
""			
15	QUEEN'S GIFT, by Inglis Clark Fletcher.	--	15
""			
16	THE MAGIC LANTERN, by Robert Carson.	16	8
This	March 1, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	ANNAPURNA, by Maurice Herzog.	1	6
""			
2	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	2	17
""			
3	ALWAYS THE YOUNG STRANGERS, by Carl Sandburg.	4	6
""			
4	HOLY BIBLE: REVISED STANDARD VERSION.	6	20
""			
5	THIS I BELIEVE, by Edward R. Murrow.	3	11
""			
6	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	8	2
""			
7	A MAN CALLED PETER, by Catherine Marshall.	7	71
""			
8	TALLULAH, by Tallulah Bankhead.	5	20
""			
9	ABRAHAM LINCOLN, by Benjamin P. Thomas.	10	14
""			
10	THE LAST RESORTS, by Cleveland Amory.	9	14
""			
11	THE SIGN OF JONAS, by Thomas Merton.	--	1
""			
12	THE BIG CHANGE, by Frederick Lewis Allen.	11	15
""			
13	A MANY-SPLENDORED THING, by Han Suyin.	12	9
""			
14	THE HERBLOCK BOOK, by Herbert Block.	16	16
""			
15	HUNTER, by John A. Hunter.	15	8
""			
16	MARY LINCOLN, by Ruth Randall.	--	1
