This	June 21, 1953	Last	Week
Week	Fiction	Week	On Li
""			
1	DESIREE, by Annemarie Selinko.	1	21
""			
2	BATTLE CRY, by Leon Uris.	3	6
""			
3	THE SILVER CHALICE, by Thomas B. Costain.	2	47
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	5	7
""			
5	KISS ME AGAIN, STRANGER, by Daphne du Maurier.	7	13
""			
6	GOLDEN ADMIRAL, by Francis Van Wyck Mason.	4	16
""			
7	THE ECHOING GROVE, by Rosamond Lehmann.	6	4
""			
8	HOTEL TALLYRAND, by Paul Hyde Bonner.	9	9
""			
9	THE DARK ANGEL, by Mika Waltari.	--	1
""			
10	KINGFISHERS CATCH FIRE, by Rumer Godden.	10	2
""			
11	IN THE WET, by Nevil Shute.	--	4
""			
12	ZORBA THE GREEK, by Nikos Kazantzakis.	8	6
""			
13	THE EMPEROR'S LADY, by F.W. Kenyon.	--	1
""			
14	THE CAINE MUTINY, by Herman Wouk.	12	114
""			
15	STEAMBOAT GOTHIC, by Frances Parkinson Keyes.	11	30
""			
16	NINE STORIES, by J.D. Salinger.	13	9
This	June 21, 1953	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	33
""			
2	ANNAPURNA, by Maurice Herzog.	2	22
""			
3	HOLY BIBLE: REVISED STANDARD VERSION.	5	36
""			
4	THE SILENT WORLD, by Jacques Yves Cousteau and Frederic Dumas.	3	18
""			
5	MAJOR CAMPAIGN SPEECHES, by Adlai Stevenson.	4	9
""			
6	HOW TO PLAY YOUR BEST GOLF ALL THE TIME, by Tommy Armour.	11	6
""			
7	A MAN CALLED PETER, by Catherine Marshall.	7	87
""			
8	THE POOR MAN'S GUIDE TO EUROPE, by David Dodge.	9	8
""			
9	THE ROMMEL PAPERS, by B.H. Liddell Hart.	10	3
""			
10	ANGEL UNAWARE, by Dale Evans Rogers.	12	8
""			
11	NORTH FROM MALAYA, by William O. Douglas.	--	1
""			
12	THIS I BELIEVE, by Edward R. Murrow.	6	27
""			
13	UNCLE POGO SO-SO STORIES, by Walt Kelly.	15	3
""			
14	THE WORLD AND THE WEST, by Arnold Toynbee.	8	11
""			
15	PEOPLE, PLACES, AND BOOKS, by Gilbert Highet.	13	3
""			
16	A HOUSE IS NOT A HOME, by Polly Adler.	--	1
