This	March 28, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	10
""			
2	SAYONARA, by James A. Michener.	2	7
""			
3	LORD VANITY, by Samuel Shellabarger.	3	21
""			
4	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	4	47
""			
5	THE LADY OF ARLINGTON, by Harnett T. Kane.	8	24
""			
6	TOMORROW!, by Philip Wylie.	5	8
""			
7	AWAY ALL BOATS, by Kenneth Dodson.	14	2
""			
8	RAINBOW ON THE ROAD, by Esther Forbes.	6	6
""			
9	THE NIGHT OF THE HUNTER, by Davis Grubb.	7	3
""			
10	LOVE IS A BRIDGE, by Charles Bracelen Flood.	9	19
""			
11	BEYOND THIS PLACE, by A.J. Cronin.	11	35
""			
12	THE FEMALE, by Paul Wellman.	10	24
""			
13	BATTLE CRY, by Leon Uris.	12	46
""			
14	CRESS DELAHANTY, by Jessamyn West.	13	9
""			
15	THE DEATH OF KINGS, by Charles Wertenbaker.	16	4
""			
16	THE DOCTORS, by Andre Soubiran.	15	17
This	March 28, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	73
""			
2	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	3	4
""			
3	SECOND TREE FROM THE CORNER, by E.B. White.	2	8
""			
4	THE CONQUEST OF EVEREST, by Sir John Hunt.	4	8
""			
5	LIFE IS WORTH LIVING, by Fulton J. Sheen.	5	21
""			
6	THE MAN WHO NEVER WAS, by Ewen Montagu.	7	6
""			
7	AMBASSADOR'S REPORT, by Chester Bowles.	6	10
""			
8	SEVEN YEARS IN TIBET, by Heinrich Harrer.	10	2
""			
9	FIRE IN THE ASHES, by Theodore Harold White.	8	17
""			
10	THE AGE OF THE MOGULS, by Stewart H. Holbrook.	9	22
""			
11	FLYING SAUCERS HAVE LANDED, by Desmond Leslie and George Adamski.	11	4
""			
12	A MAN CALLED PETER, by Catherine Marshall.	13	127
""			
13	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	--	1
""			
14	THE TWENTY-YEAR REVOLUTION, by Chesly Manly.	15	2
""			
15	MAMMY PLEASANT, by Helen Holdredge.	--	3
""			
16	THE CONFIDENTIAL CLERK, by T.S. Eliot.	--	1
