This	April 18, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	NOT AS A STRANGER, by Morton Thompson.	1	13
""			
2	SAYONARA, by James A. Michener.	2	10
""			
3	AWAY ALL BOATS, by Kenneth Dodson.	4	5
""			
4	BLESS THIS HOUSE, by Norah Lofts.	8	2
""			
5	LORD VANITY, by Samuel Shellabarger.	3	24
""			
6	THE NIGHT OF THE HUNTER, by Davis Grubb.	5	6
""			
7	THE HIGH AND THE MIGHTY, by Ernest K. Gann.	6	50
""			
8	TOMORROW!, by Philip Wylie.	7	11
""			
9	RAINBOW ON THE ROAD, by Esther Forbes.	11	9
""			
10	THE FEMALE, by Paul Wellman.	9	27
""			
11	BHOWANI JUNCTION, by John Masters.	--	1
""			
12	THE LADY OF ARLINGTON, by Harnett T. Kane.	10	27
""			
13	THE SPIDER KING, by Lawrence Schoonover.	--	1
""			
14	BATTLE CRY, by Leon Uris.	15	49
""			
15	THE DESPERATE HOURS, by Joseph Hayes.	13	3
""			
16	LOVE IS A BRIDGE, by Charles Bracelen Flood.	12	22
This	April 18, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	2	7
""			
2	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	76
""			
3	SECOND TREE FROM THE CORNER, by E.B. White.	3	11
""			
4	THE CONQUEST OF EVEREST, by Sir John Hunt.	4	11
""			
5	LIFE IS WORTH LIVING, by Fulton J. Sheen.	5	24
""			
6	THE MAN WHO NEVER WAS, by Ewen Montagu.	6	9
""			
7	SEVEN YEARS IN TIBET, by Heinrich Harrer.	8	5
""			
8	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	7	4
""			
9	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	9	5
""			
10	FIRE IN THE ASHES, by Theodore Harold White.	11	20
""			
11	McCARTHY AND HIS ENEMIES, by William F. Buckley and Brent Bozell.	--	1
""			
12	AMBASSADOR'S REPORT, by Chester Bowles.	10	13
""			
13	FLYING SAUCERS HAVE LANDED, by Desmond Leslie and George Adamski.	14	6
""			
14	THE TWENTY-YEAR REVOLUTION, by Chesly Manly.	--	4
""			
15	FLYING SAUCERS FROM OUTER SPACE, by Donald Keyhoe.	15	14
""			
16	THE ART OF ADVOCACY, by Lloyd Stryker.	--	1
