This	October 17, 1954	Last	Week
Week	Fiction	Week	On Li
""			
1	LOVE IS ETERNAL, by Irving Stone.	2	7
""			
2	MARY ANNE, by Daphne du Maurier.	1	18
""			
3	NOT AS A STRANGER, by Morton Thompson.	3	39
""			
4	A FABLE, by William Faulkner.	5	9
""			
5	SWEET THURSDAY, by John Steinbeck.	4	17
""			
6	THE ROYAL BOX, by Frances Parkinson Keyes.	6	17
""			
7	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	7	23
""			
8	THE DOLLMAKER, by Harriette Arnow.	9	23
""			
9	THE FALL OF A TITAN, by Igor Gouzenko.	8	11
""			
10	THE LONG SHIPS, by Frans G. Bengtsson.	10	3
""			
11	KATHERINE, by Anya Seton.	--	1
""			
12	THE HEALING OATH, by Andre Soubiran.	12	9
""			
13	THE RAMAYANA, by Aubrey Menen.	13	2
""			
14	THE GO-BETWEEN, by L.P. Hartley.	--	2
""			
15	THE SONG OF RUTH, by Frank G. Slaughter.	16	22
""			
16	THE WICKED PAVILION, by Dawn Powell.	--	1
This	October 17, 1954	Last	Wee
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	102
""			
2	I'LL CRY TOMORROW, by Lillian Roth.	2	19
""			
3	CALL TO GREATNESS, by Adlai E. Stevenson.	3	6
""			
4	A CHILD OF THE CENTURY, by Ben Hecht.	4	16
""			
5	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	7	14
""			
6	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	5	31
""			
7	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	6	33
""			
8	THE ROOSEVELT FAMILY OF SAGAMORE HILL, by Hermann Hagedorn.	8	7
""			
9	McCARTHY AND THE COMMUNISTS, by James Rorty and Moshe Decter.	10	4
""			
10	MELBOURNE, by David Cecil.	14	2
""			
11	ABRAHAM LINCOLN, by Carl Sandburg.	--	1
""			
12	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	11	30
""			
13	THE REMARKABLE MR. JEROME, by Anita Leslie.	--	1
""			
14	REALITIES OF AMERICAN FOREIGN POLICY, by George F. Kennan.	--	1
""			
15	MADAME DE POMPADOUR, by Nancy Mitford.	9	17
""			
16	A PHILOSOPHY FOR OUR TIME, by Bernard M. Baruch.	12	5
