This	October 24, 1954	Last	Wee
Week	Fiction	Week	On Li
""			
1	LOVE IS ETERNAL, by Irving Stone.	1	8
""			
2	MARY ANNE, by Daphne du Maurier.	2	19
""			
3	NOT AS A STRANGER, by Morton Thompson.	3	40
""			
4	SWEET THURSDAY, by John Steinbeck.	5	18
""			
5	THE ROYAL BOX, by Frances Parkinson Keyes.	6	18
""			
6	KATHERINE, by Anya Seton.	11	2
""			
7	A FABLE, by William Faulkner.	4	10
""			
8	THE FALL OF A TITAN, by Igor Gouzenko.	9	12
""			
9	THE DOLLMAKER, by Harriette Arnow.	8	24
""			
10	SOLDIER OF FORTUNE, by Ernest Kellogg Gann.	--	1
""			
11	NEVER VICTORIOUS, NEVER DEFEATED, by Taylor Caldwell.	7	24
""			
12	NO TIME FOR SERGEANTS, by Mac Hyman.	--	1
""			
13	THE RAMAYANA, by Aubrey Menen.	13	3
""			
14	AWAY ALL BOATS, by Kenneth Dodson.	--	29
""			
15	THE IRON MAIDEN, by Edwin Lanham.	--	5
""			
16	THE JOURNAL OF EDWIN CARP, by Richard Haydn.	--	2
This	October 24, 1954	Last	Week
Week	Non-Fiction	Week	On Li
""			
1	THE POWER OF POSITIVE THINKING, by Norman Vincent Peale.	1	103
""			
2	I'LL CRY TOMORROW, by Lillian Roth.	2	20
""			
3	CALL TO GREATNESS, by Adlai E. Stevenson.	3	7
""			
4	ABRAHAM LINCOLN, by Carl Sandburg.	11	2
""			
5	A CHILD OF THE CENTURY, by Ben Hecht.	4	17
""			
6	TNT: THE POWER WITHIN YOU, by Claude M. and Harold Sherman Bristol.	5	15
""			
7	THE MIND ALIVE, by Harry Allen Overstreet and Bonaro W. Overstreet.	6	32
""			
8	McCARTHY AND THE COMMUNISTS, by James Rorty and Moshe Decter.	9	5
""			
9	THE ROOSEVELT FAMILY OF SAGAMORE HILL, by Hermann Hagedorn.	8	8
""			
10	BUT WE WERE BORN FREE, by Elmer Holmes Davis.	7	34
""			
""	MACARTHUR -- 1941-1951, by Major General Charles A. Willoughby and John		
11	Chamberlain.	--	1
""			
12	FORTY PLUS AND FANCY FREE, by Emily Kimbrough.	12	31
""			
13	MELBOURNE, by David Cecil.	10	3
""			
14	THE REMARKABLE MR. JEROME, by Anita Leslie.	13	2
""			
15	THE WHITE AND THE GOLD, by Thomas B. Costain.	--	1
""			
16	A PHILOSOPHY FOR OUR TIME, by Bernard M. Baruch.	16	6
