This		January 31, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		2	11
""				
2	ADVISE AND CONSENT, by Allen Drury.		1	25
""				
3	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell.		4	44
""				
4	POOR NO MORE, by Robert Ruark.		3	12
""				
5	THE WAR LOVER, by John Hersey.		5	15
""				
6	THE DARKNESS AND THE DAWN, by Thomas B. Costain.		6	14
""				
7	THE DEVIL'S ADVOCATE, by Morrs L. West.		8	18
""				
8	EXODUS, by Leon Uris.		7	69
""				
9	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick.		9	67
""				
10	FUEL FOR THE FLAME, by Alec Waugh.		--	1
""				
11	FALSE SCENT, by Ngaio Marsh.		--	1
""				
12	TOO MANY GHOSTS, by Paul Gallico.		12	10
""				
13	"THRUSH GREEN, by ""Miss Read""."		15	2
""				
14	THE MANSION, by William Faulkner.		10	10
""				
15	WILDER STONE, by John Leggett.		--	1
""				
16	RETURN TO PEYTON PLACE, by Grace Metalious.		13	3
This		January 31, 1960	Last	Weeks
Week		Non-Fiction	Week	On List
""				
1	ACT ONE, by Moss Hart.		1	18
""				
2	FOLK MEDICINE, by Deforest Clinton Jarvis.		2	42
""				
3	THIS IS MY GOD, by Herman Wouk.		3	17
""				
4	THE LONGEST DAY, by Cornelius Ryan.		4	8
""				
5	THE ARMADA, by Garrett Mattingly.		5	13
""				
6	THE STATUS SEEKERS, by Vance Packard.		6	38
""				
7	THE JOY OF MUSIC, by Leonard Bernstein.		7	6
""				
8	MY WICKED, WICKED WAYS, by Errol Flynn.		10	2
""				
9	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.		13	2
""				
10	THE ELEMENTS OF STYLE, by William Strunk Jr. and E.B. White.		9	27
""				
11	THE SILENT TRAVELLER IN BOSTON, by Chiang Yee.		--	3
""				
12	THE UNCERTAIN TRUMPET, by General Maxwell D. Taylor.		--	1
""				
13	FOR 2c PLAIN, by Harry Golden.		8	29
""				
14	THE STOLEN YEARS, by Roger Touhy and Ray Brennan.		--	1
""				
15	HOW I TURNED $1,000 INTO A MILLION IN REAL ESTATE -- IN MY SPARE		--	38
""	TIME, by William Nickerson.			
""				
16	GENTLEMEN, SCHOLARS AND SCOUNDRELS, by Horace Knowles.		16	8
