This		February 7, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	12
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	26
""				
3	POOR NO MORE, by Robert Ruark.		4	13
""				
4	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell.		3	45
""				
5	THE WAR LOVER, by John Hersey.		5	16
""				
6	THE DEVIL'S ADVOCATE, by Morrs L. West.		7	19
""				
7	EXODUS, by Leon Uris.		8	70
""				
8	THE DARKNESS AND THE DAWN, by Thomas B. Costain.		6	15
""				
9	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick.		9	68
""				
10	FUEL FOR THE FLAME, by Alec Waugh.		10	2
""				
11	THE THIRTEENTH APOSTLE, by Eugene Vale.		--	21
""				
12	FALSE SCENT, by Ngaio Marsh.		11	2
""				
13	WILDER STONE, by John Leggett.		15	2
""				
14	THE MANSION, by William Faulkner.		14	11
""				
15	TWO WEEKS IN ANOTHER TOWN, by Irwin Shaw.		--	1
""				
16	JARRET'S JADE, by Frank Yerby.		--	1
This		February 7, 1960	Last	Weeks
Week		Non-Fiction	Week	On List
""				
1	ACT ONE, by Moss Hart.		1	19
""				
2	FOLK MEDICINE, by Deforest Clinton Jarvis.		2	43
""				
3	THIS IS MY GOD, by Herman Wouk.		3	18
""				
4	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.		9	3
""				
5	THE LONGEST DAY, by Cornelius Ryan.		4	9
""				
6	THE JOY OF MUSIC, by Leonard Bernstein.		7	7
""				
7	MY WICKED, WICKED WAYS, by Errol Flynn.		8	3
""				
8	THE STATUS SEEKERS, by Vance Packard.		6	39
""				
9	THE ARMADA, by Garrett Mattingly.		5	14
""				
10	THE ELEMENTS OF STYLE, by William Strunk Jr. and E.B. White.		10	28
""				
11	THE UNCERTAIN TRUMPET, by General Maxwell D. Taylor.		12	2
""				
12	THE FACTS ABOUT NIXON, by William Costello.		--	1
""				
13	THE SILENT TRAVELLER IN BOSTON, by Chiang Yee.		11	4
""				
14	FOR 2c PLAIN, by Harry Golden.		13	30
""				
15	THE STOLEN YEARS, by Roger Touhy and Ray Brennan.		14	2
""				
16	MEETING WITH JAPAN, by Fosco Maraini.		--	1
