This		March 6, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	16
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	30
""				
3	TWO WEEKS IN ANOTHER TOWN, by Irwin Shaw.		5	5
""				
4	POOR NO MORE, by Robert Ruark.		3	17
""				
5	THE CONSTANT IMAGE, by Marcia Davenport.		7	4
""				
6	THE DEVIL'S ADVOCATE, by Morrs L. West.		6	23
""				
7	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell.		4	49
""				
8	EXODUS, by Leon Uris.		9	74
""				
9	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick.		13	72
""				
10	THE DARKNESS AND THE DAWN, by Thomas B. Costain.		--	18
""				
11	THE WAR LOVER, by John Hersey.		8	20
""				
12	FUEL FOR THE FLAME, by Alec Waugh.		10	6
""				
13	OURSELVES TO KNOW, by John O'Hara.		11	2
""				
14	KISS KISS, by Roald Dahl.		14	2
""				
15	FALSE SCENT, by Ngaio Marsh.		--	5
""				
16	A TWIST OF SAND, by Geoffrey Jenkins.		--	1
This		March 6, 1960	Last	Weeks
Week		Non-Fiction	Week	On List
""				
1	ACT ONE, by Moss Hart.		1	23
""				
2	FOLK MEDICINE, by Deforest Clinton Jarvis.		2	47
""				
3	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.		3	7
""				
4	MY WICKED, WICKED WAYS, by Errol Flynn.		4	7
""				
5	THE JOY OF MUSIC, by Leonard Bernstein.		6	11
""				
6	THIS IS MY GOD, by Herman Wouk.		5	22
""				
7	THE LONGEST DAY, by Cornelius Ryan.		7	13
""				
8	QUEEN MARY, 1867-1953. By James Pope-Hennessy.		--	1
""				
9	GRANT MOVES SOUTH, by Bruce Catton.		9	2
""				
10	THE STATUS SEEKERS, by Vance Packard.		8	43
""				
11	THE UNCERTAIN TRUMPET, by General Maxwell D. Taylor.		--	5
""				
12	THE ELEMENTS OF STYLE, by William Strunk Jr. and E.B. White.		11	32
""				
13	THE ARMADA, by Garrett Mattingly.		10	18
""				
14	HOW I TURNED $1,000 INTO A MILLION IN REAL ESTATE -- IN MY SPARE		12	42
""	TIME, by William Nickerson.			
""				
15	THE FACTS ABOUT NIXON, by William Costello.		--	4
""				
16	CANDIDATES 1960, by Eric Sevareid.		16	11
