This		March 27, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	19
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	33
""				
3	THE CONSTANT IMAGE, by Marcia Davenport.		4	7
""				
4	OURSELVES TO KNOW, by John O'Hara.		5	5
""				
5	TWO WEEKS IN ANOTHER TOWN, by Irwin Shaw.		3	8
""				
6	THE DEVIL'S ADVOCATE, by Morrs L. West.		6	26
""				
7	POOR NO MORE, by Robert Ruark.		7	20
""				
8	DEAR AND GLORIOUS PHYSICIAN, by Taylor Caldwell.		8	52
""				
9	THE LINCOLN LORDS, by Cameron Hawley.		9	2
""				
10	EXODUS, by Leon Uris.		14	77
""				
11	ALL THE DAY LONG, by Howard Spring.		11	2
""				
12	KISS KISS, by Roald Dahl.		12	5
""				
13	NIGHT WITHOUT END, by Alistair MacLean.		16	2
""				
14	THE UGLY AMERICAN, by William J. Lederer and Eugene Burdick.		13	75
""				
15	FUEL FOR THE FLAME, by Alec Waugh.		15	9
""				
16	A SEPARATE PEACE, by John Knowles.		--	1
This	March 27, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	1	10
""			
2	FOLK MEDICINE, by Deforest Clinton Jarvis.	2	50
""			
3	ACT ONE, by Moss Hart.	3	26
""			
4	MY WICKED, WICKED WAYS, by Errol Flynn.	4	10
""			
5	GRANT MOVES SOUTH, by Bruce Catton.	6	5
""			
6	THE JOY OF MUSIC, by Leonard Bernstein.	5	14
""			
7	THE ENEMY WITHIN, by Robert F. Kennedy.	13	2
""			
8	THIS IS MY GOD, by Herman Wouk.	9	25
""			
9	QUEEN MARY, 1867-1953. By James Pope-Hennessy.	8	4
""			
10	THE LONGEST DAY, by Cornelius Ryan.	7	16
""			
11	THE STATUS SEEKERS, by Vance Packard.	10	46
""			
12	THE LAW AND THE PROFITS, by C. Northcote Parkinson.	11	2
""			
13	THE ARMADA, by Garrett Mattingly.	--	20
""			
14	HOW I TURNED $1,000 INTO A MILLION IN REAL ESTATE -- IN MY SPARE	--	43
""	TIME, by William Nickerson.		
""			
15	FULL CIRCLE, by Anthony Eden.	--	1
""			
16	THE SPLENDID MISERY, by Jack Bell.	--	1
