This		October 16,1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	48
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	62
""				
3	THE LEOPARD, by Guiseppe di Lampedusa.		3	23
""				
4	THE CHAPMAN REPORT, by Irving Wallace.		5	20
""				
5	TO KILL A MOCKINGBIRD, by Harper Lee.		4	11
""				
6	THE LOVELY AMBITION, by Mary Ellen Chase.		6	16
""				
7	DIAMOND HEAD, by Peter Gilman.		9	14
""				
8	WATER OF LIFE, by Henry Morton Robinson.		8	16
""				
9	MISTRESS OF MELLYN, by Victoria Holt.		13	4
""				
10	THE LISTENER, by Taylor Caldwell.		15	2
""				
11	THE HOUSE OF FIVE TALENTS, by Louis Auchincloss.		--	2
""				
12	THE AFFAIR, by C.P. Snow.		12	21
""				
13	THE LAST TEMPTATION OF CHRIST, by Nikos Kazantzakis.		7	6
""				
14	AWAY FROM HOME, by Rona Jaffe.		14	5
""				
15	THE BLACK BOOK, by Lawrence Durrell.		11	2
""				
16	THE DEAN'S WATCH, by Elizabeth Goudge.		--	1
This	October 16, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BORN FREE, by Joy Adamson.	1	23
""			
2	HOW I MADE $2,000,000 IN THE STOCK MARKET, by Nicolas Darvas.	2	16
""			
3	ENJOY, ENJOY!, by Harry Golden.	4	12
""			
4	FOLK MEDICINE, by Deforest Clinton Jarvis.	3	79
""			
5	FELIX FRANKFURTER REMINISCES, by Felix Frankfurter.	5	17
""			
6	THE LIBERAL HOUR, by John Kenneth Galbraith.	7	7
""			
7	THE WASTE MAKERS, by Vance Packard.	9	3
""			
8	THE POLITICS OF UPHEAVAL, by Arthur Schlesinger.	11	3
""			
9	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	6	39
""			
10	TAKEN AT THE FLOOD, by John Gunther.	12	5
""			
11	THE GOOD YEARS, by Walter Lord.	8	16
""			
12	THE CONSCIENCE OF A CONSERVATIVE, by Barry Goldwater.	10	16
""			
13	BASEBALL IS A FUNNY GAME, by Joe Garagiola.	14	12
""			
14	I KID YOU NOT, by Jack Paar.	13	26
""			
15	MY FIRST FIFTY YEARS IN POLITICS, by Joe Martin and Robert J. Donovan.	--	1
""			
16	COUNTDOWN FOR DECISION, by Major General J.B. Medaris and Arthur	--	1
""	Gordon.		
