This		October 23, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	49
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	63
""				
3	THE LEOPARD, by Guiseppe di Lampedusa.		3	24
""				
4	TO KILL A MOCKINGBIRD, by Harper Lee.		5	12
""				
5	THE CHAPMAN REPORT, by Irving Wallace.		4	21
""				
6	THE LOVELY AMBITION, by Mary Ellen Chase.		6	17
""				
7	THE HOUSE OF FIVE TALENTS, by Louis Auchincloss.		11	3
""				
8	THE DEAN'S WATCH, by Elizabeth Goudge.		16	2
""				
9	DIAMOND HEAD, by Peter Gilman.		7	15
""				
10	MISTRESS OF MELLYN, by Victoria Holt.		9	5
""				
11	WATER OF LIFE, by Henry Morton Robinson.		8	17
""				
12	THE LAST TEMPTATION OF CHRIST, by Nikos Kazantzakis.		13	7
""				
13	THE BLACK BOOK, by Lawrence Durrell.		15	3
""				
14	THE CHILD BUYER, by John Hersey.		--	1
""				
15	THE LISTENER, by Taylor Caldwell.		10	3
""				
16	BEFORE YOU GO, by Jerome Weidman.		--	10
This	October 23, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BORN FREE, by Joy Adamson.	1	24
""			
2	HOW I MADE $2,000,000 IN THE STOCK MARKET, by Nicolas Darvas.	2	17
""			
3	THE WASTE MAKERS, by Vance Packard.	7	4
""			
4	FOLK MEDICINE, by Deforest Clinton Jarvis.	4	80
""			
5	ENJOY, ENJOY!, by Harry Golden.	3	13
""			
6	THE LIBERAL HOUR, by John Kenneth Galbraith.	6	8
""			
7	THE POLITICS OF UPHEAVAL, by Arthur Schlesinger.	8	4
""			
8	FELIX FRANKFURTER REMINISCES, by Felix Frankfurter.	5	18
""			
9	THE CONSCIENCE OF A CONSERVATIVE, by Barry Goldwater.	12	17
""			
10	THE GOOD YEARS, by Walter Lord.	11	17
""			
11	TAKEN AT THE FLOOD, by John Gunther.	10	6
""			
12	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	9	40
""			
13	KENNEDY OR NIXON: DOES IT MAKE ANY DIFFERENCE?, by Arthur Meier	--	1
""	Schlesinger.		
""			
14	BASEBALL IS A FUNNY GAME, by Joe Garagiola.	13	13
""			
15	I KID YOU NOT, by Jack Paar.	14	27
""			
16	ARTHRITIS AND FOLK MEDICINE, by Deforest Clinton Jarvis.	--	1
