This		October 30, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	50
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	64
""				
3	THE LEOPARD, by Guiseppe di Lampedusa.		3	25
""				
4	TO KILL A MOCKINGBIRD, by Harper Lee.		4	13
""				
5	THE CHAPMAN REPORT, by Irving Wallace.		5	22
""				
6	THE LOVELY AMBITION, by Mary Ellen Chase.		6	18
""				
7	MISTRESS OF MELLYN, by Victoria Holt.		10	6
""				
8	THE DEAN'S WATCH, by Elizabeth Goudge.		8	3
""				
9	THE HOUSE OF FIVE TALENTS, by Louis Auchincloss.		7	4
""				
10	DIAMOND HEAD, by Peter Gilman.		9	16
""				
11	THE LAST TEMPTATION OF CHRIST, by Nikos Kazantzakis.		12	8
""				
12	THE LISTENER, by Taylor Caldwell.		15	4
""				
13	THE CHILD BUYER, by John Hersey.		14	2
""				
14	WATER OF LIFE, by Henry Morton Robinson.		11	18
""				
15	THE AFFAIR, by C.P. Snow.		--	22
""				
16	THE BLACK BOOK, by Lawrence Durrell.		13	4
This	October 30, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BORN FREE, by Joy Adamson.	1	25
""			
2	THE WASTE MAKERS, by Vance Packard.	3	5
""			
3	ENJOY, ENJOY!, by Harry Golden.	5	14
""			
4	FOLK MEDICINE, by Deforest Clinton Jarvis.	4	81
""			
5	HOW I MADE $2,000,000 IN THE STOCK MARKET, by Nicolas Darvas.	2	18
""			
6	KENNEDY OR NIXON: DOES IT MAKE ANY DIFFERENCE?, by Arthur Meier	13	2
""	Schlesinger.		
""			
7	THE LIBERAL HOUR, by John Kenneth Galbraith.	6	9
""			
8	FELIX FRANKFURTER REMINISCES, by Felix Frankfurter.	8	19
""			
9	THE CONSCIENCE OF A CONSERVATIVE, by Barry Goldwater.	9	18
""			
10	THE POLITICS OF UPHEAVAL, by Arthur Schlesinger.	7	5
""			
11	TAKEN AT THE FLOOD, by John Gunther.	11	7
""			
12	MAY THIS HOUSE BE SAFE FROM TIGERS, by Alexander King.	12	41
""			
13	BARUCH: THE PUBLIC YEARS, by Bernard M Baruch.	--	1
""			
14	BASEBALL IS A FUNNY GAME, by Joe Garagiola.	14	14
""			
15	THE GOOD YEARS, by Walter Lord.	10	18
""			
16	ARTHRITIS AND FOLK MEDICINE, by Deforest Clinton Jarvis.	16	2
