This		December 4, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		2	55
""				
2	ADVISE AND CONSENT, by Allen Drury.		1	69
""				
3	TO KILL A MOCKINGBIRD, by Harper Lee.		3	18
""				
4	THE DEAN'S WATCH, by Elizabeth Goudge.		6	8
""				
5	MISTRESS OF MELLYN, by Victoria Holt.		5	11
""				
6	THE LEOPARD, by Guiseppe di Lampedusa.		4	30
""				
7	THE LOVELY AMBITION, by Mary Ellen Chase.		7	23
""				
8	DECISION AT DELPHI, by Helen MacInnes.		8	4
""				
9	THE CHILD BUYER, by John Hersey.		9	7
""				
10	THE LISTENER, by Taylor Caldwell.		10	9
""				
11	THE LAST OF THE JUST, by Andre Schwarz-Bart.		15	3
""				
12	THE NYLON PIRATES, by Nicholas Monsarrat.		14	5
""				
13	THE LAST TEMPTATION OF CHRIST, by Nikos Kazantzakis.		11	13
""				
14	THE HOUSE OF FIVE TALENTS, by Louis Auchincloss.		12	9
""				
15	POMP AND CIRCUMSTANCE, by Noel Coward.		--	1
""				
16	RABBIT, RUN, by John Updike.		16	2
This	December 4, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	2	5
""			
2	THE WASTE MAKERS, by Vance Packard.	1	10
""			
3	BORN FREE, by Joy Adamson.	3	30
""			
4	THE POLITICS OF UPHEAVAL, by Arthur Schlesinger.	4	10
""			
5	BARUCH: THE PUBLIC YEARS, by Bernard M Baruch.	7	6
""			
6	FOLK MEDICINE, by Deforest Clinton Jarvis.	5	86
""			
7	KENNEDY OR NIXON: DOES IT MAKE ANY DIFFERENCE?, by Arthur Meier	6	7
""	Schlesinger.		
""			
8	THE AMERICAN HERITAGE PICTURE HISTORY OF THE CIVIL WAR, by	14	4
""	Bruce Catton.		
""			
9	ARTHRITIS AND FOLK MEDICINE, by Deforest Clinton Jarvis.	15	7
""			
10	HOW I MADE $2,000,000 IN THE STOCK MARKET, by Nicolas Darvas.	10	23
""			
11	TAKEN AT THE FLOOD, by John Gunther.	12	12
""			
12	THE SNAKE HAS ALL THE LINES, by Jean Kerr.	16	3
""			
13	ENJOY, ENJOY!, by Harry Golden.	8	19
""			
14	THE CONSCIENCE OF A CONSERVATIVE, by Barry Goldwater.	9	23
""			
15	FELIX FRANKFURTER REMINISCES, by Felix Frankfurter.	13	24
""			
16	VANITY FAIR, by Cleveland Amory and Frederic Bradlee.	--	1
