This		December 18, 1960	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	57
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	71
""				
3	THE DEAN'S WATCH, by Elizabeth Goudge.		4	10
""				
4	TO KILL A MOCKINGBIRD, by Harper Lee.		3	20
""				
5	DECISION AT DELPHI, by Helen MacInnes.		8	6
""				
6	THE LOVELY AMBITION, by Mary Ellen Chase.		7	25
""				
7	MISTRESS OF MELLYN, by Victoria Holt.		5	13
""				
8	THE LAST OF THE JUST, by Andre Schwarz-Bart.		9	5
""				
9	THE LISTENER, by Taylor Caldwell.		11	11
""				
10	THE NYLON PIRATES, by Nicholas Monsarrat.		12	7
""				
11	SERMONS AND SODA WATER, by John O'Hara.		--	1
""				
12	THE CHILD BUYER, by John Hersey.		10	9
""				
13	THE LEOPARD, by Guiseppe di Lampedusa.		6	32
""				
14	THE HOUSE OF FIVE TALENTS, by Louis Auchincloss.		14	11
""				
15	POMP AND CIRCUMSTANCE, by Noel Coward.		15	3
""				
16	THE CHAPMAN REPORT, by Irving Wallace.		13	28
This	December 18, 1960	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	1	7
""			
2	THE WASTE MAKERS, by Vance Packard.	2	12
""			
3	BORN FREE, by Joy Adamson.	3	32
""			
4	BARUCH: THE PUBLIC YEARS, by Bernard M Baruch.	4	8
""			
5	THE AMERICAN HERITAGE PICTURE HISTORY OF THE CIVIL WAR, by Bruce	6	6
""	Catton.		
""			
6	THE POLITICS OF UPHEAVAL, by Arthur Schlesinger.	5	12
""			
7	THE SNAKE HAS ALL THE LINES, by Jean Kerr.	7	5
""			
8	VANITY FAIR, by Cleveland Amory and Frederic Bradlee.	8	3
""			
9	FOLK MEDICINE, by Deforest Clinton Jarvis.	9	88
""			
10	TAKEN AT THE FLOOD, by John Gunther.	10	14
""			
11	ENJOY, ENJOY!, by Harry Golden.	13	21
""			
12	THE LIBERAL HOUR, by John Kenneth Galbraith.	--	14
""			
13	THE CONSCIENCE OF A CONSERVATIVE, by Barry Goldwater.	12	25
""			
14	HOW I MADE $2,000,000 IN THE STOCK MARKET, by Nicolas Darvas.	14	25
""			
15	FELIX FRANKFURTER REMINISCES, by Felix Frankfurter.	15	26
""			
16	ARTHRITIS AND FOLK MEDICINE, by Deforest Clinton Jarvis.	11	9
