This		January 1, 1961	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	59
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	73
""				
3	THE DEAN'S WATCH, by Elizabeth Goudge.		5	12
""				
4	TO KILL A MOCKINGBIRD, by Harper Lee.		3	22
""				
5	DECISION AT DELPHI, by Helen MacInnes.		7	8
""				
6	THE LOVELY AMBITION, by Mary Ellen Chase.		4	27
""				
7	MISTRESS OF MELLYN, by Victoria Holt.		8	15
""				
8	SERMONS AND SODA WATER, by John O'Hara.		10	3
""				
9	THE LAST OF THE JUST, by Andre Schwarz-Bart.		6	7
""				
10	POMP AND CIRCUMSTANCE, by Noel Coward.		12	5
""				
11	THE LEOPARD, by Guiseppe di Lampedusa.		9	34
""				
12	THE LISTENER, by Taylor Caldwell.		11	13
""				
13	THE DOOMED OASIS, by Hammond Innes.		--	1
""				
14	THE CHILD BUYER, by John Hersey.		--	10
""				
15	THE NYLON PIRATES, by Nicholas Monsarrat.		13	9
""				
16	RABBIT, RUN, by John Updike.		14	5
This	January 1, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	1	9
""			
2	THE WASTE MAKERS, by Vance Packard.	2	14
""			
3	BORN FREE, by Joy Adamson.	3	34
""			
4	THE AMERICAN HERITAGE PICTURE HISTORY OF THE CIVIL WAR, by	5	8
""	Bruce Catton.		
""			
5	BARUCH: THE PUBLIC YEARS, by Bernard M Baruch.	4	10
""			
6	THE SNAKE HAS ALL THE LINES, by Jean Kerr.	6	7
""			
7	VANITY FAIR, by Cleveland Amory and Frederic Bradlee.	8	5
""			
8	THE POLITICS OF UPHEAVAL, by Arthur Schlesinger.	7	14
""			
9	FOLK MEDICINE, by Deforest Clinton Jarvis.	9	90
""			
10	WHO KILLED SOCIETY? by Cleveland Amory.	--	1
""			
11	FELIX FRANKFURTER REMINISCES, by Felix Frankfurter.	14	28
""			
12	THE CONSCIENCE OF A CONSERVATIVE, by Barry Goldwater.	12	27
""			
13	ENJOY, ENJOY!, by Harry Golden.	11	23
""			
14	MY WILDERNESS, by William O. Douglas.	13	2
""			
15	TAKEN AT THE FLOOD, by John Gunther.	10	16
""			
16	HOW I MADE $2,000,000 IN THE STOCK MARKET, by Nicolas Darvas.	15	27
