This		January 8, 1961	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	60
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	74
""				
3	THE DEAN'S WATCH, by Elizabeth Goudge.		3	13
""				
4	TO KILL A MOCKINGBIRD, by Harper Lee.		4	23
""				
5	THE LAST OF THE JUST, by Andre Schwarz-Bart.		9	8
""				
6	THE LOVELY AMBITION, by Mary Ellen Chase.		6	28
""				
7	SERMONS AND SODA WATER, by John O'Hara.		8	4
""				
8	DECISION AT DELPHI, by Helen MacInnes.		5	9
""				
9	POMP AND CIRCUMSTANCE, by Noel Coward.		10	6
""				
10	MISTRESS OF MELLYN, by Victoria Holt.		7	16
""				
11	THE LEOPARD, by Guiseppe di Lampedusa.		11	35
""				
12	THE LISTENER, by Taylor Caldwell.		12	14
""				
13	THE NYLON PIRATES, by Nicholas Monsarrat.		15	10
""				
14	THE DOOMED OASIS, by Hammond Innes.		13	2
""				
15	THE CHILD BUYER, by John Hersey.		14	11
""				
16	RABBIT, RUN, by John Updike.		16	6
This	January 8, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	1	10
""			
2	THE WASTE MAKERS, by Vance Packard.	2	15
""			
3	THE AMERICAN HERITAGE PICTURE HISTORY OF THE CIVIL WAR, by	4	9
""	Bruce Catton.		
""			
4	THE SNAKE HAS ALL THE LINES, by Jean Kerr.	6	8
""			
5	BORN FREE, by Joy Adamson.	3	35
""			
6	VANITY FAIR, by Cleveland Amory and Frederic Bradlee.	7	6
""			
7	BARUCH: THE PUBLIC YEARS, by Bernard M Baruch.	5	11
""			
8	THE POLITICS OF UPHEAVAL, by Arthur Schlesinger.	8	15
""			
9	WHO KILLED SOCIETY? by Cleveland Amory.	10	2
""			
10	MY WILDERNESS, by William O. Douglas.	14	3
""			
11	PORTRAIT OF MAX, by S.N. Behrman.	--	1
""			
12	FELIX FRANKFURTER REMINISCES, by Felix Frankfurter.	11	29
""			
13	THE CONSCIENCE OF A CONSERVATIVE, by Barry Goldwater.	12	28
""			
14	TAKEN AT THE FLOOD, by John Gunther.	15	17
""			
15	ENJOY, ENJOY!, by Harry Golden.	13	24
""			
16	THE DRY AND LAWLESS YEARS, by John H. Lyle.	--	1
