This		January 15, 1961	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	61
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	75
""				
3	TO KILL A MOCKINGBIRD, by Harper Lee.		4	24
""				
4	THE LAST OF THE JUST, by Andre Schwarz-Bart.		5	9
""				
5	THE DEAN'S WATCH, by Elizabeth Goudge.		3	14
""				
6	SERMONS AND SODA WATER, by John O'Hara.		7	5
""				
7	DECISION AT DELPHI, by Helen MacInnes.		8	10
""				
8	THE LOVELY AMBITION, by Mary Ellen Chase.		6	29
""				
9	THE LISTENER, by Taylor Caldwell.		12	15
""				
10	MISTRESS OF MELLYN, by Victoria Holt.		10	17
""				
11	THE LEOPARD, by Guiseppe di Lampedusa.		11	36
""				
12	POMP AND CIRCUMSTANCE, by Noel Coward.		9	7
""				
13	THE CHESS PLAYERS, by Frances Parkinson Keyes.		--	1
""				
14	A SENSE OF VALUES, by Sloan Wilson.		--	1
""				
15	THE NYLON PIRATES, by Nicholas Monsarrat.		13	11
""				
16	THE LIGHT IN THE PIAZZA, by Elizabeth Spencer.		--	1
This	January 15, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	1	11
""			
2	THE WASTE MAKERS, by Vance Packard.	2	16
""			
3	BORN FREE, by Joy Adamson.	5	36
""			
4	THE SNAKE HAS ALL THE LINES, by Jean Kerr.	4	9
""			
5	WHO KILLED SOCIETY? by Cleveland Amory.	9	3
""			
6	THE AMERICAN HERITAGE PICTURE HISTORY OF THE CIVIL WAR, by	3	10
""	Bruce Catton.		
""			
7	BARUCH: THE PUBLIC YEARS, by Bernard M Baruch.	7	12
""			
8	VANITY FAIR, by Cleveland Amory and Frederic Bradlee.	6	7
""			
9	THE POLITICS OF UPHEAVAL, by Arthur Schlesinger.	8	16
""			
10	THE DRY AND LAWLESS YEARS, by John H. Lyle.	16	2
""			
11	TAKEN AT THE FLOOD, by John Gunther.	14	18
""			
12	ENJOY, ENJOY!, by Harry Golden.	15	25
""			
13	THE DAY CHRIST WAS BORN, by Jim Bishop.	--	1
""			
14	SILHOUETTE IN DIAMONDS, by Ishbel Ross.	--	1
""			
15	FOLK MEDICINE, by Deforest Clinton Jarvis.	--	91
""			
16	THE CONSCIENCE OF A CONSERVATIVE, by Barry Goldwater.	13	29
