This		January 22, 1961	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	62
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	76
""				
3	THE LAST OF THE JUST, by Andre Schwarz-Bart.		4	10
""				
4	SERMONS AND SODA WATER, by John O'Hara.		6	6
""				
5	TO KILL A MOCKINGBIRD, by Harper Lee.		3	25
""				
6	THE DEAN'S WATCH, by Elizabeth Goudge.		5	15
""				
7	DECISION AT DELPHI, by Helen MacInnes.		7	11
""				
8	THE LOVELY AMBITION, by Mary Ellen Chase.		8	30
""				
9	POMP AND CIRCUMSTANCE, by Noel Coward.		12	8
""				
10	THE LISTENER, by Taylor Caldwell.		9	16
""				
11	THE NYLON PIRATES, by Nicholas Monsarrat.		15	12
""				
12	MISTRESS OF MELLYN, by Victoria Holt.		10	18
""				
13	THE CHESS PLAYERS, by Frances Parkinson Keyes.		13	2
""				
14	THE LEOPARD, by Guiseppe di Lampedusa.		11	37
""				
15	RABBIT, RUN, by John Updike.		--	7
""				
16	THE DOOMED OASIS, by Hammond Innes.		--	3
This	January 22, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	1	12
""			
2	THE WASTE MAKERS, by Vance Packard.	2	17
""			
3	THE SNAKE HAS ALL THE LINES, by Jean Kerr.	4	10
""			
4	WHO KILLED SOCIETY? by Cleveland Amory.	5	4
""			
5	BARUCH: THE PUBLIC YEARS, by Bernard M Baruch.	7	13
""			
6	THE AMERICAN HERITAGE PICTURE HISTORY OF THE CIVIL WAR, by	6	11
""	Bruce Catton.		
""			
7	BORN FREE, by Joy Adamson.	3	37
""			
8	VANITY FAIR, by Cleveland Amory and Frederic Bradlee.	8	8
""			
9	THE POLITICS OF UPHEAVAL, by Arthur Schlesinger.	9	17
""			
10	FOLK MEDICINE, by Deforest Clinton Jarvis.	15	92
""			
11	MY WILDERNESS, by William O. Douglas.	--	4
""			
12	FELIX FRANKFURTER REMINISCES, by Felix Frankfurter.	--	30
""			
13	SILHOUETTE IN DIAMONDS, by Ishbel Ross.	14	2
""			
14	TAKEN AT THE FLOOD, by John Gunther.	11	19
""			
15	BIRD PORTRAITS IN COLOR, by Thomas S. Roberts.	--	1
""			
16	THE DRY AND LAWLESS YEARS, by John H. Lyle.	10	3
