This		January 29, 1961	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	63
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	77
""				
3	THE LAST OF THE JUST, by Andre Schwarz-Bart.		3	11
""				
4	TO KILL A MOCKINGBIRD, by Harper Lee.		5	26
""				
5	SERMONS AND SODA WATER, by John O'Hara.		4	7
""				
6	DECISION AT DELPHI, by Helen MacInnes.		7	12
""				
7	THE DEAN'S WATCH, by Elizabeth Goudge.		6	16
""				
8	POMP AND CIRCUMSTANCE, by Noel Coward.		9	9
""				
9	THE LOVELY AMBITION, by Mary Ellen Chase.		8	31
""				
10	THE LEOPARD, by Guiseppe di Lampedusa.		14	38
""				
11	A SENSE OF VALUES, by Sloan Wilson.		--	2
""				
12	MISTRESS OF MELLYN, by Victoria Holt.		12	19
""				
13	THE LISTENER, by Taylor Caldwell.		10	17
""				
14	THE LIGHT IN THE PIAZZA, by Elizabeth Spencer.		--	2
""				
15	THE DOOMED OASIS, by Hammond Innes.		16	4
""				
16	THE CHESS PLAYERS, by Frances Parkinson Keyes.		13	3
This	January 29, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	1	13
""			
2	THE WASTE MAKERS, by Vance Packard.	2	18
""			
3	WHO KILLED SOCIETY? by Cleveland Amory.	4	5
""			
4	THE SNAKE HAS ALL THE LINES, by Jean Kerr.	3	11
""			
5	BORN FREE, by Joy Adamson.	7	38
""			
6	THE AMERICAN HERITAGE PICTURE HISTORY OF THE CIVIL WAR, by	6	12
""	Bruce Catton.		
""			
7	BARUCH: THE PUBLIC YEARS, by Bernard M Baruch.	5	14
""			
8	VANITY FAIR, by Cleveland Amory and Frederic Bradlee.	8	9
""			
9	THE POLITICS OF UPHEAVAL, by Arthur Schlesinger.	9	18
""			
10	SHADOWS ON THE GRASS, by Isak Dinesen.	--	1
""			
11	THE WHITE NILE, by Alan Moorehead.	--	1
""			
12	TAKEN AT THE FLOOD, by John Gunther.	14	20
""			
13	THE DRY AND LAWLESS YEARS, by John H. Lyle.	16	4
""			
14	FELIX FRANKFURTER REMINISCES, by Felix Frankfurter.	12	31
""			
15	THE CONSCIENCE OF A CONSERVATIVE, by Barry Goldwater.	--	30
""			
16	ENJOY, ENJOY!, by Harry Golden.	--	26
