This		February 5, 1961	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	64
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	78
""				
3	THE LAST OF THE JUST, by Andre Schwarz-Bart.		3	12
""				
4	TO KILL A MOCKINGBIRD, by Harper Lee.		4	27
""				
5	SERMONS AND SODA WATER, by John O'Hara.		5	8
""				
6	DECISION AT DELPHI, by Helen MacInnes.		6	13
""				
7	THE DEAN'S WATCH, by Elizabeth Goudge.		7	17
""				
8	POMP AND CIRCUMSTANCE, by Noel Coward.		8	10
""				
9	THE LOVELY AMBITION, by Mary Ellen Chase.		9	32
""				
10	THE CHESS PLAYERS, by Frances Parkinson Keyes.		16	4
""				
11	THE NYLON PIRATES, by Nicholas Monsarrat.		--	13
""				
12	MISTRESS OF MELLYN, by Victoria Holt.		12	20
""				
13	A SENSE OF VALUES, by Sloan Wilson.		11	3
""				
14	THE LISTENER, by Taylor Caldwell.		13	18
""				
15	THE DOOMED OASIS, by Hammond Innes.		15	5
""				
16	RABBIT, RUN, by John Updike.		--	8
This	February 5, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	1	14
""			
2	THE WASTE MAKERS, by Vance Packard.	2	19
""			
3	WHO KILLED SOCIETY? by Cleveland Amory.	3	6
""			
4	THE SNAKE HAS ALL THE LINES, by Jean Kerr.	4	12
""			
5	BORN FREE, by Joy Adamson.	5	39
""			
6	THE AMERICAN HERITAGE PICTURE HISTORY OF THE CIVIL WAR, by	6	13
""	Bruce Catton.		
""			
7	SHADOWS ON THE GRASS, by Isak Dinesen.	10	2
""			
8	BARUCH: THE PUBLIC YEARS, by Bernard M Baruch.	7	15
""			
9	VANITY FAIR, by Cleveland Amory and Frederic Bradlee.	8	10
""			
10	THE POLITICS OF UPHEAVAL, by Arthur Schlesinger.	9	19
""			
11	THE WHITE NILE, by Alan Moorehead.	11	2
""			
12	TAKEN AT THE FLOOD, by John Gunther.	12	21
""			
13	THE NECESSITY FOR CHOICE, by Henry Kissinger.	--	1
""			
14	MY WILDERNESS, by William O. Douglas.	--	5
""			
15	PRESIDENTIAL POWER, by Richard E. Neustadt.	--	1
""			
16	THE DRY AND LAWLESS YEARS, by John H. Lyle.	13	5
