This		March 5, 1961	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	68
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	82
""				
3	THE LAST OF THE JUST, by Andre Schwarz-Bart.		3	16
""				
4	TO KILL A MOCKINGBIRD, by Harper Lee.		4	31
""				
5	SERMONS AND SODA WATER, by John O'Hara.		5	12
""				
6	DECISION AT DELPHI, by Helen MacInnes.		6	17
""				
7	POMP AND CIRCUMSTANCE, by Noel Coward.		9	14
""				
8	THE CHESS PLAYERS, by Frances Parkinson Keyes.		7	8
""				
9	THE DEAN'S WATCH, by Elizabeth Goudge.		8	21
""				
10	WINNIE ILLE PU, by A.A. Milnei.		--	2
""				
11	A BURNT-OUT CASE, by Graham Greene.		16	2
""				
12	A SENSE OF VALUES, by Sloan Wilson.		10	7
""				
13	VALHALLA, by Jere Peacock.		12	2
""				
14	THE LOVELY AMBITION, by Mary Ellen Chase.		14	36
""				
15	THE LISTENER, by Taylor Caldwell.		11	22
""				
16	RABBIT, RUN, by John Updike.		--	10
This	March 5, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	1	18
""			
2	WHO KILLED SOCIETY? by Cleveland Amory.	2	10
""			
3	THE WASTE MAKERS, by Vance Packard.	3	23
""			
4	THE SNAKE HAS ALL THE LINES, by Jean Kerr.	4	16
""			
5	THE WHITE NILE, by Alan Moorehead.	5	6
""			
6	PROFILES IN COURAGE, by John F. Kennedy.	11	93
""			
7	FATE IS THE HUNTER, by Ernest K. Gann.	9	3
""			
8	SHADOWS ON THE GRASS, by Isak Dinesen.	8	6
""			
9	BORN FREE, by Joy Adamson.	6	43
""			
10	JAPANESE INN, by Oliver Statler.	--	3
""			
11	SKYLINE, by Gene Fowler.	10	3
""			
12	THE AMERICAN HERITAGE PICTURE HISTORY OF THE CIVIL WAR, by	12	17
""	Bruce Catton.		
""			
13	THE POLITICS OF UPHEAVAL, by Arthur Schlesinger.	--	22
""			
14	STAY YOUNG AND VITAL, by Bob Cummings.	13	2
""			
15	THE QUEEN'S NECKLACE, by Frances Mossiker.	--	1
""			
16	BARUCH: THE PUBLIC YEARS, by Bernard M Baruch.	15	19
