This		March 12, 1961	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	69
""				
2	ADVISE AND CONSENT, by Allen Drury.		2	83
""				
3	THE LAST OF THE JUST, by Andre Schwarz-Bart.		3	17
""				
4	TO KILL A MOCKINGBIRD, by Harper Lee.		4	32
""				
5	SERMONS AND SODA WATER, by John O'Hara.		5	13
""				
6	A BURNT-OUT CASE, by Graham Greene.		11	3
""				
7	DECISION AT DELPHI, by Helen MacInnes.		6	18
""				
8	WINNIE ILLE PU, by A.A. Milnei.		10	3
""				
9	THE CHESS PLAYERS, by Frances Parkinson Keyes.		8	9
""				
10	POMP AND CIRCUMSTANCE, by Noel Coward.		7	15
""				
11	THE DEAN'S WATCH, by Elizabeth Goudge.		9	22
""				
12	A SENSE OF VALUES, by Sloan Wilson.		12	8
""				
13	IN A SUMMER SEASON, by Elizabeth Taylor.		--	3
""				
14	THE LISTENER, by Taylor Caldwell.		15	23
""				
15	THE SECRET OF THE KINGDOM, by Mika Waltari.		--	1
""				
16	VALHALLA, by Jere Peacock.		13	3
This	March 12, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	1	19
""			
2	WHO KILLED SOCIETY? by Cleveland Amory.	2	11
""			
3	THE WASTE MAKERS, by Vance Packard.	3	24
""			
4	FATE IS THE HUNTER, by Ernest K. Gann.	7	4
""			
5	THE SNAKE HAS ALL THE LINES, by Jean Kerr.	4	17
""			
6	BORN FREE, by Joy Adamson.	9	44
""			
7	THE WHITE NILE, by Alan Moorehead.	5	7
""			
8	JAPANESE INN, by Oliver Statler.	10	4
""			
9	PROFILES IN COURAGE, by John F. Kennedy.	6	94
""			
10	SKYLINE, by Gene Fowler.	11	4
""			
11	SHADOWS ON THE GRASS, by Isak Dinesen.	8	7
""			
12	DR. TOM DOOLEY'S THREE GREAT BOOKS, by Dr. Tom Dooley.	--	1
""			
13	STAY YOUNG AND VITAL, by Bob Cummings.	14	3
""			
14	THE AMERICAN HERITAGE PICTURE HISTORY OF THE CIVIL WAR, by	12	18
""	Bruce Catton.		
""			
15	RING OF BRIGHT WATER, by Gavin Maxwell.	--	1
""			
16	PRESIDENTIAL POWER, by Richard E. Neustadt.	--	3
