This		March 19, 1961	Last	Weeks
Week		Fiction	Week	On List
""				
1	HAWAII, by James Michener.		1	70
""				
2	THE LAST OF THE JUST, by Andre Schwarz-Bart.		3	18
""				
3	ADVISE AND CONSENT, by Allen Drury.		2	84
""				
4	TO KILL A MOCKINGBIRD, by Harper Lee.		4	33
""				
5	A BURNT-OUT CASE, by Graham Greene.		6	4
""				
6	SERMONS AND SODA WATER, by John O'Hara.		5	14
""				
7	WINNIE ILLE PU, by A.A. Milnei.		8	4
""				
8	DECISION AT DELPHI, by Helen MacInnes.		7	19
""				
9	POMP AND CIRCUMSTANCE, by Noel Coward.		10	16
""				
10	THE CHESS PLAYERS, by Frances Parkinson Keyes.		9	10
""				
11	THE DEAN'S WATCH, by Elizabeth Goudge.		11	23
""				
12	MIDCENTURY, by John Dos Passos.		--	1
""				
13	THE LISTENER, by Taylor Caldwell.		14	24
""				
14	THROUGH THE FIELDS OF CLOVER, by Peter De Vries.		--	1
""				
15	THE KEY, by Jun'ichiro Tanizaki.		--	1
""				
16	IN A SUMMER SEASON, by Elizabeth Taylor.		13	4
This	March 19, 1961	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	1	20
""			
2	WHO KILLED SOCIETY? by Cleveland Amory.	2	12
""			
3	THE WASTE MAKERS, by Vance Packard.	3	25
""			
4	THE WHITE NILE, by Alan Moorehead.	7	8
""			
5	THE SNAKE HAS ALL THE LINES, by Jean Kerr.	5	18
""			
6	FATE IS THE HUNTER, by Ernest K. Gann.	4	5
""			
7	JAPANESE INN, by Oliver Statler.	8	5
""			
8	SKYLINE, by Gene Fowler.	10	5
""			
9	PROFILES IN COURAGE, by John F. Kennedy.	9	95
""			
10	BORN FREE, by Joy Adamson.	6	45
""			
11	SHADOWS ON THE GRASS, by Isak Dinesen.	11	8
""			
12	RING OF BRIGHT WATER, by Gavin Maxwell.	15	2
""			
13	THE AMERICAN HERITAGE PICTURE HISTORY OF THE CIVIL WAR, by	14	19
""	Bruce Catton.		
""			
14	STAY YOUNG AND VITAL, by Bob Cummings.	13	4
""			
15	RESISTANCE, REBELLION, AND DEATH, by Albert Camus.	--	1
""			
16	MY THIRTY YEARS BACKSTAIRS AT THE WHITE HOUSE, by Lilian Rogers	--	1
""	Parks.		
