This	February 18, 1962	Last	Weeks
Week	Fiction	Week	On List
""			
1	FRANNY AND ZOOEY, by J.D. Salinger.	1	22
""			
2	THE AGONY AND THE ECSTASY, by Irving Stone.	2	47
""			
3	TO KILL A MOCKINGBIRD, by Harper Lee.	3	81
""			
4	A PROLOGUE TO LOVE, by Taylor Caldwell.	4	12
""			
5	DAUGHTER OF SILENCE, by Morris L. West.	6	11
""			
6	LITTLE ME, by Patrick Dennis.	5	16
""			
7	CHAIRMAN OF THE BORED, by Edward Streeter.	8	20
""			
8	THE IVY TREE, by Mary Stewart.	9	6
""			
9	SPIRIT LAKE, by MacKinlay Kantor.	7	18
""			
10	THE CARPETBAGGERS, by Harold Robbins.	10	34
""			
11	CAPTAIN NEWMAN, M.D., by Leo Calvin Rosten.	12	4
""			
12	KIRKLAND REVELS, by Victoria Holt.	14	2
""			
13	TWILIGHT OF HONOR, by Al Dewlen.	13	2
""			
14	THE INCREDIBLE JOURNEY, by Sheila Burnford.	11	36
""			
15	THE JUDAS TREE, by A.J. Cronin.	16	15
""			
16	A DANCE TO THE MUSIC OF TIME, by Anthony Powell.	--	1
This	February 18, 1962	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MY LIFE IN COURT, by Louis Nizer.	1	12
""			
2	CALORIES DON'T COUNT, by Herman Taller.	3	11
""			
3	THE MAKING OF THE PRESIDENT 1960, by Theodore H. White.	1	32
""			
4	LIVING FREE, by Joy Adamson.	4	16
""			
5	THE RISE AND FALL OF THE THIRD REICH, by William L. Shirer.	5	68
""			
6	A NATION OF SHEEP, by William J. Lederer.	6	43
""			
7	MY SABER IS BENT, by Jack Paar.	7	8
""			
8	THE NEW ENGLISH BIBLE; New Testament.	8	47
""			
9	BEFORE I SLEEP, by James Monahan.	11	7
""			
10	THE GUNS OF AUGUST, by Barbara W. Tuchman.	--	1
""			
11	CIA: THE INSIDE STORY, by Andrew Tully.	14	2
""			
12	THE COMING FURY, by Bruce Catton.	10	14
""			
13	CITIZEN HEARST, by W.A. Swanberg.	9	22
""			
14	THE LAST PLANTAGENETS, by Thomas B. Costain.	--	1
""			
15	PT 109, by Robert J. Donovan.	13	8
""			
16	I SHOULD HAVE KISSED HER MORE, by Alexander King.	12	18
