This		April 11, 1965	Last	Weeks
Week		Fiction	Week	On List
""				
1	HERZOG, by Saul Bellow.		1	27
""				
2	UP THE DOWN STAIRCASE, by Bel Kaufman.		4	5
""				
3	HURRY SUNDOWN, by K.B. Gilden.		2	9
""				
4	FUNERAL IN BERLIN, by Len Deighton.		3	11
""				
5	HOTEL, by Arthur Hailey.		6	6
""				
6	THE MAN, by Irving Wallace.		5	28
""				
7	THE LEGEND OF THE SEVENTH VIRGIN, by Victoria Holt.		9	10
""				
8	THE ORDWAYS, by William Humphrey.		8	5
""				
9	DON'T STOP THE CARNIVAL, by Herman Wouk.		7	2
""				
10	AN AMERICAN DREAM, by Norman Mailer.		--	1
This	April 11, 1965	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MARKINGS, by Dag Hammarskjöld.	1	22
""			
2	QUEEN VICTORIA: BORN TO SUCCEED, by Elizabeth Longford.	2	10
""			
3	THE FOUNDING FATHER, by Richard J. Whalen.	3	14
""			
4	MY SHADOW RAN FAST, by Bill Sands.	4	7
""			
5	THE ITALIANS, by Luigi Barzini.	5	30
""			
6	REMINISCENCES, by Douglas MacArthur.	6	27
""			
7	CATHERINE THE GREAT, by Zoe Oldenbourg.	7	5
""			
8	SIXPENCE IN HER SHOE, by Phyllis McGinley.	8	17
""			
9	GAMBLERS' MONEY: THE NEW FORCE IN AMERICAN LIFE, by Wallace	--	1
""	Turner.		
""			
10	STAGESTRUCK, by Maurice Zolotow.	1-	3
