This		October 15,1967	Last	Weeks
Week		Fiction	Week	On List
""				
1	TOPAZ, by Leon Uris.		9	3
""				
2	THE ARRANGEMENT, by Elia Kazan.		2	34
""				
3	THE GABRIEL HOUNDS, by Mary Stewart.		5	3
""				
4	THE CHOSEN, by Chaim Potok.		1	21
""				
5	A NIGHT OF WATCHING, by Elliott Arnold.		10	11
""				
6	NIGHT FALLS ON THE CITY, by Sarah Gainham.		4	9
""				
7	THE EIGHTH DAY, by Thornton Wilder.		7	27
""				
8	WASHINGTON, D.C., by Gore Vidal.		--	21
""				
9	ROSEMARY'S BABY, by Ira Levin.		3	19
""				
10	A SECOND-HAND LIFE, by Charles Jackson.		6	6
This	October 15, 1967	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	"""OUR CROWD"": THE GREAT JEWISH FAMILIES OF NEW YORK, by Stephen"	1	12
""	Birmingham.		
""			
2	THE NEW INDUSTRIAL STATE, by John Kenneth Galbraith.	3	14
""			
3	A MODERN PRIEST LOOKS AT HIS OUTDATED CHURCH, by James J.	2	14
""	Kavanaugh.		
""			
4	NICHOLAS AND ALEXANDRA, by Robert K. Massie.	4	5
""			
5	INCREDIBLE VICTORY, by Walter Lord.	7	6
""			
6	ANYONE CAN MAKE A MILLION, by Morton Shulman.	6	17
""			
7	AT EASE: STORIES I TELL TO FRIENDS, by Dwight D. Eisenhower.	5	13
""			
8	EVERYTHING BUT MONEY, by Sam Levenson.	10	56
""			
9	THE LAWYERS, by Martin Mayer.	8	8
""			
10	EDGAR CAYCE, by Jess Stearn.	--	30
